customer_id,group,age_group,device,channel,pre_kyc_rate,kyc_completed,churned_30d,revenue_30d_eur
49,control,18-24,web,website,0.4404,1,1,23.03
50,control,18-24,android,app_store,0.487,0,0,4.9
51,control,18-24,android,app_store,0.4648,0,0,3.44
52,control,35-44,ios,website,0.4944,1,0,12.75
53,control,35-44,android,google_play,0.7053,1,0,14.82
54,control,35-44,ios,website,0.6566,0,0,5.6
55,control,35-44,android,app_store,0.5632,0,0,0.0
56,control,25-34,ios,app_store,0.6342,0,0,0.0
57,control,35-44,ios,google_play,0.6672,0,0,6.0
58,control,18-24,ios,website,0.7034,0,0,1.58
59,control,18-24,android,referral,0.6158,1,0,20.81
60,control,35-44,android,referral,0.6828,1,0,27.46
61,control,25-34,android,google_play,0.579,0,0,0.0
62,control,35-44,android,website,0.5112,1,1,7.98
63,control,35-44,android,app_store,0.6966,1,0,16.34
64,control,35-44,web,google_play,0.6582,1,0,13.89
65,control,35-44,ios,referral,0.5896,1,0,17.85
66,control,35-44,ios,google_play,0.6723,0,0,5.44
67,control,25-34,android,referral,0.663,0,0,4.68
68,control,18-24,android,app_store,0.3483,1,0,18.28
69,control,25-34,ios,app_store,0.5322,1,0,24.35
70,control,25-34,android,google_play,0.605,1,0,22.02
71,control,25-34,android,referral,0.442,0,1,2.85
72,control,45+,ios,google_play,0.4047,1,0,21.81
73,control,25-34,ios,website,0.5444,0,1,0.0
74,control,18-24,web,app_store,0.5653,0,1,7.33
75,control,25-34,android,website,0.569,0,0,3.58
76,control,25-34,ios,google_play,0.7426,1,0,10.8
77,control,35-44,android,app_store,0.5926,0,0,2.0
78,control,35-44,android,website,0.5162,0,1,7.24
79,control,35-44,ios,website,0.4814,1,0,13.39
80,control,35-44,android,google_play,0.5652,1,0,20.46
81,control,25-34,ios,app_store,0.6626,1,0,23.27
82,control,35-44,android,app_store,0.6462,1,0,18.15
83,control,18-24,android,referral,0.5672,0,0,0.39
84,control,18-24,web,website,0.5298,0,0,3.27
85,control,18-24,android,website,0.5781,1,0,9.54
86,control,35-44,ios,website,0.592,1,0,15.07
87,control,25-34,android,website,0.6354,0,0,0.0
88,control,18-24,web,app_store,0.4679,1,0,17.72
89,control,25-34,android,google_play,0.5701,1,0,10.38
90,control,18-24,android,website,0.4375,0,0,3.8
91,control,35-44,ios,app_store,0.6894,0,1,7.58
92,control,25-34,android,app_store,0.4848,1,1,25.17
93,control,25-34,android,website,0.5003,0,1,0.0
94,control,25-34,web,referral,0.4572,1,0,14.0
95,control,35-44,ios,website,0.6336,0,0,6.57
96,control,25-34,ios,app_store,0.7057,0,1,6.03
97,control,18-24,ios,referral,0.6589,0,1,1.29
98,control,18-24,ios,app_store,0.621,0,1,1.75
99,control,45+,web,app_store,0.5732,1,0,18.49
100,control,45+,ios,referral,0.622,0,0,0.0
101,control,35-44,android,website,0.5952,1,0,21.15
102,control,25-34,android,referral,0.6503,0,0,7.4
103,control,45+,ios,website,0.4435,0,1,2.1
104,control,35-44,ios,website,0.57,1,0,9.48
105,control,35-44,ios,app_store,0.6316,0,1,8.59
106,control,25-34,android,google_play,0.5491,1,0,19.32
107,control,25-34,android,referral,0.4707,1,0,22.25
108,control,18-24,ios,referral,0.4872,1,0,10.07
109,control,45+,ios,google_play,0.5644,0,0,0.0
110,control,25-34,android,google_play,0.6485,1,0,20.48
111,control,25-34,ios,app_store,0.6067,1,0,24.17
112,control,25-34,ios,google_play,0.8372,0,1,0.0
113,control,35-44,web,referral,0.5524,0,1,3.13
114,control,18-24,android,app_store,0.5516,1,0,8.48
115,control,45+,web,google_play,0.6193,0,0,0.97
116,control,35-44,ios,referral,0.7413,1,0,16.46
117,control,35-44,ios,google_play,0.6884,0,1,5.26
118,control,25-34,android,google_play,0.6616,1,0,5.37
119,control,35-44,ios,google_play,0.6404,1,0,25.92
120,control,35-44,ios,app_store,0.759,1,0,16.98
121,control,35-44,android,app_store,0.6887,1,0,25.77
122,control,18-24,android,app_store,0.4478,1,1,22.19
123,control,25-34,ios,app_store,0.6317,0,0,6.57
124,control,18-24,ios,app_store,0.4322,1,0,30.12
125,control,25-34,android,google_play,0.6977,1,0,13.31
126,control,25-34,android,app_store,0.5839,0,0,3.99
127,control,18-24,android,referral,0.6539,1,0,12.06
128,control,18-24,web,app_store,0.5173,1,0,17.39
129,control,35-44,web,google_play,0.4575,1,0,22.32
130,control,18-24,android,referral,0.757,0,1,7.56
131,control,45+,android,app_store,0.5065,0,1,2.12
132,control,35-44,android,google_play,0.516,0,1,0.0
133,control,25-34,ios,website,0.6577,1,0,18.44
134,control,35-44,web,google_play,0.7689,1,0,12.89
135,control,18-24,ios,app_store,0.5398,0,0,1.42
136,control,45+,android,website,0.4481,0,0,5.92
137,control,25-34,android,website,0.545,1,0,20.91
138,control,35-44,android,google_play,0.5071,0,0,6.5
139,control,18-24,ios,app_store,0.5007,1,0,15.98
140,control,25-34,ios,app_store,0.7486,1,0,24.05
141,control,25-34,ios,website,0.5554,0,0,3.55
142,control,45+,android,google_play,0.439,1,0,16.3
143,control,35-44,web,app_store,0.5598,1,0,11.41
144,control,25-34,android,google_play,0.6618,1,0,5.46
145,control,25-34,ios,referral,0.4779,1,0,8.62
146,control,25-34,web,app_store,0.5964,0,0,4.28
147,control,25-34,ios,app_store,0.803,0,0,0.23
148,control,25-34,web,google_play,0.7485,1,0,8.13
149,control,18-24,android,website,0.5219,1,0,15.48
150,control,35-44,ios,google_play,0.7413,1,0,19.68
151,control,45+,android,referral,0.6305,0,1,4.99
152,control,18-24,ios,app_store,0.5459,0,0,3.4
153,control,35-44,android,google_play,0.67,1,0,17.63
154,control,18-24,android,google_play,0.6691,0,0,1.56
155,control,35-44,android,google_play,0.4949,0,0,5.78
156,control,25-34,android,google_play,0.6221,1,0,16.94
157,control,35-44,ios,website,0.6149,1,0,17.54
158,control,35-44,ios,google_play,0.6443,1,0,24.23
159,control,35-44,android,website,0.5472,1,0,22.75
160,control,18-24,web,app_store,0.5445,1,0,16.89
161,control,45+,web,google_play,0.5412,1,0,16.04
162,control,25-34,android,google_play,0.6655,0,0,2.29
163,control,18-24,android,google_play,0.5641,1,0,5.87
164,control,35-44,ios,app_store,0.6118,1,0,24.58
165,control,25-34,ios,referral,0.5688,1,1,13.89
166,control,35-44,android,referral,0.5782,1,0,23.13
167,control,35-44,ios,website,0.6069,0,0,3.65
168,control,25-34,android,referral,0.5395,1,0,26.35
169,control,45+,android,app_store,0.5717,1,1,21.18
170,control,25-34,ios,google_play,0.6504,1,0,23.47
171,control,25-34,ios,google_play,0.7075,0,0,1.37
172,control,25-34,ios,referral,0.5849,1,0,10.29
173,control,45+,android,app_store,0.4295,1,0,18.89
174,control,18-24,android,app_store,0.6069,1,0,6.5
175,control,18-24,android,website,0.4864,1,0,15.19
176,control,25-34,android,app_store,0.5498,1,0,10.86
177,control,45+,android,website,0.5119,0,0,0.48
178,control,45+,ios,app_store,0.5889,0,0,5.64
179,control,35-44,ios,website,0.4855,1,0,21.18
180,control,45+,ios,referral,0.6768,1,0,17.03
181,control,45+,android,website,0.4232,1,0,19.92
182,control,25-34,android,app_store,0.702,0,1,1.55
183,control,25-34,ios,app_store,0.4993,1,0,32.56
184,control,35-44,android,app_store,0.6114,0,0,4.58
185,control,35-44,web,app_store,0.5812,1,0,14.46
186,control,25-34,android,google_play,0.418,1,1,23.25
187,control,18-24,ios,google_play,0.6187,0,0,7.96
188,control,35-44,web,app_store,0.4421,1,0,13.35
189,control,25-34,ios,app_store,0.5827,1,0,9.49
190,control,45+,ios,referral,0.6543,1,0,10.68
191,control,25-34,ios,app_store,0.5636,1,0,13.98
192,control,18-24,android,google_play,0.4537,1,0,17.67
193,control,35-44,ios,google_play,0.7,1,0,8.23
194,control,18-24,web,app_store,0.506,0,0,1.99
195,control,18-24,web,referral,0.5236,0,0,2.75
196,control,35-44,android,app_store,0.688,0,0,4.67
197,control,45+,android,website,0.3626,0,1,5.7
198,control,18-24,ios,website,0.4792,1,0,20.41
199,control,25-34,ios,website,0.6353,0,0,9.95
200,control,35-44,android,website,0.4474,1,0,24.56
201,control,45+,android,website,0.598,0,0,4.3
202,control,25-34,android,google_play,0.5587,0,1,0.01
203,control,18-24,ios,google_play,0.636,0,1,1.07
204,control,18-24,android,website,0.5458,0,1,0.0
205,control,25-34,android,google_play,0.5638,0,1,4.05
206,control,18-24,android,google_play,0.4877,0,1,4.69
207,control,35-44,web,app_store,0.5926,0,0,6.71
208,control,18-24,android,app_store,0.573,1,0,19.6
209,control,25-34,android,google_play,0.4971,0,0,7.29
210,control,35-44,ios,app_store,0.5297,0,0,7.37
211,control,35-44,android,google_play,0.7147,1,0,11.83
212,control,18-24,web,app_store,0.4672,0,0,1.63
213,control,35-44,web,google_play,0.6343,0,1,3.46
214,control,35-44,android,website,0.5298,1,1,13.76
215,control,35-44,android,google_play,0.5834,1,0,16.54
216,control,18-24,android,website,0.5904,0,0,4.58
217,control,18-24,android,app_store,0.5092,0,1,3.06
218,control,45+,android,app_store,0.4675,0,0,3.5
219,control,25-34,android,website,0.5044,1,0,12.34
220,control,25-34,android,website,0.4857,1,1,21.04
221,control,25-34,ios,website,0.5124,0,1,5.06
222,control,35-44,android,website,0.506,0,0,0.75
223,control,45+,android,website,0.5891,0,0,0.0
224,control,25-34,ios,website,0.6229,1,0,25.38
225,control,45+,android,website,0.4284,0,1,9.79
226,control,18-24,android,website,0.5545,0,1,4.34
227,control,35-44,android,app_store,0.459,0,1,2.2
228,control,35-44,android,app_store,0.6961,1,0,24.28
229,control,18-24,android,google_play,0.6296,0,0,5.19
230,control,18-24,ios,google_play,0.7449,0,0,2.74
231,control,25-34,web,website,0.6169,0,1,6.99
232,control,45+,android,google_play,0.541,1,0,13.14
233,control,35-44,android,app_store,0.6893,1,0,13.86
234,control,45+,ios,website,0.4459,0,0,4.81
235,control,35-44,ios,app_store,0.5944,0,0,3.91
236,control,25-34,android,website,0.5209,0,0,5.79
237,control,35-44,android,app_store,0.6955,0,0,7.8
238,control,18-24,android,google_play,0.4575,0,0,0.0
239,control,18-24,ios,google_play,0.489,1,0,18.23
240,control,35-44,android,app_store,0.6049,0,0,10.34
241,control,35-44,android,app_store,0.6434,0,0,1.35
242,control,25-34,android,app_store,0.5098,1,0,13.71
243,control,25-34,android,google_play,0.6296,0,0,0.0
244,control,35-44,ios,google_play,0.7455,0,0,3.87
245,control,45+,ios,website,0.592,1,0,21.48
246,control,35-44,ios,app_store,0.6543,0,0,5.58
247,control,25-34,android,google_play,0.5688,1,0,11.78
248,control,25-34,android,app_store,0.7048,0,0,3.47
249,control,25-34,ios,referral,0.6372,1,0,19.33
250,control,35-44,ios,website,0.6612,0,1,3.69
251,control,45+,android,referral,0.6827,1,0,11.43
252,control,25-34,android,referral,0.6628,0,0,3.78
253,control,25-34,ios,google_play,0.5362,1,0,13.11
254,control,25-34,ios,website,0.4669,1,0,6.77
255,control,35-44,web,google_play,0.5822,1,0,22.09
256,control,35-44,ios,referral,0.7128,0,0,4.0
257,control,18-24,android,google_play,0.5616,1,0,21.55
258,control,18-24,android,google_play,0.7026,1,0,14.79
259,control,35-44,android,referral,0.6508,1,0,21.76
260,control,18-24,ios,website,0.4898,1,0,24.13
261,control,35-44,ios,referral,0.5653,0,0,9.81
262,control,25-34,android,app_store,0.6604,1,0,22.88
263,control,18-24,web,app_store,0.5255,1,0,20.31
264,control,45+,android,google_play,0.3855,1,0,9.72
265,control,18-24,android,google_play,0.5278,1,0,17.36
266,control,25-34,android,google_play,0.4963,1,0,9.46
267,control,18-24,web,app_store,0.4919,1,0,13.09
268,control,18-24,web,website,0.4865,0,0,10.54
269,control,18-24,ios,app_store,0.4836,1,0,11.86
270,control,18-24,web,website,0.447,0,1,0.0
271,control,18-24,web,referral,0.4965,0,0,6.43
272,control,18-24,ios,website,0.4586,1,0,13.96
273,control,35-44,web,google_play,0.5254,0,0,6.26
274,control,35-44,android,app_store,0.5474,0,0,0.0
275,control,25-34,ios,app_store,0.5344,0,0,1.97
276,control,25-34,ios,website,0.6129,1,0,25.18
277,control,25-34,ios,google_play,0.6321,0,1,0.0
278,control,45+,android,app_store,0.5916,1,0,16.98
279,control,45+,ios,referral,0.7169,0,0,4.55
280,control,18-24,web,website,0.5402,1,0,13.68
281,control,18-24,android,website,0.512,0,1,4.37
282,control,25-34,web,google_play,0.6452,0,0,3.56
283,control,25-34,android,referral,0.6333,0,0,5.42
284,control,35-44,android,app_store,0.59,1,0,29.05
285,control,25-34,android,app_store,0.5637,1,1,34.05
286,control,18-24,ios,referral,0.5043,0,0,5.17
287,control,25-34,ios,referral,0.7031,1,0,17.34
288,control,25-34,android,google_play,0.5735,0,1,5.09
289,control,18-24,ios,app_store,0.672,1,0,16.61
290,control,35-44,android,google_play,0.6692,0,1,0.0
291,control,18-24,android,website,0.4259,0,0,3.33
292,control,45+,web,website,0.5657,1,0,24.49
293,control,18-24,ios,google_play,0.3611,1,0,9.21
294,control,35-44,ios,app_store,0.7804,0,0,0.0
295,control,45+,ios,website,0.3889,0,0,1.4
296,control,45+,web,website,0.5056,0,0,4.84
297,control,35-44,android,google_play,0.6302,1,0,32.26
298,control,35-44,android,google_play,0.6859,1,0,13.14
299,control,35-44,android,referral,0.5897,0,0,3.83
300,control,35-44,ios,app_store,0.4544,1,0,18.03
301,control,18-24,ios,google_play,0.5398,1,0,16.19
302,control,25-34,ios,website,0.5485,0,0,3.33
303,control,25-34,android,google_play,0.4121,1,0,15.21
304,control,45+,android,referral,0.5296,1,0,34.46
305,control,25-34,ios,website,0.4799,0,0,6.2
306,control,25-34,web,google_play,0.6379,1,0,15.26
307,control,35-44,android,app_store,0.5663,0,0,7.76
308,control,25-34,android,website,0.6829,0,0,4.42
309,control,18-24,android,app_store,0.4955,1,0,18.35
310,control,25-34,android,app_store,0.6004,0,0,2.84
311,control,25-34,android,google_play,0.559,0,1,2.6
312,control,25-34,android,google_play,0.4461,1,0,10.68
313,control,25-34,ios,referral,0.6196,0,1,0.0
314,control,25-34,android,website,0.5863,1,0,20.22
315,control,25-34,android,website,0.5742,0,1,2.81
316,control,25-34,android,google_play,0.5525,0,0,6.66
317,control,35-44,web,google_play,0.4895,1,0,12.66
318,control,25-34,android,referral,0.6476,1,0,11.41
319,control,45+,android,google_play,0.5396,1,0,22.66
320,control,45+,android,website,0.5235,1,0,16.23
321,control,25-34,ios,google_play,0.5941,1,0,23.13
322,control,25-34,web,app_store,0.4413,1,0,18.2
323,control,25-34,android,google_play,0.6187,1,0,29.27
324,control,35-44,android,app_store,0.5853,0,0,6.22
325,control,35-44,android,app_store,0.6973,1,0,20.46
326,control,35-44,ios,app_store,0.6283,1,0,22.8
327,control,25-34,web,app_store,0.5724,1,0,16.36
328,control,35-44,android,google_play,0.6294,1,0,8.14
329,control,25-34,android,referral,0.5482,1,0,20.17
330,control,35-44,ios,google_play,0.5844,0,0,10.49
331,control,25-34,ios,website,0.5582,0,0,0.0
332,control,35-44,android,google_play,0.5224,1,0,20.81
333,control,45+,android,app_store,0.4777,1,0,8.79
334,control,18-24,android,app_store,0.6712,1,0,17.86
335,control,35-44,ios,referral,0.7394,1,0,18.48
336,control,18-24,ios,website,0.5406,0,0,6.19
337,control,35-44,ios,referral,0.7801,1,0,19.26
338,control,18-24,ios,google_play,0.5,0,0,8.44
339,control,45+,android,website,0.6552,1,0,25.0
340,control,18-24,android,website,0.4392,0,0,2.79
341,control,45+,android,referral,0.6863,0,0,7.44
342,control,35-44,web,app_store,0.756,1,0,16.12
343,control,35-44,ios,referral,0.5157,1,1,15.09
344,control,35-44,android,google_play,0.7134,1,0,10.77
345,control,35-44,android,website,0.5233,0,1,8.22
346,control,45+,ios,google_play,0.5006,1,0,16.2
347,control,25-34,ios,google_play,0.658,1,0,3.47
348,control,35-44,ios,google_play,0.5554,1,0,21.25
349,control,18-24,android,website,0.5162,0,0,1.94
350,control,35-44,web,app_store,0.5207,1,0,16.21
351,control,18-24,ios,google_play,0.5802,0,0,2.66
352,control,35-44,ios,google_play,0.7428,0,0,2.29
353,control,35-44,ios,website,0.6169,0,0,13.32
354,control,25-34,web,google_play,0.5572,1,0,27.98
355,control,25-34,web,website,0.5793,1,0,22.2
356,control,35-44,ios,google_play,0.5235,1,0,19.45
357,control,35-44,android,website,0.4789,1,0,24.77
358,control,25-34,android,website,0.4916,0,0,4.38
359,control,35-44,ios,website,0.6489,1,0,22.9
360,control,45+,ios,website,0.5285,1,0,21.35
361,control,18-24,android,google_play,0.5688,1,0,18.77
362,control,18-24,android,app_store,0.5138,0,0,6.89
363,control,18-24,web,website,0.423,1,0,15.48
364,control,35-44,web,app_store,0.715,0,1,3.71
365,control,25-34,web,app_store,0.5202,0,0,0.0
366,control,35-44,android,website,0.5795,0,1,0.39
367,control,35-44,ios,google_play,0.627,1,0,2.83
368,control,25-34,ios,google_play,0.661,1,0,20.74
369,control,45+,android,referral,0.4776,1,0,22.39
370,control,35-44,android,app_store,0.6702,0,0,7.41
371,control,25-34,web,app_store,0.6863,1,0,11.39
372,control,25-34,android,app_store,0.6453,0,0,5.08
373,control,25-34,ios,app_store,0.6186,1,0,18.0
374,control,18-24,ios,website,0.4812,0,0,6.16
375,control,18-24,ios,website,0.7418,1,0,14.09
376,control,45+,android,google_play,0.4267,0,0,2.29
377,control,25-34,ios,app_store,0.6765,1,0,8.68
378,control,25-34,android,google_play,0.6026,1,0,13.7
379,control,35-44,ios,app_store,0.621,0,0,3.51
380,control,35-44,android,website,0.5608,1,0,19.04
381,control,45+,ios,website,0.4552,0,0,0.0
382,control,35-44,ios,app_store,0.6602,0,1,1.66
383,control,25-34,android,website,0.5513,0,0,4.08
384,control,25-34,android,website,0.7402,1,0,26.45
385,control,45+,ios,google_play,0.6317,0,1,0.46
386,control,35-44,android,website,0.5873,1,0,20.94
387,control,45+,android,website,0.502,0,0,1.48
388,control,18-24,ios,app_store,0.7032,0,0,1.9
389,control,45+,web,app_store,0.4284,1,0,12.73
390,control,35-44,ios,website,0.5714,1,0,11.73
391,control,18-24,android,referral,0.3934,1,0,15.15
392,control,35-44,web,google_play,0.6507,0,0,7.27
393,control,35-44,ios,google_play,0.7039,1,0,13.47
394,control,18-24,android,website,0.3964,0,0,0.22
395,control,25-34,android,google_play,0.6908,0,0,4.25
396,control,35-44,android,app_store,0.5285,0,1,3.52
397,control,25-34,android,google_play,0.5486,1,0,17.59
398,control,25-34,ios,referral,0.6456,0,0,4.41
399,control,25-34,android,website,0.6535,1,0,11.94
400,control,25-34,ios,referral,0.5673,1,0,12.61
401,control,45+,android,app_store,0.5193,0,1,7.05
402,control,35-44,android,google_play,0.658,1,0,17.12
403,control,18-24,android,google_play,0.5715,0,1,5.65
404,control,45+,ios,app_store,0.5844,0,0,7.91
405,control,45+,ios,app_store,0.5969,0,1,6.54
406,control,25-34,android,website,0.4816,1,0,9.78
407,control,35-44,android,website,0.681,1,0,17.3
408,control,18-24,android,website,0.4671,0,1,7.25
409,control,45+,ios,app_store,0.5165,1,0,21.14
410,control,35-44,android,google_play,0.7038,0,0,4.16
411,control,35-44,ios,app_store,0.5756,0,1,0.0
412,control,18-24,android,app_store,0.5416,0,0,1.28
413,control,45+,android,google_play,0.4482,0,0,3.75
414,control,18-24,ios,google_play,0.7675,1,0,9.44
415,control,25-34,ios,referral,0.8207,1,0,22.76
416,control,18-24,android,google_play,0.5172,1,0,17.29
417,control,35-44,web,app_store,0.6376,0,1,0.0
418,control,18-24,android,app_store,0.5164,1,0,14.6
419,control,45+,android,website,0.4281,0,0,2.47
420,control,35-44,android,app_store,0.5956,0,0,3.03
421,control,18-24,ios,app_store,0.5528,1,0,26.52
422,control,18-24,ios,google_play,0.4443,1,0,21.47
423,control,18-24,android,app_store,0.537,1,0,9.81
424,control,35-44,web,website,0.5526,1,0,9.06
425,control,35-44,ios,google_play,0.661,1,0,16.4
426,control,25-34,web,app_store,0.5698,0,0,3.95
427,control,35-44,ios,website,0.5572,0,1,7.07
428,control,18-24,web,google_play,0.606,1,1,28.38
429,control,35-44,ios,website,0.6287,0,1,9.92
430,control,45+,android,app_store,0.6077,1,0,15.35
431,control,35-44,android,website,0.5856,0,0,6.86
432,control,35-44,ios,app_store,0.6102,0,0,5.03
433,control,35-44,android,google_play,0.6453,0,0,0.0
434,control,18-24,ios,app_store,0.3976,1,0,6.67
435,control,25-34,android,referral,0.7643,1,0,18.86
436,control,18-24,ios,app_store,0.578,1,0,9.03
437,control,25-34,android,referral,0.7708,1,0,12.89
438,control,35-44,web,referral,0.5565,0,0,1.03
439,control,35-44,android,google_play,0.5066,0,0,4.29
440,control,45+,android,google_play,0.5353,1,0,25.68
441,control,18-24,ios,google_play,0.595,0,0,3.55
442,control,35-44,ios,referral,0.6831,0,0,1.56
443,control,18-24,ios,website,0.5309,1,0,5.59
444,control,25-34,web,google_play,0.5358,0,0,5.15
445,control,35-44,android,app_store,0.4672,1,1,18.17
446,control,45+,ios,website,0.5187,1,0,14.7
447,control,35-44,android,app_store,0.4834,1,0,25.0
448,control,18-24,ios,app_store,0.4458,0,0,0.0
449,control,35-44,android,app_store,0.5555,1,1,13.89
450,control,18-24,android,google_play,0.5605,1,0,16.53
451,control,45+,ios,referral,0.725,0,0,1.48
452,control,35-44,ios,website,0.6643,0,1,5.48
453,control,18-24,android,app_store,0.6307,1,0,20.78
454,control,18-24,web,google_play,0.5883,1,0,24.31
455,control,18-24,ios,website,0.5453,0,0,5.31
456,control,45+,android,google_play,0.7065,0,0,3.08
457,control,25-34,ios,app_store,0.5002,1,0,15.96
458,control,35-44,android,google_play,0.5629,1,0,20.73
459,control,35-44,android,website,0.5192,1,0,16.86
460,control,35-44,ios,referral,0.7275,0,0,3.67
461,control,18-24,android,website,0.3977,1,0,21.06
462,control,45+,android,app_store,0.5571,1,0,18.83
463,control,25-34,ios,website,0.6124,1,0,19.85
464,control,35-44,android,app_store,0.6511,0,0,0.65
465,control,35-44,ios,referral,0.7196,1,0,26.1
466,control,35-44,ios,google_play,0.7591,0,0,0.0
467,control,45+,android,app_store,0.4921,0,1,5.08
468,control,18-24,ios,google_play,0.6084,1,0,15.08
469,control,25-34,android,app_store,0.5071,1,0,24.49
470,control,25-34,ios,app_store,0.5288,1,0,23.3
471,control,25-34,android,google_play,0.7172,1,0,17.99
472,control,18-24,web,website,0.421,1,0,27.33
473,control,18-24,android,website,0.5273,1,0,16.88
474,control,25-34,ios,google_play,0.6585,1,0,23.29
475,control,25-34,android,app_store,0.66,1,0,13.64
476,control,25-34,android,google_play,0.4433,1,0,20.43
477,control,35-44,ios,google_play,0.7073,0,0,0.14
478,control,35-44,ios,app_store,0.6214,1,0,18.12
479,control,25-34,web,referral,0.558,1,0,17.69
480,control,25-34,android,referral,0.5759,1,0,23.27
481,control,25-34,android,app_store,0.6489,1,1,13.98
482,control,35-44,android,website,0.6045,0,0,14.56
483,control,25-34,android,website,0.5158,1,0,9.71
484,control,18-24,web,app_store,0.4349,1,0,19.4
485,control,25-34,web,website,0.4505,0,0,4.54
486,control,25-34,web,app_store,0.6362,1,0,21.23
487,control,25-34,android,app_store,0.4638,0,0,1.64
488,control,35-44,android,referral,0.6065,1,0,19.45
489,control,35-44,ios,website,0.8005,0,1,1.47
490,control,35-44,android,app_store,0.6228,0,0,10.24
491,control,35-44,ios,google_play,0.6954,1,0,14.19
492,control,35-44,android,referral,0.5311,0,0,2.97
493,control,25-34,android,google_play,0.4778,1,0,14.02
494,control,35-44,web,referral,0.6897,1,0,13.2
495,control,25-34,android,referral,0.5734,0,0,0.0
496,control,25-34,web,google_play,0.6799,0,0,5.92
497,control,35-44,android,website,0.5575,1,0,13.96
498,control,25-34,android,website,0.8105,1,0,13.22
499,control,25-34,android,website,0.4882,1,0,12.22
500,control,35-44,android,google_play,0.6271,1,0,19.83
501,control,45+,ios,app_store,0.4725,0,1,3.58
502,control,45+,android,app_store,0.5866,0,1,3.59
503,control,25-34,ios,website,0.6092,0,1,0.76
504,control,25-34,web,website,0.4671,1,0,20.61
505,control,35-44,android,website,0.5286,0,0,1.12
506,control,25-34,android,google_play,0.6937,0,1,3.75
507,control,35-44,android,app_store,0.6941,0,0,3.0
508,control,25-34,ios,app_store,0.5008,1,0,7.87
509,control,18-24,ios,website,0.4867,1,0,30.17
510,control,18-24,android,google_play,0.6797,1,0,21.45
511,control,35-44,ios,website,0.5806,0,0,4.15
512,control,18-24,ios,app_store,0.5787,0,1,4.72
513,control,25-34,android,google_play,0.6662,1,0,30.31
514,control,25-34,android,referral,0.4974,1,0,24.82
515,control,18-24,web,app_store,0.4588,1,0,20.09
516,control,25-34,android,app_store,0.5481,0,0,0.95
517,control,35-44,android,website,0.6504,0,1,1.52
518,control,18-24,android,google_play,0.6156,1,1,7.18
519,control,35-44,ios,referral,0.7216,0,0,2.17
520,control,45+,android,referral,0.5229,1,0,21.97
521,control,25-34,android,website,0.6244,0,0,5.78
522,control,18-24,android,app_store,0.5118,1,1,21.7
523,control,35-44,ios,google_play,0.6902,1,0,14.91
524,control,18-24,android,referral,0.627,0,0,5.48
