user_id,jtbd_segment,dormancy_bucket,group,balance_eur,prior_logins,reactivated_60d,retained_m3,arpu_eur
87,digital_newcomers,30-60d,control,219.85,2.6,1,1,3.4
88,digital_newcomers,30-60d,control,294.63,4.6,0,0,3.4
89,digital_newcomers,30-60d,control,550.14,6.4,0,0,3.4
90,digital_newcomers,30-60d,control,255.32,6.0,0,0,3.4
91,digital_newcomers,30-60d,control,315.2,5.8,0,0,3.4
92,digital_newcomers,30-60d,control,861.51,7.0,1,1,3.4
93,digital_newcomers,30-60d,control,301.55,3.2,0,0,3.4
94,digital_newcomers,30-60d,control,301.93,7.2,0,0,3.4
95,digital_newcomers,30-60d,control,513.86,7.1,0,0,3.4
96,digital_newcomers,30-60d,control,167.8,6.7,0,0,3.4
97,digital_newcomers,30-60d,control,193.69,5.7,0,0,3.4
98,digital_newcomers,30-60d,control,276.46,9.7,0,0,3.4
99,digital_newcomers,30-60d,control,202.46,6.4,0,0,3.4
100,digital_newcomers,30-60d,control,181.72,1.6,0,0,3.4
101,digital_newcomers,30-60d,control,974.46,2.2,0,0,3.4
102,digital_newcomers,30-60d,control,188.14,5.8,0,0,3.4
103,digital_newcomers,30-60d,control,187.25,9.3,0,0,3.4
104,digital_newcomers,30-60d,control,978.33,8.9,0,0,3.4
105,digital_newcomers,30-60d,control,987.47,7.1,0,0,3.4
106,digital_newcomers,30-60d,control,193.01,6.2,0,0,3.4
107,digital_newcomers,30-60d,control,540.05,3.1,0,0,3.4
108,digital_newcomers,30-60d,control,210.08,8.9,0,0,3.4
109,digital_newcomers,30-60d,control,1049.97,7.8,0,0,3.4
110,digital_newcomers,30-60d,control,231.93,3.1,0,0,3.4
111,digital_newcomers,30-60d,control,819.74,7.6,0,0,3.4
112,digital_newcomers,30-60d,control,108.75,6.1,0,0,3.4
113,digital_newcomers,30-60d,control,143.03,6.8,0,0,3.4
114,digital_newcomers,30-60d,control,398.22,1.0,0,0,3.4
115,digital_newcomers,30-60d,control,259.21,7.0,0,0,3.4
116,digital_newcomers,30-60d,control,46.97,4.5,0,0,3.4
117,digital_newcomers,30-60d,control,69.04,9.7,0,0,3.4
118,digital_newcomers,30-60d,control,481.67,4.6,0,0,3.4
119,digital_newcomers,30-60d,control,575.23,6.6,0,0,3.4
120,digital_newcomers,30-60d,control,303.77,3.8,0,0,3.4
121,digital_newcomers,30-60d,control,216.58,7.0,0,0,3.4
122,digital_newcomers,30-60d,control,104.92,5.7,0,0,3.4
123,digital_newcomers,30-60d,control,134.98,3.9,0,0,3.4
124,digital_newcomers,30-60d,control,480.83,6.0,0,0,3.4
125,digital_newcomers,30-60d,control,485.62,8.1,0,0,3.4
126,digital_newcomers,30-60d,control,1575.18,5.5,0,0,3.4
127,digital_newcomers,30-60d,control,883.07,4.9,1,1,3.4
128,digital_newcomers,30-60d,control,67.91,2.9,0,0,3.4
129,digital_newcomers,30-60d,control,129.63,7.1,0,0,3.4
130,digital_newcomers,30-60d,control,305.22,2.5,0,0,3.4
131,digital_newcomers,30-60d,control,255.57,4.8,0,0,3.4
132,digital_newcomers,30-60d,control,429.05,6.3,1,0,3.4
133,digital_newcomers,30-60d,control,373.92,4.2,0,0,3.4
134,digital_newcomers,30-60d,control,286.41,8.1,0,0,3.4
135,digital_newcomers,30-60d,control,371.27,5.3,1,1,3.4
136,digital_newcomers,30-60d,control,49.68,2.8,0,0,3.4
137,digital_newcomers,30-60d,control,37.83,4.3,0,0,3.4
138,digital_newcomers,30-60d,control,194.82,6.5,0,0,3.4
139,digital_newcomers,30-60d,control,707.79,5.8,0,0,3.4
140,digital_newcomers,30-60d,control,226.23,9.4,0,0,3.4
141,digital_newcomers,30-60d,control,125.22,4.5,0,0,3.4
142,digital_newcomers,30-60d,control,120.24,5.1,0,0,3.4
143,digital_newcomers,30-60d,control,969.34,2.5,1,1,3.4
144,digital_newcomers,30-60d,control,357.72,5.7,0,0,3.4
145,digital_newcomers,30-60d,control,514.21,4.5,0,0,3.4
146,digital_newcomers,30-60d,control,103.98,4.4,0,0,3.4
147,digital_newcomers,30-60d,control,210.31,6.8,0,0,3.4
148,digital_newcomers,30-60d,control,703.82,5.1,0,0,3.4
149,digital_newcomers,30-60d,control,574.66,5.2,0,0,3.4
150,digital_newcomers,30-60d,control,332.52,5.7,0,0,3.4
151,digital_newcomers,30-60d,control,1165.39,11.2,0,0,3.4
152,digital_newcomers,30-60d,control,278.15,8.7,0,0,3.4
153,digital_newcomers,30-60d,control,319.4,5.9,0,0,3.4
154,digital_newcomers,30-60d,control,125.63,2.0,0,0,3.4
155,digital_newcomers,30-60d,control,100.09,4.9,0,0,3.4
156,digital_newcomers,30-60d,control,1152.61,8.8,0,0,3.4
157,digital_newcomers,30-60d,control,323.17,5.0,0,0,3.4
158,digital_newcomers,30-60d,control,283.8,7.5,0,0,3.4
159,digital_newcomers,30-60d,control,573.11,3.1,0,0,3.4
160,digital_newcomers,30-60d,control,1954.99,6.6,0,0,3.4
161,digital_newcomers,30-60d,control,263.28,7.5,0,0,3.4
162,digital_newcomers,30-60d,control,213.51,4.1,0,0,3.4
163,digital_newcomers,30-60d,control,123.81,7.7,0,0,3.4
164,digital_newcomers,30-60d,control,328.07,5.3,0,0,3.4
165,digital_newcomers,30-60d,control,191.15,8.3,0,0,3.4
166,digital_newcomers,30-60d,control,187.08,1.0,0,0,3.4
167,digital_newcomers,30-60d,control,728.57,8.2,0,0,3.4
168,digital_newcomers,30-60d,control,73.55,1.0,0,0,3.4
169,digital_newcomers,30-60d,control,1696.52,7.1,0,0,3.4
170,digital_newcomers,30-60d,control,354.98,2.1,0,0,3.4
171,digital_newcomers,30-60d,control,264.96,5.8,0,0,3.4
172,digital_newcomers,30-60d,control,322.38,7.7,0,0,3.4
173,digital_newcomers,30-60d,control,501.83,10.1,0,0,3.4
174,digital_newcomers,30-60d,control,120.28,9.3,0,0,3.4
175,digital_newcomers,30-60d,control,752.24,4.9,1,0,3.4
176,digital_newcomers,30-60d,control,300.84,9.9,0,0,3.4
177,digital_newcomers,30-60d,control,115.25,4.9,1,1,3.4
178,digital_newcomers,30-60d,control,407.47,4.7,0,0,3.4
179,digital_newcomers,30-60d,control,36.04,4.0,0,0,3.4
180,digital_newcomers,30-60d,control,126.35,6.6,0,0,3.4
181,digital_newcomers,30-60d,control,199.8,5.6,1,1,3.4
182,digital_newcomers,30-60d,control,430.73,7.7,0,0,3.4
183,digital_newcomers,30-60d,control,381.93,6.7,0,0,3.4
184,digital_newcomers,30-60d,control,228.22,5.2,0,0,3.4
185,digital_newcomers,30-60d,control,107.15,2.9,0,0,3.4
186,digital_newcomers,30-60d,control,162.22,3.8,0,0,3.4
187,digital_newcomers,30-60d,control,319.72,6.1,0,0,3.4
188,digital_newcomers,30-60d,control,502.78,7.8,1,0,3.4
189,digital_newcomers,30-60d,control,379.46,6.5,0,0,3.4
190,digital_newcomers,30-60d,control,231.74,6.7,0,0,3.4
191,digital_newcomers,30-60d,control,284.82,2.4,0,0,3.4
192,digital_newcomers,30-60d,control,664.05,5.4,0,0,3.4
193,digital_newcomers,30-60d,control,35.59,3.1,0,0,3.4
194,digital_newcomers,30-60d,control,103.78,7.8,0,0,3.4
195,digital_newcomers,30-60d,control,95.46,3.9,0,0,3.4
196,digital_newcomers,30-60d,control,887.93,2.9,0,0,3.4
197,digital_newcomers,30-60d,control,1050.52,1.9,1,0,3.4
198,digital_newcomers,30-60d,control,161.34,8.0,0,0,3.4
199,digital_newcomers,30-60d,control,59.15,7.3,0,0,3.4
200,digital_newcomers,30-60d,control,678.28,4.4,0,0,3.4
201,digital_newcomers,30-60d,control,377.25,7.9,1,1,3.4
202,digital_newcomers,30-60d,control,376.32,3.4,0,0,3.4
203,digital_newcomers,30-60d,control,78.34,7.1,0,0,3.4
204,digital_newcomers,30-60d,control,87.7,7.8,1,1,3.4
205,digital_newcomers,30-60d,control,781.29,4.9,1,1,3.4
206,digital_newcomers,30-60d,control,149.05,7.2,0,0,3.4
207,digital_newcomers,30-60d,control,176.04,9.4,0,0,3.4
208,digital_newcomers,30-60d,control,35.51,10.0,0,0,3.4
209,digital_newcomers,30-60d,control,176.94,1.2,0,0,3.4
210,digital_newcomers,30-60d,control,194.61,5.5,0,0,3.4
211,digital_newcomers,30-60d,control,389.03,7.3,0,0,3.4
212,digital_newcomers,30-60d,control,428.1,11.1,0,0,3.4
213,digital_newcomers,30-60d,control,186.82,5.6,0,0,3.4
214,digital_newcomers,30-60d,control,61.28,6.4,0,0,3.4
215,digital_newcomers,30-60d,control,1073.05,5.6,0,0,3.4
216,digital_newcomers,30-60d,control,101.19,7.5,1,1,3.4
217,digital_newcomers,30-60d,control,282.0,9.0,0,0,3.4
218,digital_newcomers,30-60d,control,63.21,6.0,0,0,3.4
219,digital_newcomers,30-60d,control,186.07,5.8,0,0,3.4
220,digital_newcomers,30-60d,control,67.19,7.2,0,0,3.4
221,digital_newcomers,30-60d,control,31.44,8.0,0,0,3.4
222,digital_newcomers,30-60d,control,138.23,2.7,0,0,3.4
223,digital_newcomers,30-60d,control,323.59,12.0,0,0,3.4
224,digital_newcomers,30-60d,control,333.67,5.6,0,0,3.4
225,digital_newcomers,30-60d,control,403.46,9.1,0,0,3.4
226,digital_newcomers,30-60d,control,172.72,4.8,0,0,3.4
227,digital_newcomers,30-60d,control,811.35,4.9,0,0,3.4
228,digital_newcomers,30-60d,control,314.59,5.4,1,0,3.4
229,digital_newcomers,30-60d,control,126.3,4.0,0,0,3.4
230,digital_newcomers,30-60d,control,113.19,3.7,0,0,3.4
231,digital_newcomers,30-60d,control,596.08,5.4,0,0,3.4
232,digital_newcomers,30-60d,control,233.79,8.6,0,0,3.4
233,digital_newcomers,30-60d,control,118.1,7.4,0,0,3.4
234,digital_newcomers,30-60d,control,410.75,6.0,0,0,3.4
235,digital_newcomers,30-60d,control,106.9,6.0,0,0,3.4
236,digital_newcomers,30-60d,control,92.51,2.1,0,0,3.4
237,digital_newcomers,30-60d,control,184.79,3.4,0,0,3.4
238,digital_newcomers,30-60d,control,603.3,1.0,0,0,3.4
239,digital_newcomers,30-60d,control,116.94,9.7,0,0,3.4
240,digital_newcomers,30-60d,control,452.08,3.1,0,0,3.4
241,digital_newcomers,30-60d,control,350.11,6.1,1,1,3.4
242,digital_newcomers,30-60d,control,305.67,6.4,0,0,3.4
243,digital_newcomers,30-60d,control,466.66,2.0,0,0,3.4
244,digital_newcomers,30-60d,control,545.33,9.0,0,0,3.4
245,digital_newcomers,30-60d,control,55.26,6.2,0,0,3.4
246,digital_newcomers,30-60d,control,1030.78,7.3,0,0,3.4
247,digital_newcomers,30-60d,control,119.76,6.0,0,0,3.4
248,digital_newcomers,30-60d,control,108.63,11.1,0,0,3.4
249,digital_newcomers,30-60d,control,607.19,3.7,0,0,3.4
250,digital_newcomers,30-60d,control,408.18,7.1,0,0,3.4
251,digital_newcomers,30-60d,control,406.79,7.9,1,1,3.4
252,digital_newcomers,30-60d,control,58.74,6.2,0,0,3.4
253,digital_newcomers,30-60d,control,87.89,10.2,0,0,3.4
254,digital_newcomers,30-60d,control,725.87,6.6,0,0,3.4
255,digital_newcomers,30-60d,control,247.06,6.5,0,0,3.4
256,digital_newcomers,30-60d,control,336.16,6.2,0,0,3.4
257,digital_newcomers,30-60d,control,234.87,5.8,0,0,3.4
258,digital_newcomers,30-60d,control,500.38,6.0,0,0,3.4
259,digital_newcomers,30-60d,control,253.5,5.5,0,0,3.4
260,digital_newcomers,30-60d,control,216.84,4.1,0,0,3.4
261,digital_newcomers,30-60d,control,368.33,7.0,0,0,3.4
262,digital_newcomers,30-60d,control,221.82,8.5,0,0,3.4
263,digital_newcomers,30-60d,control,555.95,6.1,0,0,3.4
264,digital_newcomers,30-60d,control,102.83,6.9,0,0,3.4
265,digital_newcomers,30-60d,control,685.31,8.7,0,0,3.4
266,digital_newcomers,30-60d,control,90.44,5.2,0,0,3.4
267,digital_newcomers,30-60d,control,208.17,4.6,0,0,3.4
268,digital_newcomers,30-60d,control,163.5,4.4,0,0,3.4
269,digital_newcomers,30-60d,control,177.4,6.6,0,0,3.4
270,digital_newcomers,30-60d,control,98.34,4.8,0,0,3.4
271,digital_newcomers,30-60d,control,96.58,1.0,0,0,3.4
272,digital_newcomers,30-60d,control,250.46,6.1,0,0,3.4
273,digital_newcomers,30-60d,control,646.36,1.0,0,0,3.4
274,digital_newcomers,30-60d,control,853.33,3.2,0,0,3.4
275,digital_newcomers,30-60d,control,133.98,3.8,0,0,3.4
276,digital_newcomers,30-60d,control,766.62,10.6,1,0,3.4
277,digital_newcomers,30-60d,control,251.76,10.4,0,0,3.4
278,digital_newcomers,30-60d,control,271.74,6.9,0,0,3.4
279,digital_newcomers,30-60d,control,483.49,4.2,0,0,3.4
280,digital_newcomers,30-60d,control,183.19,4.8,0,0,3.4
281,digital_newcomers,30-60d,control,250.85,6.7,0,0,3.4
282,digital_newcomers,30-60d,control,320.3,7.1,0,0,3.4
283,digital_newcomers,30-60d,control,417.07,3.5,0,0,3.4
284,digital_newcomers,30-60d,control,233.52,6.2,0,0,3.4
285,digital_newcomers,30-60d,control,475.72,2.6,0,0,3.4
286,digital_newcomers,30-60d,control,153.25,5.9,1,1,3.4
287,digital_newcomers,30-60d,control,436.78,6.2,0,0,3.4
288,digital_newcomers,30-60d,control,51.07,6.0,0,0,3.4
289,digital_newcomers,30-60d,control,225.26,5.9,0,0,3.4
290,digital_newcomers,30-60d,control,522.24,3.2,0,0,3.4
291,digital_newcomers,30-60d,control,102.04,6.7,0,0,3.4
292,digital_newcomers,30-60d,control,173.28,1.0,0,0,3.4
293,digital_newcomers,30-60d,control,125.66,4.6,0,0,3.4
294,digital_newcomers,30-60d,control,252.36,5.2,0,0,3.4
295,digital_newcomers,30-60d,control,142.48,3.8,0,0,3.4
296,digital_newcomers,30-60d,control,71.63,7.0,0,0,3.4
297,digital_newcomers,30-60d,control,217.47,10.0,0,0,3.4
298,digital_newcomers,30-60d,control,1271.86,5.4,0,0,3.4
299,digital_newcomers,30-60d,control,258.77,3.3,0,0,3.4
300,digital_newcomers,30-60d,control,336.17,7.4,0,0,3.4
301,digital_newcomers,30-60d,control,539.11,8.9,0,0,3.4
302,digital_newcomers,30-60d,control,113.26,7.3,0,0,3.4
303,digital_newcomers,30-60d,control,54.35,5.2,0,0,3.4
304,digital_newcomers,30-60d,control,269.18,4.6,0,0,3.4
305,digital_newcomers,30-60d,control,1102.95,5.6,0,0,3.4
306,digital_newcomers,30-60d,control,203.2,6.2,0,0,3.4
307,digital_newcomers,30-60d,control,350.25,8.9,0,0,3.4
308,digital_newcomers,30-60d,control,313.47,7.5,0,0,3.4
309,digital_newcomers,30-60d,control,228.08,8.4,0,0,3.4
310,digital_newcomers,30-60d,control,289.83,8.2,0,0,3.4
311,digital_newcomers,30-60d,control,639.22,6.7,0,0,3.4
312,digital_newcomers,30-60d,control,320.11,1.0,0,0,3.4
313,digital_newcomers,30-60d,control,13.21,1.7,0,0,3.4
314,digital_newcomers,30-60d,control,358.53,3.1,1,1,3.4
315,digital_newcomers,30-60d,control,166.13,11.6,0,0,3.4
316,digital_newcomers,30-60d,control,339.15,10.0,0,0,3.4
317,digital_newcomers,30-60d,control,109.74,5.7,1,0,3.4
318,digital_newcomers,30-60d,control,199.4,4.1,0,0,3.4
319,digital_newcomers,30-60d,control,251.56,5.3,0,0,3.4
320,digital_newcomers,30-60d,control,292.51,7.5,0,0,3.4
321,digital_newcomers,30-60d,control,106.35,8.8,0,0,3.4
322,digital_newcomers,30-60d,control,78.77,7.1,0,0,3.4
323,digital_newcomers,30-60d,control,71.91,6.6,0,0,3.4
324,digital_newcomers,30-60d,control,330.14,7.6,0,0,3.4
325,digital_newcomers,30-60d,control,318.89,5.2,0,0,3.4
326,digital_newcomers,30-60d,control,491.0,9.7,0,0,3.4
327,digital_newcomers,30-60d,control,700.54,5.7,0,0,3.4
328,digital_newcomers,30-60d,control,451.9,6.3,0,0,3.4
329,digital_newcomers,30-60d,control,472.96,5.9,0,0,3.4
330,digital_newcomers,30-60d,control,175.64,7.6,0,0,3.4
331,digital_newcomers,30-60d,control,321.23,7.7,0,0,3.4
332,digital_newcomers,30-60d,control,448.09,6.9,0,0,3.4
333,digital_newcomers,30-60d,control,775.76,4.7,0,0,3.4
334,digital_newcomers,30-60d,control,106.06,3.4,0,0,3.4
335,digital_newcomers,30-60d,control,196.55,5.2,0,0,3.4
336,digital_newcomers,30-60d,control,321.15,6.8,0,0,3.4
337,digital_newcomers,30-60d,control,400.58,1.0,0,0,3.4
338,digital_newcomers,30-60d,control,42.77,6.1,0,0,3.4
339,digital_newcomers,30-60d,control,564.77,9.0,0,0,3.4
340,digital_newcomers,30-60d,control,163.97,7.2,0,0,3.4
341,digital_newcomers,30-60d,control,244.42,8.5,0,0,3.4
342,digital_newcomers,30-60d,control,466.17,7.7,0,0,3.4
343,digital_newcomers,30-60d,control,533.32,7.7,0,0,3.4
344,digital_newcomers,30-60d,control,132.97,3.9,0,0,3.4
345,digital_newcomers,30-60d,control,377.69,3.6,0,0,3.4
346,digital_newcomers,30-60d,control,90.61,5.5,0,0,3.4
347,digital_newcomers,30-60d,control,1730.39,2.6,0,0,3.4
348,digital_newcomers,30-60d,control,275.85,7.0,0,0,3.4
349,digital_newcomers,30-60d,control,349.25,5.6,0,0,3.4
350,digital_newcomers,30-60d,control,169.83,8.8,0,0,3.4
351,digital_newcomers,30-60d,control,233.18,3.3,0,0,3.4
352,digital_newcomers,30-60d,control,777.51,5.8,0,0,3.4
353,digital_newcomers,30-60d,control,100.31,5.4,0,0,3.4
354,digital_newcomers,30-60d,control,117.88,6.6,0,0,3.4
355,digital_newcomers,30-60d,control,2315.47,4.5,0,0,3.4
356,digital_newcomers,30-60d,control,297.38,5.6,0,0,3.4
357,digital_newcomers,30-60d,control,257.12,6.3,0,0,3.4
358,digital_newcomers,30-60d,control,79.96,2.1,0,0,3.4
359,digital_newcomers,30-60d,control,196.1,4.5,0,0,3.4
360,digital_newcomers,30-60d,control,462.18,6.5,0,0,3.4
361,digital_newcomers,30-60d,control,652.65,9.9,0,0,3.4
362,digital_newcomers,30-60d,control,533.22,9.1,0,0,3.4
363,digital_newcomers,30-60d,control,399.93,7.5,0,0,3.4
364,digital_newcomers,30-60d,control,101.71,7.8,0,0,3.4
365,digital_newcomers,30-60d,control,129.58,9.3,0,0,3.4
366,digital_newcomers,30-60d,control,804.26,5.3,0,0,3.4
367,digital_newcomers,30-60d,control,201.88,6.3,0,0,3.4
368,digital_newcomers,30-60d,control,606.04,5.1,0,0,3.4
369,digital_newcomers,30-60d,control,110.95,7.1,1,1,3.4
370,digital_newcomers,30-60d,control,202.62,5.5,0,0,3.4
371,digital_newcomers,30-60d,control,1009.36,5.8,0,0,3.4
372,digital_newcomers,30-60d,control,45.7,3.8,0,0,3.4
373,digital_newcomers,30-60d,control,141.36,9.5,0,0,3.4
374,digital_newcomers,30-60d,control,685.92,6.2,0,0,3.4
375,digital_newcomers,30-60d,control,227.91,6.0,0,0,3.4
376,digital_newcomers,30-60d,control,38.26,1.0,0,0,3.4
377,digital_newcomers,30-60d,control,247.55,7.7,1,1,3.4
378,digital_newcomers,30-60d,control,552.93,8.6,0,0,3.4
379,digital_newcomers,30-60d,control,528.54,6.7,0,0,3.4
380,digital_newcomers,30-60d,control,427.63,6.3,0,0,3.4
381,digital_newcomers,30-60d,control,795.02,1.0,0,0,3.4
382,digital_newcomers,30-60d,control,94.66,5.1,0,0,3.4
383,digital_newcomers,30-60d,control,73.27,3.5,0,0,3.4
384,digital_newcomers,30-60d,control,1747.5,10.5,1,1,3.4
385,digital_newcomers,30-60d,control,97.58,1.2,0,0,3.4
386,digital_newcomers,30-60d,control,110.14,5.8,0,0,3.4
387,digital_newcomers,30-60d,control,133.01,6.4,0,0,3.4
388,digital_newcomers,30-60d,control,341.72,2.7,0,0,3.4
389,digital_newcomers,30-60d,control,129.0,7.6,1,1,3.4
390,digital_newcomers,30-60d,control,190.0,6.9,0,0,3.4
391,digital_newcomers,30-60d,control,218.59,9.8,0,0,3.4
392,digital_newcomers,30-60d,control,199.27,7.9,0,0,3.4
393,digital_newcomers,30-60d,control,1174.25,2.9,0,0,3.4
394,digital_newcomers,30-60d,control,802.66,3.4,0,0,3.4
395,digital_newcomers,30-60d,control,165.84,7.1,0,0,3.4
396,digital_newcomers,30-60d,control,145.41,4.3,0,0,3.4
397,digital_newcomers,30-60d,control,121.07,11.7,0,0,3.4
398,digital_newcomers,30-60d,control,497.41,4.8,0,0,3.4
399,digital_newcomers,30-60d,control,138.26,1.0,0,0,3.4
400,digital_newcomers,30-60d,control,57.48,1.0,0,0,3.4
401,digital_newcomers,30-60d,control,706.25,5.9,0,0,3.4
402,digital_newcomers,30-60d,control,339.95,8.0,1,1,3.4
403,digital_newcomers,30-60d,control,438.33,4.6,0,0,3.4
404,digital_newcomers,30-60d,control,384.89,4.6,0,0,3.4
405,digital_newcomers,30-60d,control,94.89,6.2,0,0,3.4
406,digital_newcomers,30-60d,control,129.8,6.1,0,0,3.4
407,digital_newcomers,30-60d,control,401.24,9.9,0,0,3.4
408,digital_newcomers,30-60d,control,109.83,10.2,0,0,3.4
409,digital_newcomers,30-60d,control,564.48,6.2,0,0,3.4
410,digital_newcomers,30-60d,control,57.62,5.6,0,0,3.4
411,digital_newcomers,30-60d,control,530.51,9.8,0,0,3.4
412,digital_newcomers,30-60d,control,311.56,4.2,0,0,3.4
413,digital_newcomers,30-60d,control,454.68,5.9,0,0,3.4
414,digital_newcomers,30-60d,control,166.37,8.5,0,0,3.4
415,digital_newcomers,30-60d,control,462.49,4.9,0,0,3.4
416,digital_newcomers,30-60d,control,223.1,3.9,0,0,3.4
417,digital_newcomers,30-60d,control,411.66,7.5,1,0,3.4
418,digital_newcomers,30-60d,control,181.28,6.9,0,0,3.4
419,digital_newcomers,30-60d,control,249.31,4.5,0,0,3.4
420,digital_newcomers,30-60d,control,327.33,5.5,0,0,3.4
