customer_id,segment,frequency,avg_tx_value,total_spend,lifetime_months
63,Dormant,0,0.0,0.0,1.0
64,Casual,1,29.08,29.08,2.4
65,Casual,1,23.86,23.86,3.3
66,Casual,3,28.71,86.12,5.6
67,Growth,10,33.95,339.46,6.3
68,Power,4,91.93,367.72,1.0
69,Casual,2,33.8,67.6,3.9
70,Growth,1,156.52,156.52,1.0
71,Casual,1,20.95,20.95,1.0
72,Dormant,1,12.2,12.2,1.0
73,Growth,3,49.1,147.29,1.0
74,Power,26,80.36,2089.27,6.0
75,Growth,0,0.0,0.0,1.0
76,Growth,17,36.97,628.49,11.0
77,Casual,0,0.0,0.0,1.0
78,Casual,1,39.98,39.98,1.0
79,Dormant,0,0.0,0.0,1.0
80,Casual,5,46.69,233.44,4.0
81,Casual,1,27.99,27.99,1.0
82,Dormant,0,0.0,0.0,1.0
83,Growth,26,38.32,996.36,19.0
84,Power,19,101.46,1927.68,7.9
85,Power,24,105.83,2539.89,9.1
86,Dormant,0,0.0,0.0,1.1
87,Casual,2,51.88,103.75,2.5
88,Growth,3,51.17,153.5,1.0
89,Casual,6,39.25,235.51,5.2
90,Growth,7,64.8,453.61,3.1
91,Dormant,1,23.71,23.71,1.9
92,Casual,1,22.14,22.14,2.9
93,Casual,0,0.0,0.0,1.0
94,Growth,4,33.99,135.97,5.3
95,Casual,1,21.22,21.22,2.6
96,Casual,0,0.0,0.0,3.2
97,Power,7,73.97,517.8,2.8
98,Power,20,101.76,2035.12,7.7
99,Dormant,0,0.0,0.0,4.4
100,Dormant,0,0.0,0.0,1.1
101,Dormant,0,0.0,0.0,1.0
102,Growth,30,46.34,1390.29,21.6
103,Dormant,0,0.0,0.0,1.0
104,Dormant,0,0.0,0.0,1.7
105,Dormant,0,0.0,0.0,1.0
106,Casual,4,23.12,92.49,5.1
107,Growth,12,54.8,657.54,9.9
108,Power,16,103.39,1654.25,5.2
109,Dormant,0,0.0,0.0,2.3
110,Casual,5,25.99,129.94,5.1
111,Growth,7,56.52,395.61,5.4
112,Growth,7,54.99,384.95,7.3
113,Casual,2,53.95,107.9,1.5
114,Growth,1,50.17,50.17,1.0
115,Dormant,0,0.0,0.0,1.0
116,Dormant,0,0.0,0.0,2.1
117,Dormant,2,8.4,16.79,4.1
118,Casual,1,18.6,18.6,1.3
119,Casual,1,54.91,54.91,1.0
120,Casual,0,0.0,0.0,1.0
121,Casual,1,18.85,18.85,2.4
122,Power,10,118.66,1186.61,3.0
123,Casual,1,115.39,115.39,1.0
124,Power,80,113.4,9071.86,21.8
125,Casual,2,29.11,58.22,1.0
126,Growth,3,54.23,162.68,2.9
127,Growth,0,0.0,0.0,2.0
128,Power,25,112.68,2816.97,9.2
129,Casual,0,0.0,0.0,1.3
130,Growth,3,43.36,130.09,2.2
131,Dormant,0,0.0,0.0,1.0
132,Casual,0,0.0,0.0,1.9
133,Growth,0,0.0,0.0,1.3
134,Casual,0,0.0,0.0,1.0
135,Power,11,86.37,950.02,2.3
136,Dormant,0,0.0,0.0,1.0
137,Casual,3,24.38,73.15,7.5
138,Dormant,0,0.0,0.0,1.0
139,Power,2,104.71,209.41,1.4
140,Casual,4,43.14,172.56,5.8
141,Casual,2,39.89,79.78,1.0
142,Dormant,0,0.0,0.0,1.4
143,Casual,0,0.0,0.0,1.7
144,Casual,1,36.35,36.35,1.0
145,Growth,2,192.93,385.86,1.4
146,Growth,3,68.62,205.85,3.3
147,Casual,5,19.36,96.8,7.1
148,Casual,1,32.98,32.98,1.8
149,Power,23,100.86,2319.71,7.9
150,Dormant,1,19.11,19.11,1.2
151,Dormant,0,0.0,0.0,1.0
152,Growth,1,28.52,28.52,1.0
153,Casual,0,0.0,0.0,1.0
154,Power,23,123.61,2843.14,5.6
155,Casual,1,20.13,20.13,1.1
156,Growth,7,54.09,378.6,3.2
157,Casual,0,0.0,0.0,1.0
158,Dormant,1,11.9,11.9,4.2
159,Dormant,0,0.0,0.0,1.0
160,Power,8,75.18,601.4,2.4
161,Dormant,1,15.53,15.53,3.8
162,Growth,1,30.28,30.28,1.0
163,Power,1,36.94,36.94,1.2
164,Casual,0,0.0,0.0,2.4
165,Casual,3,35.33,106.0,10.6
166,Dormant,0,0.0,0.0,1.0
167,Dormant,0,0.0,0.0,2.6
168,Growth,6,44.55,267.27,2.8
169,Dormant,2,14.56,29.12,1.7
170,Growth,0,0.0,0.0,1.0
171,Casual,0,0.0,0.0,1.0
172,Growth,6,54.14,324.85,1.4
173,Dormant,0,0.0,0.0,1.7
174,Growth,6,40.13,240.75,6.3
175,Power,1,93.67,93.67,1.0
176,Casual,1,110.5,110.5,2.1
177,Dormant,0,0.0,0.0,3.3
178,Dormant,0,0.0,0.0,2.4
179,Dormant,0,0.0,0.0,1.0
180,Dormant,0,0.0,0.0,1.0
181,Dormant,0,0.0,0.0,1.0
182,Casual,2,13.54,27.09,1.7
183,Growth,5,58.18,290.9,2.4
184,Dormant,0,0.0,0.0,2.1
185,Casual,0,0.0,0.0,1.0
186,Casual,1,31.97,31.97,1.0
187,Power,17,129.69,2204.73,6.7
188,Dormant,0,0.0,0.0,1.0
189,Growth,2,50.61,101.23,1.6
190,Dormant,0,0.0,0.0,1.0
191,Growth,5,32.21,161.03,4.9
192,Growth,8,53.24,425.93,3.5
193,Dormant,0,0.0,0.0,1.0
194,Growth,1,49.18,49.18,1.0
195,Growth,29,61.76,1790.96,21.8
196,Casual,3,28.56,85.69,3.4
197,Dormant,0,0.0,0.0,1.5
198,Growth,2,41.01,82.02,1.0
199,Growth,2,46.61,93.21,1.0
200,Dormant,1,9.8,9.8,2.2
201,Dormant,0,0.0,0.0,1.0
202,Casual,0,0.0,0.0,2.0
203,Growth,2,67.82,135.63,1.3
204,Power,3,71.38,214.15,1.5
205,Growth,5,44.4,222.02,5.8
206,Growth,11,52.58,578.33,7.5
207,Casual,0,0.0,0.0,1.2
208,Growth,2,63.18,126.35,1.8
209,Casual,0,0.0,0.0,1.0
210,Dormant,0,0.0,0.0,1.0
211,Casual,1,20.39,20.39,1.0
212,Growth,1,41.53,41.53,1.0
213,Dormant,0,0.0,0.0,1.2
214,Dormant,1,18.54,18.54,1.0
215,Dormant,0,0.0,0.0,5.1
216,Growth,2,40.98,81.95,2.0
217,Growth,10,46.02,460.23,6.2
218,Dormant,1,26.79,26.79,1.0
219,Casual,3,55.96,167.87,3.2
220,Growth,2,148.93,297.86,1.0
221,Casual,1,15.11,15.11,1.0
222,Casual,0,0.0,0.0,1.0
223,Dormant,0,0.0,0.0,1.0
224,Growth,0,0.0,0.0,1.1
225,Dormant,0,0.0,0.0,4.1
226,Power,2,63.13,126.26,1.0
227,Casual,0,0.0,0.0,3.4
228,Casual,2,25.5,51.01,1.6
229,Power,8,126.22,1009.74,3.2
230,Growth,4,50.72,202.88,1.8
231,Casual,0,0.0,0.0,1.6
232,Dormant,0,0.0,0.0,1.0
233,Casual,1,13.56,13.56,3.8
234,Dormant,0,0.0,0.0,1.0
235,Dormant,0,0.0,0.0,1.0
236,Casual,0,0.0,0.0,1.0
237,Dormant,0,0.0,0.0,1.0
238,Power,1,24.37,24.37,1.7
239,Power,5,158.47,792.34,2.5
240,Dormant,0,0.0,0.0,1.0
241,Dormant,1,36.95,36.95,1.0
242,Growth,2,36.49,72.98,1.0
243,Casual,1,32.32,32.32,1.0
244,Casual,1,10.64,10.64,1.2
245,Dormant,0,0.0,0.0,2.6
246,Casual,7,35.3,247.07,7.1
247,Casual,4,41.02,164.06,6.8
248,Casual,1,48.0,48.0,1.6
249,Casual,0,0.0,0.0,1.0
250,Casual,1,39.55,39.55,3.3
251,Dormant,0,0.0,0.0,2.6
252,Casual,0,0.0,0.0,1.0
253,Growth,5,43.82,219.12,2.2
254,Growth,6,42.06,252.38,6.3
255,Dormant,0,0.0,0.0,2.5
256,Dormant,0,0.0,0.0,2.5
257,Power,26,101.96,2651.08,9.2
258,Power,8,67.34,538.75,5.6
259,Casual,2,43.22,86.44,2.4
260,Growth,5,85.75,428.75,3.9
261,Dormant,0,0.0,0.0,1.0
262,Growth,5,47.09,235.46,4.0
263,Growth,1,38.92,38.92,1.0
264,Dormant,0,0.0,0.0,2.6
265,Growth,0,0.0,0.0,1.0
266,Growth,5,55.42,277.09,1.8
267,Growth,2,41.48,82.96,1.0
268,Power,40,104.98,4199.31,11.6
269,Power,50,101.65,5082.63,13.7
270,Power,26,113.77,2958.05,7.9
271,Growth,5,72.37,361.86,2.5
272,Power,30,114.52,3435.5,6.6
273,Casual,1,35.2,35.2,2.3
274,Dormant,1,14.16,14.16,2.4
275,Casual,0,0.0,0.0,1.0
276,Growth,3,53.35,160.06,1.0
277,Casual,1,68.79,68.79,1.0
278,Dormant,2,20.85,41.71,1.0
279,Dormant,0,0.0,0.0,1.0
280,Power,25,144.6,3615.06,4.5
281,Growth,8,45.03,360.22,7.7
282,Growth,2,24.34,48.67,1.5
283,Growth,5,45.92,229.6,1.0
284,Casual,6,27.36,164.17,7.3
285,Casual,3,25.8,77.4,4.1
286,Power,30,110.22,3306.7,7.2
287,Casual,0,0.0,0.0,1.8
288,Casual,0,0.0,0.0,1.0
289,Power,6,120.36,722.14,2.6
290,Dormant,0,0.0,0.0,1.0
291,Power,4,201.61,806.44,1.0
292,Dormant,1,38.31,38.31,1.5
293,Power,3,139.64,418.92,1.1
294,Dormant,1,23.68,23.68,1.9
295,Dormant,0,0.0,0.0,1.0
296,Dormant,0,0.0,0.0,2.0
297,Dormant,0,0.0,0.0,1.0
298,Dormant,1,18.93,18.93,3.0
299,Casual,0,0.0,0.0,1.3
300,Dormant,0,0.0,0.0,2.0
301,Growth,7,42.89,300.25,3.9
302,Casual,1,83.73,83.73,1.0
303,Casual,0,0.0,0.0,1.0
304,Dormant,0,0.0,0.0,4.0
305,Casual,0,0.0,0.0,4.2
306,Casual,2,28.95,57.9,2.0
307,Casual,4,55.22,220.89,9.5
308,Growth,0,0.0,0.0,1.0
309,Growth,0,0.0,0.0,1.0
310,Casual,1,22.21,22.21,1.2
311,Casual,2,29.6,59.21,4.9
312,Growth,3,42.54,127.61,1.0
313,Casual,3,27.5,82.5,5.8
314,Casual,6,46.15,276.93,2.3
315,Growth,8,34.53,276.28,6.4
316,Casual,0,0.0,0.0,1.0
317,Dormant,0,0.0,0.0,1.0
318,Growth,2,55.44,110.88,1.0
319,Dormant,0,0.0,0.0,1.3
320,Dormant,0,0.0,0.0,1.5
321,Casual,0,0.0,0.0,1.0
322,Growth,1,16.17,16.17,1.0
323,Casual,7,28.91,202.4,11.1
324,Dormant,0,0.0,0.0,1.0
325,Casual,1,66.83,66.83,1.7
326,Dormant,0,0.0,0.0,2.2
327,Casual,0,0.0,0.0,1.0
328,Casual,0,0.0,0.0,1.9
329,Growth,4,49.65,198.61,1.0
330,Dormant,0,0.0,0.0,1.0
331,Growth,2,39.05,78.09,1.1
332,Dormant,1,10.57,10.57,3.6
333,Dormant,1,18.07,18.07,1.0
334,Growth,0,0.0,0.0,1.0
335,Casual,1,39.82,39.82,1.9
336,Power,5,91.58,457.91,1.0
337,Dormant,0,0.0,0.0,1.0
338,Power,45,97.04,4366.93,11.3
339,Dormant,0,0.0,0.0,2.4
340,Growth,4,57.12,228.47,7.3
341,Dormant,0,0.0,0.0,1.0
342,Dormant,0,0.0,0.0,1.2
343,Casual,1,12.54,12.54,1.0
344,Dormant,0,0.0,0.0,1.0
345,Dormant,2,9.51,19.02,1.3
346,Dormant,0,0.0,0.0,2.0
347,Growth,4,85.14,340.55,2.5
348,Casual,0,0.0,0.0,1.0
349,Power,27,102.44,2765.94,9.3
350,Casual,0,0.0,0.0,1.0
351,Growth,3,46.48,139.44,3.7
352,Casual,4,23.18,92.73,2.2
353,Casual,0,0.0,0.0,1.0
354,Casual,1,23.17,23.17,1.1
355,Casual,0,0.0,0.0,1.0
356,Dormant,1,6.96,6.96,2.4
357,Dormant,0,0.0,0.0,1.0
358,Casual,1,10.35,10.35,1.0
359,Casual,3,11.58,34.73,6.8
360,Dormant,0,0.0,0.0,1.5
361,Power,13,142.4,1851.26,3.5
362,Power,3,143.7,431.09,1.0
363,Power,40,121.43,4857.32,14.4
364,Casual,1,24.74,24.74,1.0
365,Casual,4,19.41,77.65,6.1
366,Dormant,1,21.44,21.44,1.8
367,Casual,2,49.36,98.73,1.0
368,Growth,14,60.43,846.02,11.8
369,Dormant,0,0.0,0.0,3.4
370,Dormant,0,0.0,0.0,1.0
371,Growth,29,55.41,1606.83,19.1
372,Casual,0,0.0,0.0,1.0
373,Growth,4,58.25,233.0,2.2
374,Growth,1,105.84,105.84,1.0
375,Growth,3,55.64,166.93,2.0
376,Dormant,0,0.0,0.0,1.5
377,Casual,0,0.0,0.0,1.0
378,Casual,0,0.0,0.0,1.0
379,Dormant,0,0.0,0.0,1.0
380,Casual,0,0.0,0.0,1.5
381,Dormant,0,0.0,0.0,4.1
382,Dormant,0,0.0,0.0,1.0
383,Casual,1,15.7,15.7,1.7
384,Casual,2,21.68,43.36,5.8
385,Dormant,0,0.0,0.0,1.4
386,Dormant,0,0.0,0.0,1.0
387,Dormant,0,0.0,0.0,1.0
388,Power,6,113.17,679.04,1.0
389,Dormant,0,0.0,0.0,2.2
390,Casual,1,39.88,39.88,1.0
391,Growth,5,65.87,329.33,2.8
392,Casual,0,0.0,0.0,1.0
393,Dormant,0,0.0,0.0,1.0
394,Power,2,103.05,206.1,1.1
395,Casual,1,19.92,19.92,1.4
396,Dormant,0,0.0,0.0,1.0
397,Growth,6,64.24,385.43,3.4
398,Casual,1,33.99,33.99,1.0
399,Casual,0,0.0,0.0,1.0
400,Growth,1,53.22,53.22,1.0
401,Dormant,0,0.0,0.0,1.0
402,Dormant,0,0.0,0.0,1.3
403,Power,33,96.59,3187.36,8.7
404,Dormant,2,24.37,48.74,3.3
405,Dormant,0,0.0,0.0,1.0
406,Growth,2,44.87,89.75,1.0
407,Dormant,0,0.0,0.0,1.0
408,Power,6,101.59,609.53,3.4
409,Dormant,0,0.0,0.0,1.0
410,Casual,2,25.46,50.92,1.1
411,Casual,0,0.0,0.0,3.4
412,Power,44,114.03,5017.45,12.1
413,Dormant,0,0.0,0.0,1.0
414,Power,4,92.78,371.14,1.0
415,Growth,5,55.59,277.96,2.9
416,Growth,4,69.41,277.64,1.0
417,Dormant,0,0.0,0.0,5.6
418,Growth,5,49.09,245.44,3.4
419,Dormant,1,11.5,11.5,1.0
420,Casual,0,0.0,0.0,1.0
421,Power,8,92.22,737.77,2.3
422,Power,2,55.89,111.77,1.0
423,Power,8,71.16,569.24,2.3
424,Casual,1,22.02,22.02,1.0
425,Dormant,0,0.0,0.0,1.0
426,Growth,1,60.81,60.81,1.0
427,Dormant,0,0.0,0.0,1.7
428,Power,21,105.84,2222.59,6.9
429,Dormant,0,0.0,0.0,1.8
430,Dormant,1,10.3,10.3,2.8
431,Dormant,1,14.87,14.87,2.1
432,Dormant,0,0.0,0.0,1.0
433,Dormant,0,0.0,0.0,2.8
434,Power,12,112.37,1348.5,4.6
435,Growth,6,53.88,323.28,2.9
436,Growth,2,40.92,81.84,3.5
437,Casual,1,24.36,24.36,3.4
438,Dormant,0,0.0,0.0,1.0
439,Casual,0,0.0,0.0,1.0
440,Dormant,0,0.0,0.0,1.0
441,Growth,3,60.68,182.04,1.0
442,Dormant,0,0.0,0.0,4.8
443,Growth,34,52.1,1771.55,28.2
444,Growth,2,34.38,68.76,2.1
445,Dormant,0,0.0,0.0,1.4
446,Dormant,1,10.62,10.62,3.4
447,Casual,0,0.0,0.0,2.0
448,Power,5,73.21,366.06,1.4
449,Casual,0,0.0,0.0,2.3
450,Power,5,157.88,789.38,1.4
451,Dormant,1,14.31,14.31,1.4
452,Dormant,0,0.0,0.0,1.0
453,Growth,2,27.64,55.27,2.1
454,Power,41,113.1,4637.12,10.4
455,Growth,0,0.0,0.0,1.3
456,Dormant,0,0.0,0.0,1.0
457,Casual,1,31.48,31.48,1.4
458,Dormant,0,0.0,0.0,2.4
459,Casual,1,29.73,29.73,1.0
460,Casual,0,0.0,0.0,1.0
461,Growth,14,49.72,696.03,6.7
462,Dormant,0,0.0,0.0,1.0
463,Growth,4,83.42,333.68,1.6
464,Casual,0,0.0,0.0,1.0
465,Dormant,0,0.0,0.0,4.6
466,Casual,1,6.11,6.11,1.0
467,Dormant,1,23.15,23.15,1.0
468,Growth,6,45.66,273.96,4.7
469,Casual,1,54.23,54.23,4.1
470,Casual,0,0.0,0.0,1.0
471,Casual,0,0.0,0.0,1.0
472,Power,40,103.14,4125.68,12.0
473,Growth,9,53.37,480.32,5.5
474,Growth,3,48.69,146.06,4.6
475,Growth,0,0.0,0.0,1.0
476,Casual,1,19.75,19.75,2.1
477,Casual,1,20.23,20.23,1.2
478,Casual,1,24.26,24.26,1.4
479,Casual,1,16.67,16.67,1.0
480,Casual,0,0.0,0.0,2.3
481,Growth,2,42.86,85.72,1.6
482,Casual,1,14.03,14.03,1.0
483,Growth,0,0.0,0.0,1.0
484,Power,4,132.13,528.53,1.5
485,Casual,0,0.0,0.0,3.1
486,Casual,3,21.59,64.76,3.5
487,Growth,1,59.99,59.99,1.9
488,Casual,0,0.0,0.0,1.0
489,Casual,1,13.86,13.86,1.7
490,Dormant,1,22.16,22.16,2.4
491,Casual,2,21.42,42.85,3.6
492,Casual,2,39.99,79.98,1.6
493,Growth,3,41.99,125.97,2.2
494,Dormant,0,0.0,0.0,1.0
495,Casual,1,25.19,25.19,1.0
496,Casual,0,0.0,0.0,1.7
497,Casual,1,15.73,15.73,4.8
498,Casual,0,0.0,0.0,1.0
499,Casual,0,0.0,0.0,2.6
500,Dormant,0,0.0,0.0,1.0
501,Dormant,1,17.66,17.66,2.3
502,Dormant,0,0.0,0.0,1.0
503,Casual,2,45.22,90.44,2.6
504,Casual,2,45.64,91.29,3.6
505,Dormant,0,0.0,0.0,1.0
506,Growth,1,36.45,36.45,1.0
507,Dormant,0,0.0,0.0,1.7
508,Casual,0,0.0,0.0,3.6
509,Power,56,116.65,6532.43,19.6
510,Power,25,108.57,2714.15,6.6
511,Dormant,0,0.0,0.0,2.1
512,Power,5,54.0,270.02,1.0
513,Growth,21,51.71,1085.98,16.7
514,Growth,2,19.18,38.37,1.6
515,Growth,4,81.92,327.7,1.7
516,Growth,1,32.46,32.46,1.3
517,Dormant,0,0.0,0.0,1.7
518,Power,5,148.83,744.15,1.9
519,Dormant,0,0.0,0.0,3.8
520,Dormant,0,0.0,0.0,1.0
521,Casual,1,38.06,38.06,1.0
522,Growth,0,0.0,0.0,1.0
523,Casual,0,0.0,0.0,1.0
524,Power,5,127.22,636.12,2.9
525,Casual,2,35.53,71.05,1.7
526,Dormant,1,8.54,8.54,1.0
527,Dormant,0,0.0,0.0,1.0
528,Dormant,2,11.33,22.66,3.1
529,Growth,1,17.61,17.61,1.4
530,Dormant,0,0.0,0.0,1.0
531,Dormant,0,0.0,0.0,1.1
532,Casual,0,0.0,0.0,1.5
533,Casual,1,12.89,12.89,2.8
534,Power,11,79.11,870.24,4.7
535,Growth,2,57.12,114.25,2.0
536,Casual,1,65.91,65.91,1.4
537,Growth,1,31.96,31.96,1.0
538,Growth,3,30.16,90.49,1.6
539,Dormant,0,0.0,0.0,1.0
540,Dormant,0,0.0,0.0,1.0
541,Casual,0,0.0,0.0,2.2
542,Dormant,0,0.0,0.0,1.0
543,Dormant,0,0.0,0.0,1.0
544,Growth,1,18.66,18.66,1.0
545,Casual,2,60.57,121.13,2.1
546,Casual,0,0.0,0.0,1.0
547,Power,5,86.2,430.99,1.0
548,Dormant,0,0.0,0.0,1.0
549,Casual,4,34.37,137.48,4.2
550,Casual,3,57.51,172.52,4.4
551,Growth,1,23.38,23.38,1.2
552,Growth,16,54.16,866.61,6.6
553,Dormant,0,0.0,0.0,1.0
554,Power,1,181.59,181.59,1.0
555,Growth,5,44.15,220.76,1.4
556,Growth,0,0.0,0.0,2.0
557,Casual,2,40.95,81.89,4.3
558,Casual,1,83.95,83.95,2.3
559,Casual,0,0.0,0.0,1.5
560,Power,7,73.05,511.37,1.0
561,Growth,0,0.0,0.0,1.0
562,Dormant,0,0.0,0.0,1.1
563,Casual,0,0.0,0.0,1.3
564,Casual,1,19.98,19.98,3.4
565,Casual,0,0.0,0.0,1.4
566,Dormant,0,0.0,0.0,1.7
567,Power,11,113.1,1244.1,4.6
568,Casual,0,0.0,0.0,1.0
569,Casual,6,18.49,110.93,6.6
570,Growth,4,64.15,256.61,1.7
571,Dormant,0,0.0,0.0,2.5
572,Casual,3,29.13,87.39,1.0
573,Dormant,0,0.0,0.0,1.0
574,Dormant,0,0.0,0.0,3.1
575,Casual,0,0.0,0.0,1.2
576,Dormant,1,8.09,8.09,2.1
577,Casual,0,0.0,0.0,1.0
578,Dormant,0,0.0,0.0,1.0
579,Growth,3,26.99,80.96,1.6
580,Casual,0,0.0,0.0,2.3
581,Casual,1,28.2,28.2,2.3
582,Power,7,117.34,821.4,1.7
583,Casual,1,44.45,44.45,1.6
584,Dormant,0,0.0,0.0,1.0
585,Casual,0,0.0,0.0,4.2
586,Growth,17,66.32,1127.5,8.7
587,Growth,3,42.67,128.02,2.8
588,Growth,6,45.56,273.38,8.6
589,Power,17,104.27,1772.51,4.0
590,Dormant,0,0.0,0.0,1.9
591,Casual,2,25.36,50.73,1.0
592,Growth,7,59.22,414.57,2.7
593,Casual,2,43.93,87.86,3.9
594,Power,7,124.62,872.33,1.5
595,Growth,15,47.89,718.31,9.2
596,Dormant,1,17.19,17.19,1.0
597,Casual,0,0.0,0.0,1.7
598,Dormant,0,0.0,0.0,1.0
599,Casual,1,80.63,80.63,1.6
600,Casual,0,0.0,0.0,1.0
601,Dormant,0,0.0,0.0,1.0
602,Dormant,0,0.0,0.0,1.3
603,Dormant,0,0.0,0.0,1.0
604,Dormant,0,0.0,0.0,1.0
605,Dormant,0,0.0,0.0,1.0
606,Dormant,0,0.0,0.0,1.0
607,Power,12,133.87,1606.46,2.7
608,Dormant,0,0.0,0.0,1.4
609,Casual,0,0.0,0.0,1.0
610,Casual,0,0.0,0.0,1.0
611,Casual,1,47.72,47.72,1.0
612,Dormant,0,0.0,0.0,7.1
613,Dormant,0,0.0,0.0,1.0
614,Growth,6,58.14,348.86,4.2
615,Dormant,0,0.0,0.0,2.5
616,Dormant,0,0.0,0.0,1.0
617,Growth,4,46.58,186.33,1.9
618,Growth,8,65.51,524.11,4.1
619,Power,11,113.77,1251.42,3.4
620,Dormant,0,0.0,0.0,1.0
621,Casual,2,43.82,87.65,3.0
622,Dormant,0,0.0,0.0,1.0
623,Casual,0,0.0,0.0,1.0
624,Dormant,0,0.0,0.0,4.6
625,Casual,0,0.0,0.0,1.0
626,Dormant,0,0.0,0.0,1.0
627,Power,21,99.3,2085.32,5.1
628,Casual,1,16.08,16.08,2.4
629,Dormant,0,0.0,0.0,1.0
630,Dormant,0,0.0,0.0,1.0
631,Dormant,2,25.89,51.77,1.7
632,Power,3,83.77,251.31,2.4
633,Casual,0,0.0,0.0,1.0
634,Power,10,95.2,951.97,5.9
635,Power,32,113.09,3618.98,4.9
636,Casual,5,55.4,276.99,5.2
637,Dormant,0,0.0,0.0,1.0
638,Dormant,0,0.0,0.0,1.0
639,Dormant,0,0.0,0.0,1.5
640,Dormant,1,18.8,18.8,3.9
641,Dormant,0,0.0,0.0,1.2
642,Power,30,126.98,3809.34,8.7
643,Growth,4,37.07,148.27,1.9
644,Casual,0,0.0,0.0,1.0
645,Dormant,0,0.0,0.0,1.0
646,Power,16,87.4,1398.42,4.8
647,Casual,0,0.0,0.0,1.4
648,Casual,1,35.86,35.86,2.2
649,Power,34,127.57,4337.49,11.9
650,Casual,2,28.38,56.76,3.4
651,Dormant,1,25.17,25.17,1.4
652,Casual,2,35.62,71.25,1.0
653,Growth,3,52.39,157.17,1.4
654,Dormant,0,0.0,0.0,1.1
655,Growth,2,44.98,89.97,1.0
656,Dormant,0,0.0,0.0,1.0
657,Growth,1,50.62,50.62,1.0
658,Casual,2,12.26,24.51,3.4
659,Casual,0,0.0,0.0,1.0
660,Growth,2,37.62,75.24,1.6
661,Dormant,0,0.0,0.0,2.5
662,Growth,1,25.96,25.96,1.0
663,Power,42,96.74,4063.03,10.9
664,Growth,3,53.5,160.49,1.0
665,Dormant,0,0.0,0.0,1.0
666,Dormant,0,0.0,0.0,1.0
667,Dormant,0,0.0,0.0,1.0
668,Growth,2,49.23,98.46,1.7
669,Casual,1,47.95,47.95,1.0
670,Growth,5,53.44,267.19,3.9
671,Casual,3,37.81,113.44,1.0
672,Dormant,0,0.0,0.0,1.0
673,Dormant,0,0.0,0.0,1.0
674,Casual,1,13.15,13.15,1.1
675,Casual,2,22.17,44.34,3.9
676,Dormant,0,0.0,0.0,1.0
677,Casual,0,0.0,0.0,1.0
678,Growth,6,47.62,285.74,1.4
679,Casual,2,41.26,82.51,2.1
680,Power,64,113.17,7243.14,19.2
681,Growth,0,0.0,0.0,1.3
682,Power,6,88.88,533.26,1.8
683,Casual,0,0.0,0.0,1.0
684,Casual,2,18.86,37.71,1.4
685,Growth,2,33.15,66.3,1.0
686,Casual,1,20.82,20.82,1.4
