ticket_id,user_id,created_at,resolved_at,category,priority,channel,csat_score,status
2014,2223,2024-07-05 05:36:25.391759520,2024-07-05 12:07:36.156989385,fraud,medium,email,3.0,resolved
4134,4614,2024-07-05 06:42:54.514040716,2024-07-05 16:50:43.573231236,fraud,high,email,5.0,resolved
5794,6451,2024-07-05 08:13:17.315166578,2024-07-05 14:42:54.356984436,account,high,in_app_chat,2.0,resolved
3248,3648,2024-07-05 08:34:21.086023244,2024-07-05 17:31:39.658818588,billing,medium,in_app_chat,4.0,resolved
2177,2399,2024-07-05 08:41:55.967855380,2024-07-06 03:06:30.720771550,app,medium,in_app_chat,,resolved
908,994,2024-07-05 09:15:45.458790073,2024-07-08 12:00:29.622300451,card,low,email,3.0,resolved
4232,4719,2024-07-05 10:34:08.354424492,,kyc,medium,in_app_chat,,closed_unresolved
3606,4035,2024-07-05 20:03:45.938457714,2024-07-06 08:35:03.896255156,app,high,email,4.0,resolved
571,632,2024-07-06 00:46:03.071393402,2024-07-06 03:03:55.606664363,card,urgent,email,,resolved
7083,7887,2024-07-06 06:35:24.642565031,2024-07-07 23:37:26.890591675,card,medium,in_app_chat,3.0,resolved
1336,1454,2024-07-06 08:12:10.689718783,2024-07-06 19:57:35.247384049,kyc,medium,phone,4.0,resolved
5758,6411,2024-07-06 09:03:23.185425715,,card,low,email,,closed_unresolved
5580,6222,2024-07-06 11:16:55.224996337,2024-07-06 20:48:34.812364103,kyc,high,email,3.0,resolved
3346,3748,2024-07-06 12:21:56.636330411,,card,urgent,phone,,open
1437,1572,2024-07-06 12:44:32.046082733,2024-07-08 01:45:46.979698029,app,medium,in_app_chat,3.0,resolved
6586,7376,2024-07-06 14:20:49.914692629,2024-07-08 00:19:31.696569409,billing,low,email,3.0,resolved
4088,4550,2024-07-06 15:39:21.376638587,2024-07-07 08:30:22.332524101,billing,low,phone,3.0,resolved
291,314,2024-07-06 15:58:17.355210268,,account,low,in_app_chat,,closed_unresolved
3654,4090,2024-07-06 16:24:25.769768083,2024-07-07 05:07:32.459907770,fraud,medium,email,5.0,resolved
5541,6177,2024-07-06 22:48:54.220210539,2024-07-08 00:51:01.609721395,kyc,high,in_app_chat,5.0,resolved
1173,1293,2024-07-07 00:23:25.215872475,2024-07-09 09:06:31.011592266,kyc,low,email,4.0,resolved
5310,5884,2024-07-07 03:36:05.896358288,,card,medium,in_app_chat,,closed_unresolved
3790,4235,2024-07-07 11:14:17.668580781,2024-07-08 03:04:09.868464027,fraud,medium,email,,resolved
4937,5506,2024-07-07 11:48:35.859449756,2024-07-08 03:52:52.837304684,kyc,medium,in_app_chat,,resolved
3489,3910,2024-07-07 14:57:40.482458642,,kyc,high,email,,open
3431,3843,2024-07-07 16:02:45.432592255,2024-07-08 07:02:33.651376003,account,medium,phone,3.0,resolved
2093,2302,2024-07-07 19:02:50.179146964,2024-07-09 00:02:55.772819476,billing,medium,email,2.0,resolved
4637,5135,2024-07-07 22:57:40.154664833,2024-07-09 09:21:16.599594689,kyc,medium,in_app_chat,4.0,resolved
6736,7518,2024-07-07 23:15:57.077040208,,kyc,medium,in_app_chat,,open
7043,7833,2024-07-08 00:03:10.478334499,2024-07-09 00:44:18.997354910,card,medium,in_app_chat,4.0,resolved
4242,4728,2024-07-08 01:21:16.573842768,,billing,low,in_app_chat,,open
1152,1275,2024-07-08 03:13:09.672464510,2024-07-08 18:06:42.606680590,app,high,email,4.0,resolved
2244,2487,2024-07-08 03:17:16.039208947,2024-07-08 08:56:18.062654888,kyc,high,in_app_chat,,resolved
4563,5060,2024-07-08 03:44:51.430315758,2024-07-08 13:47:25.048149936,card,high,in_app_chat,,resolved
1767,1945,2024-07-08 04:44:06.593028305,2024-07-08 13:39:34.761396627,billing,medium,phone,4.0,resolved
4738,5278,2024-07-08 07:55:37.383275899,2024-07-08 13:12:08.685327207,account,high,email,,resolved
1102,1215,2024-07-08 12:03:08.720082636,,app,urgent,email,,open
226,245,2024-07-08 12:40:03.236481448,2024-07-08 23:37:25.175410777,app,medium,in_app_chat,4.0,resolved
4430,4926,2024-07-08 15:48:26.302920805,2024-07-09 08:39:01.864932247,fraud,medium,email,4.0,resolved
1580,1743,2024-07-08 15:57:14.561137572,2024-07-09 12:22:59.542304029,billing,medium,in_app_chat,4.0,resolved
3362,3773,2024-07-08 18:10:37.029103988,,fraud,urgent,phone,,closed_unresolved
494,548,2024-07-08 19:26:09.071420668,2024-07-09 01:12:25.488936575,kyc,medium,in_app_chat,,resolved
5584,6225,2024-07-08 19:52:01.659503092,2024-07-09 18:33:02.009007229,billing,medium,in_app_chat,,resolved
5101,5660,2024-07-08 20:30:08.350303394,2024-07-09 01:22:24.453522464,account,high,in_app_chat,4.0,resolved
2751,3075,2024-07-08 23:05:23.319942089,2024-07-09 15:48:30.526192406,account,medium,in_app_chat,3.0,resolved
6113,6821,2024-07-09 00:23:22.409506075,2024-07-09 02:28:39.594914871,app,urgent,email,,resolved
146,174,2024-07-09 00:28:26.525409807,2024-07-09 10:04:13.801754234,account,high,in_app_chat,5.0,resolved
6630,7411,2024-07-09 01:03:57.558127046,2024-07-09 16:39:34.637580996,billing,medium,email,4.0,resolved
4396,4884,2024-07-09 04:13:02.777297255,2024-07-11 05:11:27.373284842,billing,low,phone,,resolved
6456,7251,2024-07-09 04:49:10.614299456,2024-07-11 23:13:12.744392733,billing,low,in_app_chat,,resolved
2352,2621,2024-07-09 07:03:08.373202044,2024-07-10 00:19:27.822080527,app,medium,email,5.0,resolved
1648,1816,2024-07-09 07:13:33.071222579,2024-07-10 10:03:10.345186955,kyc,medium,in_app_chat,,resolved
2589,2915,2024-07-09 07:15:40.247399661,2024-07-09 14:56:59.330167213,card,medium,phone,3.0,resolved
2377,2646,2024-07-09 08:49:07.235774616,,card,high,email,,open
3532,3959,2024-07-09 09:59:27.075530999,2024-07-09 17:04:15.414406760,account,high,email,,resolved
2050,2259,2024-07-09 11:55:18.785189012,2024-07-12 03:29:00.541616436,card,low,in_app_chat,,resolved
5354,5950,2024-07-09 12:32:23.060266149,2024-07-09 18:54:43.394814605,billing,high,in_app_chat,4.0,resolved
4614,5110,2024-07-09 12:57:53.404121548,2024-07-10 03:01:02.737744106,app,medium,in_app_chat,3.0,resolved
4249,4735,2024-07-09 15:17:32.417434374,2024-07-09 17:39:22.552649013,card,urgent,in_app_chat,,resolved
751,828,2024-07-09 16:24:19.117368374,,card,medium,in_app_chat,,closed_unresolved
1589,1752,2024-07-10 00:49:27.831023428,2024-07-10 21:26:43.129683700,card,medium,email,,resolved
3555,3988,2024-07-10 03:44:11.923328541,2024-07-10 06:09:55.614065397,billing,high,in_app_chat,,resolved
256,280,2024-07-10 04:48:57.958901801,2024-07-12 18:31:54.345062732,account,low,in_app_chat,3.0,resolved
1211,1330,2024-07-10 07:03:50.967257097,2024-07-10 12:30:11.189871640,app,high,email,3.0,resolved
4137,4616,2024-07-10 07:13:46.239212366,2024-07-11 04:33:35.080683720,card,medium,in_app_chat,4.0,resolved
1807,1978,2024-07-10 08:49:45.325467828,2024-07-11 09:45:09.628800064,app,low,email,4.0,resolved
1746,1916,2024-07-10 10:25:21.692959049,2024-07-10 22:05:39.817224602,fraud,medium,in_app_chat,4.0,resolved
4116,4596,2024-07-10 13:08:35.932662588,2024-07-10 17:48:15.443199366,card,medium,email,,resolved
5463,6082,2024-07-10 13:13:39.298954010,2024-07-10 19:46:31.743017974,kyc,high,phone,,resolved
5054,5620,2024-07-10 13:15:53.437583396,2024-07-11 22:57:57.319559544,billing,medium,in_app_chat,4.0,resolved
2965,3334,2024-07-10 15:08:29.110275672,2024-07-12 02:18:13.175844562,app,low,in_app_chat,4.0,resolved
72,78,2024-07-10 17:05:05.036493284,,billing,high,email,,open
2479,2789,2024-07-10 22:40:59.243733180,2024-07-12 18:01:17.639200666,billing,low,in_app_chat,4.0,resolved
3450,3863,2024-07-11 05:10:35.983233099,2024-07-12 23:04:14.372079481,card,medium,email,4.0,resolved
4435,4932,2024-07-11 06:32:22.021333192,2024-07-12 06:01:30.617847930,card,medium,in_app_chat,4.0,resolved
9,4,2024-07-11 08:35:29.299077312,2024-07-16 03:05:31.013673057,card,low,in_app_chat,3.0,resolved
5517,6150,2024-07-11 08:47:16.653480230,,fraud,high,in_app_chat,,closed_unresolved
7134,7937,2024-07-11 09:03:50.479540853,2024-07-11 13:34:06.846390866,fraud,high,in_app_chat,3.0,resolved
1960,2166,2024-07-11 10:01:52.316513788,2024-07-11 11:21:12.561094932,account,urgent,phone,4.0,resolved
4729,5256,2024-07-11 12:56:02.250350062,,card,high,email,,open
6505,7303,2024-07-11 20:09:48.867963194,2024-07-13 04:05:47.930144566,kyc,medium,in_app_chat,4.0,resolved
4549,5049,2024-07-11 21:26:41.714190176,2024-07-13 03:16:52.590345543,billing,medium,phone,4.0,resolved
3670,4107,2024-07-11 21:32:07.320023911,2024-07-12 00:35:58.678596515,app,high,in_app_chat,,resolved
259,282,2024-07-11 21:56:58.811092529,2024-07-13 13:00:15.583496078,account,low,email,3.0,resolved
1220,1341,2024-07-11 22:51:16.800499834,,card,high,in_app_chat,,open
2321,2582,2024-07-11 23:12:51.750944127,2024-07-16 16:22:02.404548759,account,low,in_app_chat,3.0,resolved
5885,6559,2024-07-12 01:44:47.023468883,2024-07-12 04:58:58.550477527,account,high,in_app_chat,,resolved
1119,1239,2024-07-12 01:49:18.740545106,2024-07-12 09:11:32.137710146,kyc,high,in_app_chat,4.0,resolved
7000,7787,2024-07-12 02:29:09.163921407,2024-07-16 08:33:40.740707493,billing,low,email,2.0,resolved
5902,6579,2024-07-12 04:08:53.310842286,2024-07-13 06:12:04.721577660,app,low,email,4.0,resolved
3167,3546,2024-07-12 04:28:45.549946200,2024-07-12 10:41:36.285835916,fraud,high,phone,,resolved
2678,3019,2024-07-12 05:04:46.630915556,2024-07-13 06:31:15.860526699,card,medium,phone,3.0,resolved
7096,7899,2024-07-12 07:29:23.652827793,2024-07-12 10:34:07.691490972,card,high,in_app_chat,,resolved
1805,1977,2024-07-12 08:45:58.622754565,2024-07-12 19:36:00.550894702,kyc,high,in_app_chat,4.0,resolved
2827,3166,2024-07-12 11:29:04.956110658,2024-07-12 15:49:36.566537960,kyc,high,phone,5.0,resolved
2546,2865,2024-07-12 11:32:41.004314903,2024-07-13 06:33:09.043119336,fraud,medium,email,,resolved
2979,3348,2024-07-12 13:36:30.911478416,2024-07-12 18:26:29.734423977,card,high,email,,resolved
5151,5721,2024-07-12 13:54:13.928196398,2024-07-13 07:44:10.220939760,kyc,medium,in_app_chat,4.0,resolved
3632,4059,2024-07-12 15:04:12.772884999,2024-07-13 11:08:28.705910242,billing,low,phone,3.0,resolved
4316,4811,2024-07-12 15:07:32.948126610,2024-07-13 19:22:22.549442294,account,medium,in_app_chat,4.0,resolved
1630,1797,2024-07-12 17:12:40.145548184,2024-07-15 19:45:45.249202124,account,low,in_app_chat,4.0,resolved
5460,6079,2024-07-12 17:18:37.860305149,2024-07-13 07:46:34.123585005,account,medium,email,,resolved
6866,7644,2024-07-12 20:33:48.657699872,2024-07-13 02:10:36.707840868,fraud,high,in_app_chat,,resolved
6563,7357,2024-07-12 21:43:35.210558544,2024-07-12 23:01:38.428739314,fraud,urgent,in_app_chat,,resolved
3199,3585,2024-07-12 21:47:30.685256802,2024-07-14 06:58:34.649497478,card,medium,in_app_chat,,resolved
5725,6378,2024-07-13 01:32:15.748179305,2024-07-14 22:39:11.774805558,app,low,email,,resolved
4204,4684,2024-07-13 03:32:20.857968277,2024-07-18 12:53:45.341626496,billing,low,phone,4.0,resolved
1026,1129,2024-07-13 05:23:54.290698635,2024-07-13 22:11:00.625075545,billing,medium,in_app_chat,4.0,resolved
2011,2219,2024-07-13 06:27:05.536790847,,card,high,in_app_chat,,open
4093,4559,2024-07-13 06:35:11.051341301,2024-07-13 10:31:49.251834956,kyc,high,in_app_chat,4.0,resolved
3458,3873,2024-07-13 07:06:36.557244411,2024-07-14 18:48:45.851873631,account,medium,email,4.0,resolved
4412,4901,2024-07-13 08:17:51.930183811,2024-07-13 09:39:58.557593926,fraud,urgent,phone,,resolved
2381,2652,2024-07-13 09:48:33.165796884,2024-07-13 23:12:37.149428680,billing,medium,in_app_chat,2.0,resolved
1877,2060,2024-07-13 11:52:50.665420024,2024-07-20 18:31:43.511092788,billing,low,email,4.0,resolved
5454,6073,2024-07-13 12:27:06.705623266,2024-07-13 14:07:13.840183406,fraud,urgent,email,5.0,resolved
6832,7614,2024-07-13 13:01:18.775881068,,card,medium,in_app_chat,,open
560,620,2024-07-13 13:08:54.608230466,2024-07-16 21:23:54.677600435,card,low,in_app_chat,3.0,resolved
3011,3377,2024-07-13 13:52:42.221810081,2024-07-15 22:53:34.500055843,account,medium,phone,3.0,resolved
199,220,2024-07-13 14:47:30.986445903,2024-07-15 05:31:02.074278970,app,low,email,4.0,resolved
1678,1836,2024-07-13 15:13:49.117727740,,app,high,email,,closed_unresolved
1672,1834,2024-07-13 15:43:15.636946820,2024-07-14 05:35:30.399103041,account,medium,email,,resolved
6220,6950,2024-07-13 16:31:54.255484035,2024-07-13 22:58:04.957921571,account,high,phone,,resolved
1195,1315,2024-07-13 17:11:27.969164531,2024-07-13 18:32:53.790429876,fraud,urgent,email,5.0,resolved
4677,5194,2024-07-13 18:50:19.271840274,2024-07-14 07:04:11.634406915,card,medium,phone,4.0,resolved
6139,6855,2024-07-13 19:03:27.505131223,2024-07-13 23:14:41.837358352,fraud,high,in_app_chat,3.0,resolved
5560,6195,2024-07-13 23:05:10.958666985,2024-07-15 14:57:36.093398939,card,low,in_app_chat,3.0,resolved
6395,7169,2024-07-13 23:36:33.274992392,2024-07-14 11:46:18.130069280,card,medium,in_app_chat,,resolved
963,1052,2024-07-14 00:31:47.904265824,,kyc,high,email,,open
230,252,2024-07-14 02:24:53.477330734,2024-07-14 06:41:01.006827747,card,high,in_app_chat,,resolved
6458,7253,2024-07-14 02:58:55.108395825,2024-07-14 18:41:53.661349531,billing,low,phone,,resolved
6653,7440,2024-07-14 05:18:04.775319529,,billing,low,email,,open
4967,5542,2024-07-14 06:57:27.268099577,2024-07-14 07:59:29.260685971,fraud,urgent,in_app_chat,5.0,resolved
3303,3698,2024-07-14 09:23:56.214384754,,card,low,in_app_chat,,closed_unresolved
1521,1671,2024-07-14 10:16:25.865966504,2024-07-15 02:11:54.014784076,app,medium,phone,3.0,resolved
5162,5730,2024-07-14 17:02:48.586457929,2024-07-15 03:25:47.203032658,app,medium,email,4.0,resolved
3912,4364,2024-07-14 20:40:39.319321146,2024-07-15 18:48:16.614591301,app,medium,phone,4.0,resolved
6045,6747,2024-07-14 20:46:20.496474863,2024-07-15 06:12:35.624261489,app,high,email,5.0,resolved
2848,3183,2024-07-14 21:32:25.304421036,2024-07-15 09:56:41.063143886,billing,medium,email,4.0,resolved
2266,2513,2024-07-14 21:42:20.272151502,2024-07-15 10:18:32.514788368,app,medium,in_app_chat,4.0,resolved
4946,5519,2024-07-14 22:16:04.848125108,2024-07-15 01:39:24.312470164,fraud,high,email,4.0,resolved
196,215,2024-07-15 03:23:07.894940095,,account,low,in_app_chat,,open
292,314,2024-07-15 03:44:29.404166775,2024-07-16 00:37:55.711946739,card,medium,phone,5.0,resolved
5614,6262,2024-07-15 03:54:21.523601983,2024-07-15 14:09:57.349452915,fraud,high,email,3.0,resolved
1826,2003,2024-07-15 04:13:26.155477770,2024-07-16 17:24:01.118865518,app,medium,email,4.0,resolved
4276,4761,2024-07-15 04:17:25.268629914,2024-07-16 23:26:53.683112764,kyc,medium,in_app_chat,,resolved
7140,7943,2024-07-15 05:11:05.139654187,2024-07-15 14:48:56.505610436,card,medium,in_app_chat,,resolved
4893,5458,2024-07-15 06:22:25.884123378,2024-07-18 19:49:05.162659944,app,low,in_app_chat,4.0,resolved
6942,7725,2024-07-15 09:25:06.963048963,2024-07-15 16:00:21.857214697,billing,medium,in_app_chat,,resolved
1512,1660,2024-07-15 10:07:41.649158596,2024-07-17 03:03:57.841220879,app,low,in_app_chat,5.0,resolved
4982,5557,2024-07-15 13:27:30.304067175,2024-07-15 22:47:50.897948739,app,medium,in_app_chat,,resolved
930,1019,2024-07-15 13:49:50.628929200,2024-07-16 05:53:56.897598033,kyc,medium,in_app_chat,5.0,resolved
5121,5683,2024-07-15 14:41:42.783365734,2024-07-15 21:03:45.942893804,kyc,high,phone,3.0,resolved
3441,3853,2024-07-15 16:42:16.582408081,2024-07-15 22:55:51.307223177,fraud,high,in_app_chat,4.0,resolved
3022,3391,2024-07-15 19:15:58.805630844,2024-07-21 00:07:18.807788804,billing,low,in_app_chat,4.0,resolved
5993,6680,2024-07-15 19:26:00.565882172,,account,medium,phone,,open
3927,4388,2024-07-15 19:50:20.394924596,2024-07-16 05:52:29.070739047,app,low,in_app_chat,4.0,resolved
2660,2997,2024-07-15 20:25:22.233978287,2024-07-16 17:21:01.808511182,card,medium,in_app_chat,3.0,resolved
1532,1689,2024-07-15 23:33:16.596344240,2024-07-20 00:09:49.677987960,account,low,in_app_chat,,resolved
5473,6092,2024-07-16 05:55:45.565367073,2024-07-16 15:57:48.525547585,billing,medium,phone,4.0,resolved
6805,7587,2024-07-16 06:17:51.228463542,2024-07-17 05:25:33.535504952,app,medium,in_app_chat,4.0,resolved
1184,1309,2024-07-16 06:26:44.340126273,2024-07-16 07:25:05.014048849,billing,urgent,email,5.0,resolved
289,314,2024-07-16 11:51:11.739668178,2024-07-16 22:48:12.575411266,card,medium,in_app_chat,,resolved
305,324,2024-07-16 13:40:16.928226336,2024-07-17 10:26:43.641427743,card,medium,email,5.0,resolved
122,133,2024-07-16 16:52:43.798336953,2024-07-18 09:09:23.234291657,billing,low,email,5.0,resolved
1924,2131,2024-07-16 17:13:37.212733280,2024-07-17 04:29:45.658099284,kyc,high,in_app_chat,,resolved
3783,4227,2024-07-16 19:04:07.975497509,2024-07-16 20:22:40.728512515,fraud,urgent,email,,resolved
6818,7600,2024-07-16 22:00:37.359393707,2024-07-21 16:45:33.840685328,billing,low,in_app_chat,4.0,resolved
1296,1410,2024-07-16 23:43:57.746695802,2024-07-17 01:53:41.736647042,account,urgent,email,3.0,resolved
6202,6928,2024-07-17 00:53:00.682016280,2024-07-18 22:45:07.407567486,billing,low,in_app_chat,4.0,resolved
1178,1302,2024-07-17 07:41:57.231606759,2024-07-17 22:58:47.821110670,card,medium,email,4.0,resolved
3774,4219,2024-07-17 09:23:25.375805027,2024-07-18 10:35:26.858249765,account,high,in_app_chat,,resolved
4147,4631,2024-07-17 09:31:58.507549397,2024-07-18 08:01:03.194905182,app,medium,email,4.0,resolved
4850,5418,2024-07-17 11:48:05.329126281,2024-07-17 13:10:33.507618606,fraud,urgent,in_app_chat,,resolved
193,214,2024-07-17 15:24:07.397506140,2024-07-18 00:14:04.898449120,billing,urgent,in_app_chat,,resolved
1208,1327,2024-07-17 21:33:54.115822019,2024-07-21 04:01:19.391189171,app,low,in_app_chat,5.0,resolved
3508,3933,2024-07-18 01:10:53.292311120,,card,medium,in_app_chat,,closed_unresolved
1453,1589,2024-07-18 01:38:39.595940116,2024-07-18 23:47:10.625011500,kyc,medium,email,3.0,resolved
6189,6916,2024-07-18 03:23:24.413715107,2024-07-19 22:05:10.877873975,billing,medium,in_app_chat,4.0,resolved
3425,3836,2024-07-18 04:47:04.406784673,2024-07-19 00:36:07.255061153,card,medium,phone,4.0,resolved
5612,6260,2024-07-18 05:26:27.435346964,,account,low,in_app_chat,,open
3830,4273,2024-07-18 06:30:49.394734076,2024-07-19 00:20:37.290671504,billing,medium,email,,resolved
1372,1494,2024-07-18 07:19:59.477947832,2024-07-19 15:47:07.381798923,card,low,in_app_chat,3.0,resolved
6984,7769,2024-07-18 08:40:43.795902051,,fraud,high,phone,,closed_unresolved
1867,2049,2024-07-18 10:07:56.372203741,2024-07-19 18:21:15.526673983,billing,low,in_app_chat,4.0,resolved
3142,3516,2024-07-18 15:09:17.356615277,2024-07-20 14:18:15.786294719,account,low,in_app_chat,,resolved
896,975,2024-07-18 16:31:39.063693463,2024-07-19 13:19:27.903327029,account,medium,in_app_chat,,resolved
7158,7959,2024-07-18 17:29:25.832615184,2024-07-19 04:23:10.755757836,card,high,in_app_chat,,resolved
