response_id,user_id,survey_date,nps_score,driver,segment,comment_length
5929,7281,2024-07-03 05:06:21.620718262,1,fees,detractor,175
903,1080,2024-07-03 05:24:54.366270016,8,app_quality,passive,31
2456,3019,2024-07-03 05:52:31.627310756,4,product,detractor,70
5422,6636,2024-07-03 06:36:52.564360544,8,trust,passive,1
4871,5943,2024-07-03 08:22:05.111995517,9,app_quality,promoter,7
629,767,2024-07-03 08:56:56.620142093,10,trust,promoter,112
1160,1385,2024-07-03 09:46:22.695964227,8,trust,passive,22
2578,3155,2024-07-03 15:28:55.571791543,8,product,passive,13
5138,6289,2024-07-03 16:01:24.785044458,10,trust,promoter,64
1633,1971,2024-07-03 17:06:40.554971853,10,product,promoter,160
1636,1974,2024-07-03 19:14:23.181055131,8,product,passive,21
3989,4870,2024-07-03 19:22:25.208585895,8,trust,passive,4
2229,2718,2024-07-03 19:32:08.286277381,6,onboarding,detractor,159
4196,5102,2024-07-03 20:36:44.904335088,2,trust,detractor,90
46,57,2024-07-03 21:39:05.085061784,2,support,detractor,158
5807,7129,2024-07-04 02:36:06.948734132,10,product,promoter,97
713,865,2024-07-04 03:27:43.570331516,6,onboarding,detractor,52
255,301,2024-07-04 04:25:58.024006527,8,trust,passive,34
1180,1405,2024-07-04 05:33:56.547669594,8,trust,passive,8
2817,3445,2024-07-04 09:03:36.709424576,0,trust,detractor,63
1742,2118,2024-07-04 14:31:16.673618680,10,trust,promoter,37
3881,4737,2024-07-04 19:25:50.100276956,8,trust,passive,18
5136,6288,2024-07-04 21:23:52.784568870,10,trust,promoter,63
5410,6627,2024-07-04 22:17:16.946962722,8,trust,passive,27
5502,6736,2024-07-05 00:00:41.654940266,7,app_quality,passive,21
4123,5020,2024-07-05 00:12:17.632630624,7,support,passive,0
819,979,2024-07-05 01:26:54.435318501,8,onboarding,passive,17
2228,2717,2024-07-05 02:33:32.726565423,6,trust,detractor,104
4224,5133,2024-07-05 05:36:25.391759520,10,product,promoter,47
4180,5080,2024-07-05 05:49:33.977586239,10,onboarding,promoter,93
839,1008,2024-07-05 06:30:28.355474698,8,trust,passive,10
6557,7983,2024-07-05 08:12:37.119325095,10,app_quality,promoter,70
1895,2286,2024-07-05 09:15:45.458790073,4,product,detractor,81
6507,7933,2024-07-05 14:36:43.021649168,4,product,detractor,17
6240,7614,2024-07-05 16:05:52.977669469,9,app_quality,promoter,173
4872,5943,2024-07-05 19:41:55.175487025,10,support,promoter,177
762,917,2024-07-05 20:33:04.536656363,10,support,promoter,141
5909,7260,2024-07-05 21:56:52.375297948,8,support,passive,6
328,399,2024-07-06 01:38:31.018211439,10,trust,promoter,26
4725,5748,2024-07-06 05:21:13.413189827,10,trust,promoter,0
2679,3299,2024-07-06 05:33:52.100466770,8,onboarding,passive,26
64,76,2024-07-06 05:46:18.538272448,10,app_quality,promoter,33
3033,3710,2024-07-06 06:06:07.813816660,8,trust,passive,33
3221,3947,2024-07-06 07:59:23.391156068,8,onboarding,passive,26
2800,3426,2024-07-06 08:12:10.689718783,1,app_quality,detractor,135
6156,7520,2024-07-06 08:25:29.906567569,8,fees,passive,19
584,710,2024-07-06 10:42:16.474465218,8,support,passive,20
3902,4760,2024-07-06 12:27:34.128685713,0,trust,detractor,156
1486,1792,2024-07-06 12:38:42.125876116,10,support,promoter,120
2781,3408,2024-07-06 14:49:59.353751487,10,product,promoter,173
593,724,2024-07-06 16:54:56.309132563,8,onboarding,passive,0
4215,5122,2024-07-06 17:16:05.723684973,10,onboarding,promoter,42
5532,6772,2024-07-06 17:42:34.202684609,2,trust,detractor,49
1404,1691,2024-07-06 18:22:22.768052064,10,trust,promoter,126
785,947,2024-07-06 21:15:33.008546626,4,trust,detractor,78
4032,4919,2024-07-06 22:28:16.736286475,10,product,promoter,182
2989,3662,2024-07-06 22:54:10.602850582,9,support,promoter,58
1519,1825,2024-07-06 23:57:10.149431348,5,app_quality,detractor,97
1075,1294,2024-07-07 00:20:10.706223834,6,onboarding,detractor,7
2331,2857,2024-07-07 02:55:46.046559449,6,product,detractor,47
6102,7464,2024-07-07 04:09:06.110472957,7,support,passive,22
2121,2579,2024-07-07 04:44:39.198577257,8,trust,passive,30
5114,6262,2024-07-07 07:32:21.760856445,8,product,passive,39
1307,1561,2024-07-07 07:51:29.686232563,10,app_quality,promoter,179
942,1140,2024-07-07 07:59:40.988176088,8,product,passive,20
2474,3035,2024-07-07 10:17:16.881678329,8,trust,passive,15
3240,3968,2024-07-07 10:54:12.075099082,8,app_quality,passive,24
1693,2042,2024-07-07 12:35:43.792704911,10,product,promoter,92
5387,6594,2024-07-07 16:58:47.772207445,4,support,detractor,40
4389,5362,2024-07-07 19:02:50.179146964,8,onboarding,passive,36
3651,4459,2024-07-07 20:09:32.515001447,10,support,promoter,37
2863,3503,2024-07-07 22:06:17.191160976,4,app_quality,detractor,195
5717,7007,2024-07-07 23:47:11.996653381,7,fees,passive,17
6424,7830,2024-07-08 00:58:51.461675699,9,support,promoter,98
2409,2966,2024-07-08 03:13:09.672464510,10,app_quality,promoter,55
3535,4321,2024-07-08 04:25:01.135678598,9,support,promoter,112
4213,5121,2024-07-08 05:04:44.109193152,3,fees,detractor,105
1032,1251,2024-07-08 08:25:55.577320996,9,app_quality,promoter,182
6382,7782,2024-07-08 11:56:20.186853227,0,fees,detractor,70
4817,5859,2024-07-08 13:12:25.658600739,10,trust,promoter,191
5456,6673,2024-07-08 13:50:48.360242204,10,support,promoter,171
2462,3024,2024-07-08 15:22:57.809113976,1,fees,detractor,42
523,632,2024-07-08 15:55:00.147636721,2,onboarding,detractor,7
1490,1794,2024-07-08 16:24:18.337422778,9,support,promoter,59
5921,7270,2024-07-08 17:31:05.343475019,10,product,promoter,36
2891,3537,2024-07-08 17:34:23.825280838,7,support,passive,38
1246,1480,2024-07-08 20:08:51.926640754,6,product,detractor,88
5277,6453,2024-07-08 22:29:45.314174929,5,support,detractor,166
5776,7088,2024-07-08 23:05:23.319942089,10,trust,promoter,95
4520,5528,2024-07-08 23:51:36.585390804,6,product,detractor,51
410,499,2024-07-09 06:51:15.875338680,4,trust,detractor,65
40,47,2024-07-09 10:06:30.105380252,10,product,promoter,3
6133,7494,2024-07-09 10:23:38.307829349,8,app_quality,passive,17
5531,6771,2024-07-09 11:53:21.896232613,9,support,promoter,118
4299,5237,2024-07-09 11:55:18.785189012,1,app_quality,detractor,197
4092,4989,2024-07-09 17:41:35.721785552,10,product,promoter,169
4041,4929,2024-07-09 19:15:26.535802112,8,product,passive,21
4203,5108,2024-07-10 01:37:53.697336504,9,app_quality,promoter,146
3398,4159,2024-07-10 02:41:46.069328158,10,support,promoter,159
2533,3095,2024-07-10 07:03:50.967257097,10,trust,promoter,14
1774,2158,2024-07-10 10:41:38.581017336,8,trust,passive,7
2345,2882,2024-07-10 11:29:01.370077785,10,app_quality,promoter,76
1019,1236,2024-07-10 13:53:46.048844863,10,product,promoter,59
4142,5043,2024-07-10 16:32:08.712894073,0,onboarding,detractor,52
4190,5091,2024-07-10 17:43:23.859938245,10,trust,promoter,25
4167,5066,2024-07-11 00:03:18.197390505,8,app_quality,passive,19
2221,2708,2024-07-11 01:11:37.812589589,8,trust,passive,14
3866,4720,2024-07-11 01:52:37.204986460,1,fees,detractor,36
4292,5228,2024-07-11 06:00:15.419052190,8,onboarding,passive,0
20,18,2024-07-11 08:35:29.299077312,6,trust,detractor,94
1923,2325,2024-07-11 10:35:52.930756374,6,fees,detractor,54
6402,7801,2024-07-11 23:46:58.994918189,8,app_quality,passive,11
330,407,2024-07-12 00:42:33.614390131,10,onboarding,promoter,35
5620,6884,2024-07-12 05:04:46.630915556,6,product,detractor,49
5580,6827,2024-07-12 05:11:01.424665504,8,app_quality,passive,8
5861,7195,2024-07-12 08:02:18.373865850,2,onboarding,detractor,185
3786,4626,2024-07-12 08:45:58.622754565,2,fees,detractor,23
6403,7801,2024-07-12 08:58:35.536355388,10,product,promoter,35
1391,1671,2024-07-12 09:32:30.238373889,2,product,detractor,196
5934,7287,2024-07-12 11:29:04.956110658,2,product,detractor,190
5767,7073,2024-07-12 15:35:26.032050980,4,app_quality,detractor,102
4529,5534,2024-07-12 16:44:40.840196576,2,fees,detractor,0
520,631,2024-07-12 19:01:30.812930650,7,fees,passive,2
1377,1654,2024-07-12 19:48:07.534849910,9,app_quality,promoter,88
5386,6593,2024-07-12 20:39:15.454219636,10,trust,promoter,110
4736,5759,2024-07-12 23:24:33.006789783,8,trust,passive,12
4907,5991,2024-07-12 23:27:55.671918785,10,product,promoter,34
175,213,2024-07-12 23:41:56.841364201,10,onboarding,promoter,197
4133,5032,2024-07-13 00:58:22.889533056,10,app_quality,promoter,147
2224,2714,2024-07-13 02:10:34.893757344,8,product,passive,26
2856,3494,2024-07-13 03:16:03.721382964,2,fees,detractor,192
4218,5125,2024-07-13 06:27:05.536790847,8,trust,passive,8
3941,4813,2024-07-13 11:52:50.665420024,3,support,detractor,121
2852,3488,2024-07-13 13:07:50.501867214,10,product,promoter,150
1166,1394,2024-07-13 13:08:54.608230466,6,product,detractor,118
2352,2888,2024-07-13 15:53:33.011790221,3,fees,detractor,139
2459,3022,2024-07-13 18:24:15.445821409,10,app_quality,promoter,111
1082,1306,2024-07-13 19:10:13.481272747,7,support,passive,19
3665,4474,2024-07-13 20:54:47.632623278,8,onboarding,passive,0
4332,5287,2024-07-13 21:13:20.882296706,8,trust,passive,3
5515,6750,2024-07-13 21:19:46.697106351,3,support,detractor,29
2302,2827,2024-07-14 02:57:09.854939445,6,onboarding,detractor,195
2532,3094,2024-07-14 06:01:25.103793599,3,fees,detractor,69
5555,6799,2024-07-14 14:58:19.345047911,4,onboarding,detractor,166
3389,4145,2024-07-14 15:31:15.029667678,4,app_quality,detractor,42
4030,4914,2024-07-14 16:56:36.225704307,10,app_quality,promoter,180
2574,3149,2024-07-14 17:29:13.462113693,8,trust,passive,3
4154,5054,2024-07-14 17:34:04.634013408,8,app_quality,passive,36
5421,6636,2024-07-14 17:46:06.159857416,6,onboarding,detractor,199
1785,2166,2024-07-14 21:02:00.893927284,10,product,promoter,51
4404,5385,2024-07-14 22:12:13.389296423,10,trust,promoter,44
178,215,2024-07-15 00:13:50.845797500,8,onboarding,passive,13
5218,6386,2024-07-15 02:04:27.406271703,0,trust,detractor,143
1938,2345,2024-07-15 02:35:35.009820087,4,support,detractor,159
2501,3058,2024-07-15 03:37:28.875384805,10,product,promoter,112
3830,4675,2024-07-15 04:13:26.155477770,9,app_quality,promoter,29
4400,5377,2024-07-15 13:07:28.322261333,3,app_quality,detractor,190
6492,7917,2024-07-15 13:29:27.103922399,10,app_quality,promoter,28
1950,2355,2024-07-15 14:07:54.012136725,10,product,promoter,85
2867,3508,2024-07-15 18:16:21.148625818,10,support,promoter,196
2168,2639,2024-07-15 18:54:26.419539864,2,product,detractor,46
21,19,2024-07-15 19:15:42.361346975,4,app_quality,detractor,34
5581,6828,2024-07-15 20:25:22.233978287,6,app_quality,detractor,169
5720,7009,2024-07-15 20:36:47.457748779,2,trust,detractor,148
2782,3410,2024-07-15 21:52:54.209109832,10,product,promoter,3
2981,3654,2024-07-15 22:31:35.978927462,10,app_quality,promoter,110
1760,2141,2024-07-16 00:34:06.541607268,9,support,promoter,35
455,553,2024-07-16 07:23:39.411197525,8,trust,passive,6
1527,1833,2024-07-16 08:06:38.428836505,8,trust,passive,17
628,763,2024-07-16 13:40:16.928226336,8,trust,passive,25
4852,5909,2024-07-16 21:19:36.043281387,10,product,promoter,81
1164,1392,2024-07-16 21:45:18.447874485,5,fees,detractor,62
1213,1442,2024-07-16 23:40:32.801788632,6,product,detractor,128
265,314,2024-07-17 00:42:06.435710360,10,app_quality,promoter,185
2191,2672,2024-07-17 02:18:41.676093576,8,fees,passive,13
2463,3024,2024-07-17 07:41:57.231606759,9,app_quality,promoter,159
6417,7819,2024-07-17 07:58:31.749220672,10,support,promoter,92
567,693,2024-07-17 10:27:30.669104894,10,support,promoter,71
3578,4375,2024-07-17 10:50:46.444885791,10,support,promoter,156
4412,5394,2024-07-17 11:19:53.793700026,8,app_quality,passive,32
4915,6003,2024-07-17 12:44:30.223677350,10,trust,promoter,73
2526,3087,2024-07-17 21:33:54.115822019,8,trust,passive,16
2980,3653,2024-07-17 22:44:15.799608176,6,product,detractor,86
1361,1628,2024-07-18 01:10:20.431619987,6,product,detractor,144
3325,4069,2024-07-18 02:09:17.965913172,9,support,promoter,24
1247,1482,2024-07-18 03:28:45.694952094,8,fees,passive,9
4782,5805,2024-07-18 04:40:36.210041224,1,fees,detractor,146
5011,6130,2024-07-18 06:00:19.858960045,8,trust,passive,36
5604,6857,2024-07-18 10:45:19.704972775,8,onboarding,passive,13
6057,7411,2024-07-18 14:35:51.128583679,7,support,passive,8
4510,5514,2024-07-18 15:52:35.433147953,10,product,promoter,76
1869,2259,2024-07-18 16:31:39.063693463,7,fees,passive,35
3231,3959,2024-07-18 19:30:19.804696369,8,trust,passive,22
4448,5443,2024-07-18 20:58:29.479644462,10,product,promoter,11
3739,4559,2024-07-18 22:46:09.925880010,6,fees,detractor,173
1893,2285,2024-07-18 22:55:20.112926848,10,product,promoter,40
2996,3669,2024-07-18 23:05:30.617324520,8,trust,passive,32
6080,7443,2024-07-19 02:33:12.408085595,10,product,promoter,119
5860,7194,2024-07-19 02:48:06.514993471,1,app_quality,detractor,94
1994,2403,2024-07-19 04:17:21.651014126,10,support,promoter,95
3522,4306,2024-07-19 05:36:41.275668024,8,onboarding,passive,7
2413,2969,2024-07-19 06:26:42.948370726,10,trust,promoter,54
4820,5867,2024-07-19 06:37:15.201298473,5,support,detractor,98
2648,3260,2024-07-19 13:08:38.709346104,1,support,detractor,30
3547,4336,2024-07-19 14:39:23.203973649,4,app_quality,detractor,4
3103,3804,2024-07-19 23:33:35.390283246,10,product,promoter,88
4530,5535,2024-07-20 00:21:44.843582220,10,trust,promoter,95
5826,7154,2024-07-20 02:55:55.061508872,7,support,passive,26
690,840,2024-07-20 07:16:09.087388135,10,product,promoter,123
1349,1610,2024-07-20 19:43:16.354076940,10,product,promoter,48
4526,5533,2024-07-20 22:54:20.096431787,7,fees,passive,30
52,62,2024-07-20 23:42:23.200636524,7,support,passive,39
1211,1441,2024-07-21 01:54:55.348437726,6,fees,detractor,195
2472,3034,2024-07-21 02:49:37.781863057,10,product,promoter,155
1926,2331,2024-07-21 06:56:04.922716793,6,product,detractor,27
5191,6353,2024-07-21 07:54:14.812164915,2,trust,detractor,8
1170,1398,2024-07-21 12:09:48.886760485,6,trust,detractor,63
4500,5501,2024-07-21 14:56:54.394587458,5,app_quality,detractor,132
2729,3353,2024-07-21 16:54:52.190128615,10,product,promoter,163
448,543,2024-07-21 20:57:11.667670404,7,fees,passive,5
2943,3600,2024-07-21 22:39:35.698885816,1,app_quality,detractor,135
3966,4842,2024-07-21 23:10:36.754542696,10,product,promoter,106
6123,7485,2024-07-22 00:15:18.941736689,6,fees,detractor,119
3672,4481,2024-07-22 02:02:23.049451512,10,app_quality,promoter,199
1635,1973,2024-07-22 04:16:52.935528941,10,app_quality,promoter,158
4709,5726,2024-07-22 08:02:29.225183182,10,app_quality,promoter,37
2888,3532,2024-07-22 08:51:27.188248916,8,support,passive,0
3237,3966,2024-07-22 09:54:39.159810192,8,onboarding,passive,29
2294,2818,2024-07-22 10:25:13.696252141,2,fees,detractor,85
2322,2847,2024-07-22 12:19:22.131342033,9,app_quality,promoter,198
1748,2129,2024-07-22 13:59:42.746225343,8,fees,passive,28
4362,5319,2024-07-22 16:20:13.341724846,10,product,promoter,142
528,639,2024-07-22 20:12:23.114010047,10,trust,promoter,126
6184,7547,2024-07-22 21:04:47.309408572,6,product,detractor,5
1197,1424,2024-07-22 22:24:46.585882232,10,app_quality,promoter,7
3884,4743,2024-07-23 02:24:34.168347616,10,product,promoter,165
250,299,2024-07-23 04:10:13.533271455,6,onboarding,detractor,97
5216,6383,2024-07-23 07:22:06.150494605,10,product,promoter,34
1005,1209,2024-07-23 07:49:44.429444624,8,trust,passive,35
619,752,2024-07-23 11:40:22.077044284,8,fees,passive,21
3479,4251,2024-07-23 12:38:52.654774274,6,fees,detractor,174
509,612,2024-07-23 12:44:06.908829633,1,fees,detractor,178
2018,2438,2024-07-23 12:47:08.933204302,7,fees,passive,17
2008,2421,2024-07-23 16:58:16.828801648,10,app_quality,promoter,38
5326,6513,2024-07-23 18:41:03.611483831,4,product,detractor,136
5401,6612,2024-07-23 21:29:12.544589077,10,app_quality,promoter,113
2875,3518,2024-07-24 00:20:57.058928669,2,product,detractor,87
3961,4837,2024-07-24 00:52:49.762783035,2,fees,detractor,166
5185,6346,2024-07-24 01:53:07.883032058,0,fees,detractor,83
4693,5710,2024-07-24 02:55:42.484662338,10,product,promoter,10
3018,3696,2024-07-24 05:41:18.883028892,0,onboarding,detractor,126
3315,4055,2024-07-24 05:51:35.813285282,2,fees,detractor,75
2070,2511,2024-07-24 09:10:42.788853914,2,product,detractor,172
1833,2220,2024-07-24 12:35:38.153987275,8,trust,passive,23
4209,5116,2024-07-24 14:19:11.561792335,8,onboarding,passive,22
3019,3697,2024-07-24 17:28:54.673198648,7,fees,passive,37
4873,5945,2024-07-24 20:14:07.731100239,8,onboarding,passive,9
2818,3447,2024-07-24 20:54:05.068172986,4,fees,detractor,70
1541,1849,2024-07-24 21:20:44.914970544,10,product,promoter,139
6129,7491,2024-07-24 23:36:20.963757602,6,onboarding,detractor,67
4752,5778,2024-07-25 02:09:58.035514829,8,trust,passive,12
4059,4947,2024-07-25 02:19:02.385353190,6,product,detractor,174
2340,2876,2024-07-25 05:39:08.562415887,1,app_quality,detractor,98
6518,7942,2024-07-25 06:35:54.111534316,8,support,passive,4
2468,3029,2024-07-25 08:30:05.031735710,8,product,passive,36
2673,3290,2024-07-25 11:19:43.249315791,10,onboarding,promoter,28
4705,5724,2024-07-25 11:50:06.231749925,10,product,promoter,2
905,1082,2024-07-25 12:50:34.019951769,9,support,promoter,23
3485,4257,2024-07-25 13:16:45.658539226,6,onboarding,detractor,196
4878,5950,2024-07-25 16:29:22.517119561,9,app_quality,promoter,181
6277,7658,2024-07-25 17:22:53.748884049,9,support,promoter,90
3719,4531,2024-07-25 20:27:10.375066298,6,onboarding,detractor,193
620,752,2024-07-25 23:14:33.795369576,4,product,detractor,106
522,632,2024-07-25 23:34:57.890218152,10,app_quality,promoter,147
2349,2886,2024-07-26 00:08:57.081986499,4,onboarding,detractor,143
1171,1399,2024-07-26 02:44:58.166797335,6,fees,detractor,27
3207,3933,2024-07-26 03:28:50.486780412,10,product,promoter,182
2939,3594,2024-07-26 07:12:26.212007401,8,trust,passive,5
3919,4783,2024-07-26 12:06:51.157538749,4,product,detractor,142
2467,3027,2024-07-26 13:36:11.343548597,8,app_quality,passive,23
5463,6683,2024-07-26 15:30:04.326159038,6,product,detractor,48
5527,6763,2024-07-26 19:24:08.878412640,7,fees,passive,2
4956,6058,2024-07-26 19:29:36.802682592,10,support,promoter,64
4963,6065,2024-07-26 20:02:18.613687056,10,product,promoter,10
2649,3262,2024-07-27 00:26:39.313596727,10,product,promoter,92
3999,4877,2024-07-27 02:26:33.428270091,6,support,detractor,1
3907,4772,2024-07-27 02:43:23.161391618,3,app_quality,detractor,123
2394,2946,2024-07-27 04:52:07.627813296,8,onboarding,passive,34
4011,4889,2024-07-27 05:12:47.982865279,9,support,promoter,142
1357,1624,2024-07-27 14:38:39.072429144,8,product,passive,39
6089,7453,2024-07-27 15:53:11.538456233,10,app_quality,promoter,20
3852,4702,2024-07-27 20:17:06.829315840,10,trust,promoter,159
4235,5156,2024-07-28 04:37:10.869600521,5,support,detractor,20
4311,5251,2024-07-28 04:53:27.691109597,10,trust,promoter,81
192,230,2024-07-28 06:01:57.232872419,2,support,detractor,82
556,678,2024-07-28 07:20:45.037378498,4,trust,detractor,178
4612,5621,2024-07-28 09:20:35.731816900,8,support,passive,23
1400,1689,2024-07-28 13:05:38.593774677,0,trust,detractor,0
2182,2655,2024-07-28 16:19:54.093308387,10,product,promoter,195
4600,5604,2024-07-28 16:40:17.871074224,8,app_quality,passive,20
338,412,2024-07-28 17:22:21.389107811,4,onboarding,detractor,85
3516,4299,2024-07-28 18:24:50.999696377,7,support,passive,23
686,836,2024-07-28 20:11:43.603258372,10,trust,promoter,37
6192,7561,2024-07-28 21:24:22.527268623,7,fees,passive,6
4868,5938,2024-07-28 22:15:22.157425330,6,product,detractor,177
3734,4550,2024-07-28 22:56:46.351343080,2,fees,detractor,68
2779,3407,2024-07-29 01:46:44.286157390,2,product,detractor,17
3187,3902,2024-07-29 02:23:18.143767510,6,product,detractor,177
1920,2318,2024-07-29 02:51:11.498858530,10,trust,promoter,25
866,1035,2024-07-29 07:08:16.179157993,6,fees,detractor,36
2210,2698,2024-07-29 08:46:17.052703772,7,support,passive,33
2219,2705,2024-07-29 09:06:38.703263402,6,fees,detractor,39
845,1017,2024-07-29 10:37:22.474905286,3,support,detractor,169
4491,5490,2024-07-29 14:56:17.806666966,10,app_quality,promoter,72
201,239,2024-07-29 16:02:02.743155672,6,product,detractor,155
3345,4094,2024-07-29 16:48:38.894051318,9,app_quality,promoter,152
1507,1816,2024-07-29 18:37:49.303468614,10,product,promoter,141
6009,7366,2024-07-29 19:05:37.287394615,7,app_quality,passive,7
221,262,2024-07-29 23:35:14.432235558,6,trust,detractor,69
1041,1262,2024-07-30 00:46:51.166721697,10,product,promoter,39
1443,1742,2024-07-30 01:47:53.843746709,9,support,promoter,32
4192,5093,2024-07-30 06:02:18.668421096,7,fees,passive,31
2547,3116,2024-07-30 06:46:01.829019705,10,app_quality,promoter,107
3506,4283,2024-07-30 14:13:02.166325368,10,support,promoter,17
5613,6869,2024-07-30 14:34:41.222252242,10,product,promoter,124
1644,1978,2024-07-30 14:37:24.568290534,10,trust,promoter,75
1241,1474,2024-07-30 15:18:03.951646421,6,onboarding,detractor,187
4569,5572,2024-07-30 15:29:33.340097068,9,support,promoter,156
4560,5565,2024-07-30 17:51:17.622582557,2,product,detractor,160
1419,1710,2024-07-30 18:12:20.081819632,5,fees,detractor,152
1216,1443,2024-07-30 19:21:47.990180514,8,fees,passive,4
1412,1702,2024-07-30 19:38:24.375184143,5,support,detractor,45
4883,5964,2024-07-30 21:23:03.915060633,7,app_quality,passive,30
2559,3129,2024-07-31 05:42:05.616753312,7,support,passive,21
6341,7733,2024-07-31 06:22:51.159877492,6,fees,detractor,90
6325,7713,2024-07-31 07:07:13.974125445,5,fees,detractor,93
2134,2594,2024-07-31 12:02:04.978582825,10,trust,promoter,198
4703,5722,2024-07-31 13:17:34.520369804,10,product,promoter,166
1333,1590,2024-07-31 17:25:31.576031371,4,fees,detractor,143
1674,2017,2024-08-01 00:07:22.002148963,10,product,promoter,65
4346,5302,2024-08-01 00:09:30.098128703,9,support,promoter,127
480,580,2024-08-01 05:08:37.141651656,10,trust,promoter,94
5949,7305,2024-08-01 10:34:53.869340496,9,app_quality,promoter,95
3835,4680,2024-08-01 11:24:41.840891539,2,fees,detractor,61
704,857,2024-08-01 11:42:17.739128926,8,trust,passive,1
3821,4661,2024-08-01 14:01:18.126017163,8,fees,passive,17
2900,3548,2024-08-01 15:45:29.540943043,6,product,detractor,156
3635,4442,2024-08-01 20:46:12.747878981,10,onboarding,promoter,144
2226,2715,2024-08-01 20:54:04.617361987,10,support,promoter,0
478,579,2024-08-02 02:29:04.339310994,8,trust,passive,9
4810,5844,2024-08-02 07:03:26.848085869,7,app_quality,passive,8
511,615,2024-08-02 07:33:12.301271095,6,product,detractor,189
4338,5292,2024-08-02 08:29:56.047285547,10,app_quality,promoter,175
2110,2565,2024-08-02 15:00:43.137375776,0,onboarding,detractor,38
1975,2384,2024-08-02 15:11:59.826468966,8,onboarding,passive,24
1229,1459,2024-08-02 19:40:57.584687681,6,fees,detractor,59
1322,1574,2024-08-03 02:33:28.996896646,8,fees,passive,20
2451,3014,2024-08-03 02:53:27.240117904,8,product,passive,36
35,40,2024-08-03 04:03:21.554881436,10,trust,promoter,147
2733,3357,2024-08-03 06:37:54.564572398,10,app_quality,promoter,176
4929,6018,2024-08-03 10:29:19.787957358,4,product,detractor,30
5350,6543,2024-08-03 11:37:34.549720484,9,support,promoter,112
4322,5278,2024-08-03 13:43:18.688532908,8,support,passive,25
1453,1754,2024-08-03 14:45:59.861848803,10,product,promoter,65
4527,5533,2024-08-03 15:24:18.779238731,6,product,detractor,32
861,1031,2024-08-03 17:58:23.643213939,10,onboarding,promoter,2
2562,3131,2024-08-03 18:19:47.156437211,6,onboarding,detractor,21
3735,4552,2024-08-03 20:10:56.857978963,2,trust,detractor,149
3889,4748,2024-08-03 20:25:32.384437904,10,product,promoter,25
5400,6612,2024-08-03 22:59:18.867460750,7,support,passive,26
1880,2269,2024-08-03 23:29:39.371526064,6,app_quality,detractor,10
969,1168,2024-08-04 00:16:47.406641229,7,app_quality,passive,9
5324,6510,2024-08-04 04:01:33.890481577,9,support,promoter,172
6108,7470,2024-08-04 08:25:00.817172172,6,onboarding,detractor,46
136,176,2024-08-04 11:07:26.376015541,8,product,passive,8
4547,5556,2024-08-04 15:00:05.899563780,6,product,detractor,85
2786,3413,2024-08-04 16:12:41.248405880,8,product,passive,38
5740,7036,2024-08-04 17:11:20.317203222,9,support,promoter,193
