provider_id,provider_name,monthly_volume_eur,term_months,quoted_cost_pct,hedging_cost_pct,effective_cost_pct,settlement_days,credit_rating
4,Prime Broker A,50000000.0,12,0.7898,0.0494,0.8392,1,A
4,Prime Broker A,100000000.0,1,0.72,0.1194,0.8394,1,A
4,Prime Broker A,100000000.0,6,0.7224,0.0834,0.8058,1,A
4,Prime Broker A,100000000.0,12,0.7207,0.051,0.7716,1,A
4,Prime Broker A,250000000.0,1,0.6214,0.1198,0.7413,1,A
4,Prime Broker A,250000000.0,6,0.6291,0.0771,0.7062,1,A
4,Prime Broker A,250000000.0,12,0.6289,0.0495,0.6784,1,A
4,Prime Broker A,500000000.0,1,0.5749,0.1152,0.6902,1,A
4,Prime Broker A,500000000.0,6,0.5699,0.0788,0.6487,1,A
4,Prime Broker A,500000000.0,12,0.5679,0.0515,0.6194,1,A
5,Regional Bank,1000000.0,1,1.2567,0.1248,1.3815,3,A
5,Regional Bank,1000000.0,6,1.2481,0.0783,1.3264,3,A
5,Regional Bank,1000000.0,12,1.2472,0.0504,1.2976,3,A
5,Regional Bank,2500000.0,1,1.1765,0.1161,1.2926,3,A
5,Regional Bank,2500000.0,6,1.1755,0.0805,1.256,3,A
5,Regional Bank,2500000.0,12,1.204,0.0528,1.2568,3,A
5,Regional Bank,5000000.0,1,1.1077,0.119,1.2266,3,A
5,Regional Bank,5000000.0,6,1.1008,0.0786,1.1794,3,A
5,Regional Bank,5000000.0,12,1.1207,0.0518,1.1725,3,A
5,Regional Bank,10000000.0,1,1.0523,0.1176,1.1699,3,A
5,Regional Bank,10000000.0,6,1.0372,0.0796,1.1168,3,A
5,Regional Bank,10000000.0,12,1.0487,0.0492,1.0979,3,A
5,Regional Bank,25000000.0,1,0.9758,0.1197,1.0954,3,A
5,Regional Bank,25000000.0,6,0.9671,0.0765,1.0436,3,A
5,Regional Bank,25000000.0,12,1.0054,0.0481,1.0534,3,A
5,Regional Bank,50000000.0,1,0.917,0.1266,1.0436,3,A
5,Regional Bank,50000000.0,6,0.9541,0.0772,1.0313,3,A
5,Regional Bank,50000000.0,12,0.9238,0.0505,0.9743,3,A
5,Regional Bank,100000000.0,1,0.885,0.1164,1.0015,3,A
5,Regional Bank,100000000.0,6,0.8679,0.0819,0.9497,3,A
5,Regional Bank,100000000.0,12,0.8738,0.0494,0.9232,3,A
5,Regional Bank,250000000.0,1,0.7933,0.1151,0.9084,3,A
5,Regional Bank,250000000.0,6,0.7925,0.0794,0.8719,3,A
5,Regional Bank,250000000.0,12,0.7962,0.0492,0.8454,3,A
5,Regional Bank,500000000.0,1,0.7407,0.1236,0.8643,3,A
5,Regional Bank,500000000.0,6,0.7383,0.0808,0.8192,3,A
5,Regional Bank,500000000.0,12,0.7376,0.05,0.7876,3,A
6,Aggregator X,1000000.0,1,1.2906,0.1211,1.4118,3,BBB
6,Aggregator X,1000000.0,6,1.2987,0.085,1.3838,3,BBB
6,Aggregator X,1000000.0,12,1.3205,0.0506,1.371,3,BBB
6,Aggregator X,2500000.0,1,1.2229,0.116,1.3389,3,BBB
6,Aggregator X,2500000.0,6,1.247,0.0806,1.3277,3,BBB
6,Aggregator X,2500000.0,12,1.2383,0.0474,1.2857,3,BBB
6,Aggregator X,5000000.0,1,1.1921,0.1216,1.3138,3,BBB
6,Aggregator X,5000000.0,6,1.1681,0.0789,1.2469,3,BBB
6,Aggregator X,5000000.0,12,1.1843,0.0501,1.2344,3,BBB
6,Aggregator X,10000000.0,1,1.1267,0.1196,1.2463,3,BBB
6,Aggregator X,10000000.0,6,1.1272,0.0804,1.2075,3,BBB
6,Aggregator X,10000000.0,12,1.1466,0.0462,1.1928,3,BBB
6,Aggregator X,25000000.0,1,1.0598,0.1206,1.1805,3,BBB
6,Aggregator X,25000000.0,6,1.0655,0.0791,1.1446,3,BBB
6,Aggregator X,25000000.0,12,1.0437,0.0505,1.0942,3,BBB
6,Aggregator X,50000000.0,1,1.0286,0.1145,1.1431,3,BBB
6,Aggregator X,50000000.0,6,1.0199,0.0792,1.0991,3,BBB
6,Aggregator X,50000000.0,12,1.0106,0.0484,1.059,3,BBB
6,Aggregator X,100000000.0,1,0.9568,0.1247,1.0815,3,BBB
6,Aggregator X,100000000.0,6,0.9656,0.0842,1.0498,3,BBB
6,Aggregator X,100000000.0,12,0.9713,0.0507,1.022,3,BBB
6,Aggregator X,250000000.0,1,0.9079,0.1216,1.0295,3,BBB
6,Aggregator X,250000000.0,6,0.8997,0.0793,0.979,3,BBB
6,Aggregator X,250000000.0,12,0.8929,0.049,0.9419,3,BBB
6,Aggregator X,500000000.0,1,0.8495,0.1158,0.9653,3,BBB
6,Aggregator X,500000000.0,6,0.8478,0.0795,0.9273,3,BBB
6,Aggregator X,500000000.0,12,0.851,0.0511,0.9022,3,BBB
