user_id,jtbd_segment,cohort,group,logins_per_week,tx_per_month,balance_eur,converted,upgrade_reason
61,young_professionals,Power,control,0.7,20,1475.63,1,support
62,young_professionals,Casual,control,9.5,9,1518.04,0,none
63,young_professionals,Power,control,9.7,17,1129.47,1,cashback
64,young_professionals,Dormant,control,3.7,20,1649.66,0,none
65,young_professionals,Casual,control,12.9,19,738.33,1,cashback
66,young_professionals,Casual,control,9.3,20,311.68,0,none
67,young_professionals,Growth,control,11.9,7,1484.82,0,none
68,young_professionals,Casual,control,12.3,9,558.15,0,none
69,young_professionals,Casual,control,8.3,16,1992.4,0,none
70,young_professionals,Casual,control,12.8,10,1409.27,0,none
71,young_professionals,Power,control,9.2,12,692.6,0,none
72,young_professionals,Casual,control,10.1,14,0.0,0,none
73,young_professionals,Power,control,7.9,15,622.75,0,none
74,young_professionals,Casual,control,8.0,17,996.44,0,none
75,young_professionals,Growth,control,9.0,13,2059.93,0,none
76,young_professionals,Dormant,control,8.8,15,1458.18,0,none
77,young_professionals,Casual,control,11.2,7,1472.38,0,none
78,young_professionals,Growth,control,2.4,20,1737.11,0,none
79,young_professionals,Power,control,0.0,18,1479.05,0,none
80,young_professionals,Growth,control,9.4,15,786.98,0,none
81,young_professionals,Dormant,control,5.5,10,934.48,0,none
82,young_professionals,Casual,control,9.9,15,635.33,0,none
83,young_professionals,Power,control,3.4,12,1888.69,0,none
84,young_professionals,Power,control,2.9,17,1104.49,1,premium_features
85,young_professionals,Casual,control,11.4,20,1377.85,0,none
86,young_professionals,Casual,control,7.9,16,453.32,0,none
87,young_professionals,Casual,control,5.8,14,1230.69,0,none
88,young_professionals,Growth,control,11.7,14,331.12,1,premium_features
89,young_professionals,Casual,control,9.7,15,1418.07,0,none
90,young_professionals,Dormant,control,7.9,20,2398.38,0,none
91,young_professionals,Casual,control,9.8,12,208.94,1,status
92,young_professionals,Casual,control,11.9,14,1964.67,0,none
93,young_professionals,Dormant,control,10.9,19,188.64,1,premium_features
94,young_professionals,Casual,control,3.9,6,2070.71,0,none
95,young_professionals,Power,control,10.0,17,879.93,0,none
96,young_professionals,Casual,control,5.3,20,2729.6,0,none
97,young_professionals,Casual,control,7.9,11,1514.7,0,none
98,young_professionals,Dormant,control,16.4,12,1114.8,0,none
99,young_professionals,Dormant,control,4.4,16,965.72,0,none
100,young_professionals,Power,control,15.0,8,1391.64,0,none
101,young_professionals,Casual,control,13.4,18,994.6,0,none
102,young_professionals,Growth,control,3.2,21,0.0,0,none
103,young_professionals,Casual,control,6.4,12,1409.61,0,none
104,young_professionals,Growth,control,10.5,14,1951.04,0,none
105,young_professionals,Dormant,control,7.2,19,1674.48,0,none
106,young_professionals,Casual,control,7.5,15,1771.23,0,none
107,young_professionals,Power,control,6.2,12,650.91,0,none
108,young_professionals,Growth,control,8.1,9,1829.5,0,none
109,young_professionals,Growth,control,11.0,14,1191.81,1,status
110,young_professionals,Power,control,8.2,15,1611.45,0,none
111,young_professionals,Dormant,control,8.7,13,302.02,0,none
112,young_professionals,Growth,control,10.0,22,528.28,0,none
113,young_professionals,Growth,control,11.0,4,0.0,0,none
114,young_professionals,Casual,control,5.3,20,1758.5,0,none
115,young_professionals,Growth,control,7.7,20,1020.44,0,none
116,young_professionals,Casual,control,15.4,13,1713.01,0,none
117,young_professionals,Casual,control,13.5,14,1582.14,1,premium_features
118,young_professionals,Power,control,7.0,18,2237.4,0,none
119,young_professionals,Dormant,control,13.9,10,543.92,0,none
120,young_professionals,Casual,control,4.3,10,1226.53,0,none
121,young_professionals,Casual,control,8.5,12,127.98,1,cashback
122,young_professionals,Growth,control,12.7,12,549.78,0,none
123,young_professionals,Casual,control,13.6,16,453.48,0,none
124,young_professionals,Casual,control,8.3,19,897.63,1,status
125,young_professionals,Growth,control,9.9,11,502.75,0,none
126,young_professionals,Casual,control,9.1,13,1928.51,0,none
127,young_professionals,Casual,control,14.6,9,2302.43,1,support
128,young_professionals,Growth,control,15.3,21,1419.28,0,none
129,young_professionals,Casual,control,6.5,15,1218.65,0,none
130,young_professionals,Power,control,10.2,17,1599.94,1,premium_features
131,young_professionals,Casual,control,9.3,12,394.69,0,none
132,young_professionals,Casual,control,8.8,15,1192.61,0,none
133,young_professionals,Casual,control,8.9,8,1946.97,0,none
134,young_professionals,Power,control,2.9,16,954.97,1,premium_features
135,young_professionals,Dormant,control,6.6,18,278.61,0,none
136,young_professionals,Casual,control,8.5,10,433.79,0,none
137,young_professionals,Dormant,control,6.3,14,826.7,0,none
138,young_professionals,Dormant,control,14.2,15,71.52,0,none
139,young_professionals,Dormant,control,9.4,18,2329.3,0,none
140,young_professionals,Casual,control,8.2,10,1468.99,0,none
141,young_professionals,Dormant,control,10.1,16,1147.27,1,premium_features
142,young_professionals,Dormant,control,12.2,16,1373.62,0,none
143,young_professionals,Growth,control,0.0,19,165.92,1,support
144,young_professionals,Growth,control,6.4,13,2545.75,0,none
145,young_professionals,Casual,control,14.8,22,1134.16,1,support
146,young_professionals,Growth,control,6.3,14,1030.32,0,none
147,young_professionals,Growth,control,11.2,13,1862.81,0,none
148,young_professionals,Casual,control,10.6,23,1337.69,0,none
149,young_professionals,Dormant,control,11.3,14,1018.43,0,none
150,young_professionals,Growth,control,14.3,13,1134.16,0,none
151,young_professionals,Casual,control,9.4,21,1164.43,0,none
152,young_professionals,Growth,control,11.3,10,1602.05,0,none
153,young_professionals,Casual,control,10.4,13,899.55,0,none
154,young_professionals,Growth,control,5.3,10,997.9,0,none
155,young_professionals,Casual,control,10.1,11,0.0,0,none
156,young_professionals,Casual,control,9.1,16,1912.58,0,none
157,young_professionals,Casual,control,10.7,14,1791.68,0,none
158,young_professionals,Dormant,control,11.4,13,1619.14,0,none
159,young_professionals,Growth,control,5.9,18,1265.79,0,none
160,young_professionals,Casual,control,14.3,17,1271.01,0,none
161,young_professionals,Growth,control,14.2,11,556.82,0,none
162,young_professionals,Dormant,control,8.7,18,1062.42,0,none
163,young_professionals,Growth,control,9.8,14,848.05,0,none
164,young_professionals,Power,control,8.5,19,1266.24,0,none
165,young_professionals,Power,control,3.4,11,842.35,0,none
166,young_professionals,Casual,control,9.6,15,1496.73,0,none
167,young_professionals,Growth,control,13.1,14,1511.8,0,none
168,young_professionals,Casual,control,4.1,19,1704.13,0,none
169,young_professionals,Dormant,control,4.9,21,1247.39,0,none
170,young_professionals,Growth,control,10.3,8,1201.87,0,none
171,young_professionals,Casual,control,8.3,17,1140.93,1,status
172,young_professionals,Dormant,control,8.1,19,1101.04,0,none
173,young_professionals,Growth,control,9.1,15,2231.28,0,none
174,young_professionals,Growth,control,7.0,18,1483.85,1,premium_features
175,young_professionals,Dormant,control,9.7,17,1266.37,0,none
176,young_professionals,Dormant,control,0.2,11,982.04,0,none
177,young_professionals,Casual,control,5.5,16,2281.05,1,premium_features
178,young_professionals,Casual,control,2.1,12,1149.09,0,none
179,young_professionals,Casual,control,9.5,12,407.71,0,none
180,young_professionals,Casual,control,11.3,21,1567.78,0,none
181,young_professionals,Casual,control,12.6,22,2360.28,0,none
182,young_professionals,Growth,control,5.7,11,406.48,0,none
183,young_professionals,Growth,control,8.6,20,772.6,1,premium_features
184,young_professionals,Growth,control,12.2,22,373.19,1,cashback
185,young_professionals,Power,control,13.8,6,1637.23,0,none
186,young_professionals,Casual,control,11.0,15,0.0,0,none
187,young_professionals,Growth,control,6.1,10,1570.91,1,status
188,young_professionals,Casual,control,15.1,14,1240.79,0,none
189,young_professionals,Dormant,control,8.4,13,2110.08,0,none
190,young_professionals,Casual,control,6.4,13,1176.88,1,premium_features
191,young_professionals,Casual,control,9.4,11,1170.26,0,none
192,young_professionals,Dormant,control,11.4,16,2122.18,0,none
193,young_professionals,Growth,control,10.3,16,840.15,0,none
194,young_professionals,Casual,control,8.2,15,1236.28,0,none
195,young_professionals,Growth,control,8.9,13,1301.82,1,status
196,young_professionals,Casual,control,9.9,20,620.79,0,none
197,young_professionals,Growth,control,0.0,19,1049.34,0,none
198,young_professionals,Casual,control,13.4,13,492.0,0,none
199,young_professionals,Dormant,control,10.5,13,1078.23,0,none
200,young_professionals,Casual,control,13.3,10,1186.65,0,none
201,young_professionals,Power,control,12.5,15,1125.71,1,premium_features
202,young_professionals,Power,control,12.2,14,2315.7,1,cashback
203,young_professionals,Dormant,control,8.2,14,1463.39,0,none
204,young_professionals,Dormant,control,17.3,13,1048.27,0,none
205,young_professionals,Dormant,control,10.3,19,974.27,0,none
206,young_professionals,Casual,control,8.1,14,160.07,0,none
207,young_professionals,Growth,control,10.4,25,1947.38,0,none
208,young_professionals,Dormant,control,12.0,10,1533.65,0,none
209,young_professionals,Dormant,control,14.3,17,1009.54,0,none
210,young_professionals,Growth,control,9.3,9,1401.84,0,none
211,young_professionals,Dormant,control,14.3,11,1545.33,0,none
212,young_professionals,Growth,control,7.8,10,851.61,0,none
213,young_professionals,Dormant,control,11.3,16,948.69,0,none
214,young_professionals,Dormant,control,13.5,13,2537.56,0,none
215,young_professionals,Dormant,control,9.1,18,1434.32,0,none
216,young_professionals,Casual,control,5.7,14,1592.8,0,none
217,young_professionals,Dormant,control,5.7,9,1342.17,0,none
218,young_professionals,Growth,control,0.0,15,801.22,1,cashback
219,young_professionals,Growth,control,8.5,15,844.07,1,status
220,young_professionals,Casual,control,7.6,14,2579.75,0,none
221,young_professionals,Growth,control,10.3,13,1793.13,0,none
222,young_professionals,Casual,control,4.1,11,1265.69,0,none
223,young_professionals,Casual,control,0.9,21,2457.6,0,none
224,young_professionals,Growth,control,15.1,12,1268.75,0,none
225,young_professionals,Casual,control,6.1,13,1397.02,0,none
226,young_professionals,Growth,control,8.9,16,987.83,0,none
227,young_professionals,Casual,control,4.9,19,860.22,0,none
228,young_professionals,Growth,control,10.2,15,0.0,0,none
229,young_professionals,Growth,control,9.5,10,1737.36,0,none
230,young_professionals,Growth,control,9.8,22,1010.9,0,none
231,young_professionals,Dormant,control,0.0,19,1919.11,1,premium_features
232,young_professionals,Casual,control,11.0,16,501.1,1,premium_features
233,young_professionals,Casual,control,2.9,21,1342.17,0,none
234,young_professionals,Casual,control,8.1,13,1530.72,0,none
235,young_professionals,Growth,control,6.4,23,374.45,0,none
236,young_professionals,Growth,control,11.8,19,964.78,1,cashback
237,young_professionals,Dormant,control,5.6,12,247.74,0,none
238,young_professionals,Casual,control,10.2,13,442.57,1,cashback
239,young_professionals,Dormant,control,10.2,11,1530.12,0,none
240,young_professionals,Growth,control,3.2,13,609.0,0,none
241,young_professionals,Casual,control,3.9,17,1426.78,0,none
242,young_professionals,Growth,control,9.9,12,1167.04,1,premium_features
243,young_professionals,Growth,control,7.9,15,1317.16,0,none
244,young_professionals,Dormant,control,10.0,12,1247.16,0,none
245,young_professionals,Growth,control,19.5,20,743.89,1,cashback
246,young_professionals,Casual,control,13.2,20,1425.04,0,none
247,young_professionals,Growth,control,6.0,18,1369.84,0,none
248,young_professionals,Casual,control,12.5,20,317.33,0,none
249,young_professionals,Casual,control,7.3,9,1232.07,0,none
250,young_professionals,Casual,control,8.4,12,968.62,0,none
251,young_professionals,Growth,control,10.4,13,2278.97,0,none
252,young_professionals,Power,control,9.8,20,780.79,0,none
253,young_professionals,Dormant,control,9.5,13,230.97,0,none
254,young_professionals,Casual,control,6.4,18,1937.05,1,premium_features
255,young_professionals,Dormant,control,9.9,14,879.11,0,none
256,young_professionals,Growth,control,4.0,11,920.54,0,none
257,young_professionals,Growth,control,9.7,24,1284.85,0,none
258,young_professionals,Casual,control,15.9,14,1814.95,0,none
259,young_professionals,Dormant,control,0.8,16,592.39,0,none
260,young_professionals,Dormant,control,7.1,11,1828.39,0,none
261,young_professionals,Power,control,15.9,8,635.68,0,none
262,young_professionals,Casual,control,9.1,20,1071.37,0,none
263,young_professionals,Growth,control,12.3,15,708.15,0,none
264,young_professionals,Growth,control,14.3,19,1602.74,0,none
265,young_professionals,Power,control,10.1,13,735.29,0,none
266,young_professionals,Growth,control,7.0,12,2225.97,0,none
267,young_professionals,Casual,control,9.3,17,821.95,1,premium_features
268,young_professionals,Growth,control,4.6,11,2885.74,1,status
269,young_professionals,Casual,control,9.3,15,1871.7,0,none
270,young_professionals,Casual,control,9.8,16,1685.52,0,none
271,young_professionals,Casual,control,5.5,15,1865.5,0,none
272,young_professionals,Growth,control,12.7,9,1364.31,0,none
273,young_professionals,Casual,control,7.8,16,861.92,0,none
274,young_professionals,Casual,control,10.6,17,1255.41,0,none
275,young_professionals,Dormant,control,9.0,12,1302.11,0,none
276,young_professionals,Dormant,control,12.4,15,0.0,0,none
277,young_professionals,Growth,control,11.3,19,1716.32,0,none
278,young_professionals,Dormant,control,8.2,19,529.6,0,none
279,young_professionals,Casual,control,9.3,17,2086.97,0,none
280,young_professionals,Growth,control,9.0,11,413.82,0,none
281,young_professionals,Casual,control,5.0,11,1020.4,1,premium_features
282,young_professionals,Casual,control,8.4,20,361.82,0,none
283,young_professionals,Growth,control,14.1,21,1341.34,1,cashback
284,young_professionals,Casual,control,4.7,24,1637.9,0,none
285,young_professionals,Growth,control,3.1,6,925.91,1,premium_features
286,young_professionals,Casual,control,5.2,18,1525.71,1,premium_features
287,young_professionals,Casual,control,1.2,6,269.39,0,none
288,young_professionals,Growth,control,5.1,22,1561.76,1,support
289,young_professionals,Dormant,control,9.1,16,0.0,0,none
290,young_professionals,Casual,control,6.8,16,320.29,1,cashback
291,young_professionals,Dormant,control,13.1,15,850.13,0,none
292,young_professionals,Growth,control,11.6,11,682.09,0,none
293,young_professionals,Growth,control,14.8,13,793.64,0,none
294,young_professionals,Dormant,control,9.3,10,748.7,0,none
295,young_professionals,Power,control,16.2,18,134.16,0,none
296,young_professionals,Casual,control,5.3,17,1298.59,0,none
297,young_professionals,Power,control,8.1,17,1343.03,1,premium_features
298,young_professionals,Growth,control,8.2,12,2217.95,0,none
299,young_professionals,Casual,control,2.2,14,863.73,0,none
300,young_professionals,Casual,control,6.2,13,383.85,0,none
301,young_professionals,Dormant,control,9.8,16,1435.21,0,none
302,young_professionals,Casual,control,7.1,31,800.47,0,none
303,young_professionals,Power,control,3.9,14,1575.41,0,none
304,young_professionals,Dormant,control,11.4,10,2154.13,0,none
305,young_professionals,Casual,control,6.6,14,1208.81,0,none
306,young_professionals,Growth,control,8.7,20,1539.09,0,none
307,young_professionals,Growth,control,7.3,28,1595.69,1,premium_features
308,young_professionals,Growth,control,7.3,11,1376.76,0,none
309,young_professionals,Growth,control,15.9,15,603.4,0,none
310,young_professionals,Growth,control,9.4,13,465.18,1,premium_features
311,young_professionals,Casual,control,9.2,16,544.26,0,none
312,young_professionals,Growth,control,10.0,15,1096.28,0,none
313,young_professionals,Power,control,10.9,12,355.85,1,premium_features
314,young_professionals,Power,control,6.9,11,1232.25,0,none
315,young_professionals,Growth,control,10.5,22,919.21,0,none
316,young_professionals,Casual,control,9.7,14,1670.81,0,none
317,young_professionals,Dormant,control,2.5,9,1663.12,0,none
318,young_professionals,Casual,control,14.0,20,1326.83,0,none
319,young_professionals,Power,control,12.3,12,1044.47,0,none
320,young_professionals,Growth,control,9.8,14,1226.53,0,none
321,young_professionals,Growth,control,8.9,10,885.74,0,none
322,young_professionals,Dormant,control,9.4,10,1707.78,0,none
323,young_professionals,Casual,control,8.7,22,1436.54,0,none
324,young_professionals,Power,control,5.6,19,1276.42,1,cashback
325,young_professionals,Power,control,5.1,21,1399.52,0,none
326,young_professionals,Casual,control,6.3,10,1980.7,0,none
327,young_professionals,Dormant,control,13.5,23,689.51,0,none
328,young_professionals,Growth,control,4.6,21,1488.62,1,premium_features
329,young_professionals,Casual,control,16.6,17,598.57,0,none
330,young_professionals,Dormant,control,8.6,13,1529.39,0,none
331,young_professionals,Power,control,5.4,12,86.21,0,none
332,young_professionals,Casual,control,8.2,13,1093.88,0,none
333,young_professionals,Casual,control,12.9,15,1462.59,1,premium_features
334,young_professionals,Casual,control,12.5,14,680.15,1,status
335,young_professionals,Casual,control,6.7,20,738.99,0,none
336,young_professionals,Dormant,control,5.0,17,553.46,0,none
337,young_professionals,Casual,control,5.7,18,1017.02,0,none
338,young_professionals,Casual,control,4.0,13,827.69,0,none
339,young_professionals,Power,control,8.8,18,0.0,0,none
340,young_professionals,Growth,control,10.2,14,1530.55,0,none
341,young_professionals,Power,control,9.5,11,1673.62,1,status
342,young_professionals,Casual,control,7.4,4,1578.76,1,premium_features
343,young_professionals,Dormant,control,4.4,11,9.51,0,none
344,young_professionals,Growth,control,13.0,10,1417.81,0,none
345,young_professionals,Growth,control,12.5,8,1884.89,0,none
346,young_professionals,Growth,control,13.2,8,750.0,1,premium_features
347,young_professionals,Power,control,5.8,12,1421.61,0,none
348,young_professionals,Casual,control,9.0,19,2021.27,0,none
349,young_professionals,Casual,control,10.3,12,2540.63,0,none
350,young_professionals,Casual,control,13.5,13,0.0,0,none
351,young_professionals,Dormant,control,14.3,10,658.73,0,none
352,young_professionals,Growth,control,8.9,18,2087.68,0,none
353,young_professionals,Growth,control,8.3,12,2101.22,0,none
354,young_professionals,Casual,control,11.2,19,1290.05,0,none
355,young_professionals,Growth,control,14.7,14,2719.14,1,premium_features
356,young_professionals,Casual,control,5.8,22,1056.94,0,none
357,young_professionals,Power,control,7.7,18,780.59,0,none
358,young_professionals,Casual,control,8.0,18,889.79,0,none
359,young_professionals,Dormant,control,3.2,17,1173.0,0,none
360,young_professionals,Growth,control,3.0,15,504.1,1,premium_features
361,young_professionals,Casual,control,11.1,17,1368.7,0,none
362,young_professionals,Casual,control,11.1,16,1374.44,0,none
363,young_professionals,Dormant,control,7.1,9,178.33,0,none
364,young_professionals,Dormant,control,13.9,16,1569.74,0,none
365,young_professionals,Casual,control,8.0,13,1260.56,0,none
366,young_professionals,Growth,control,6.9,15,286.68,0,none
367,young_professionals,Dormant,control,9.4,18,610.14,0,none
368,young_professionals,Power,control,8.5,20,617.03,1,status
369,young_professionals,Casual,control,7.6,19,958.1,0,none
370,young_professionals,Dormant,control,7.5,17,837.24,0,none
371,young_professionals,Power,control,4.5,19,486.67,0,none
372,young_professionals,Growth,control,7.4,16,1209.68,0,none
373,young_professionals,Growth,control,10.2,16,1327.03,0,none
374,young_professionals,Power,control,15.5,16,1178.51,1,cashback
375,young_professionals,Casual,control,12.1,13,1337.88,0,none
376,young_professionals,Dormant,control,6.5,13,1854.4,0,none
377,young_professionals,Casual,control,1.1,12,1531.85,0,none
378,young_professionals,Casual,control,10.7,16,2113.02,0,none
379,young_professionals,Casual,control,7.9,5,1329.72,0,none
380,young_professionals,Power,control,6.9,15,1070.85,0,none
381,young_professionals,Power,control,11.0,8,1157.99,0,none
382,young_professionals,Growth,control,7.0,14,1346.81,0,none
383,young_professionals,Casual,control,12.8,21,1568.66,0,none
384,young_professionals,Dormant,control,10.5,17,1172.67,1,premium_features
385,young_professionals,Casual,control,2.8,17,1135.06,0,none
386,young_professionals,Casual,control,10.4,12,1703.74,0,none
387,young_professionals,Dormant,control,10.3,12,635.08,0,none
388,young_professionals,Casual,control,2.5,12,1583.96,0,none
389,young_professionals,Dormant,control,8.7,15,621.73,0,none
390,young_professionals,Dormant,control,5.4,16,1796.61,0,none
391,young_professionals,Casual,control,10.1,14,1372.13,0,none
392,young_professionals,Power,control,7.0,19,1322.82,1,premium_features
393,young_professionals,Dormant,control,8.3,8,199.18,0,none
394,young_professionals,Growth,control,7.6,15,1195.46,0,none
395,young_professionals,Dormant,control,15.0,13,2122.41,0,none
396,young_professionals,Casual,control,8.4,18,709.92,0,none
397,young_professionals,Casual,control,5.4,14,1884.13,0,none
398,young_professionals,Growth,control,13.3,20,1553.18,0,none
399,young_professionals,Dormant,control,5.6,15,2184.21,0,none
400,young_professionals,Casual,control,17.6,12,1297.51,0,none
401,young_professionals,Growth,control,8.9,16,1469.89,0,none
402,young_professionals,Growth,control,7.7,10,1037.17,1,premium_features
403,young_professionals,Casual,control,14.2,12,1056.23,0,none
404,young_professionals,Casual,control,10.8,9,1939.72,0,none
405,young_professionals,Growth,control,6.5,11,146.11,1,premium_features
406,young_professionals,Casual,control,4.4,17,1287.38,0,none
407,young_professionals,Dormant,control,12.1,13,1911.69,0,none
408,young_professionals,Casual,control,10.4,13,1240.53,0,none
409,young_professionals,Power,control,12.7,9,1973.96,1,cashback
410,young_professionals,Casual,control,7.7,22,2304.75,1,cashback
411,young_professionals,Dormant,control,15.2,16,958.33,0,none
412,young_professionals,Casual,control,17.8,15,1588.54,1,premium_features
413,young_professionals,Growth,control,13.2,11,1099.93,0,none
414,young_professionals,Casual,control,10.4,12,481.45,0,none
415,young_professionals,Growth,control,11.7,15,783.57,0,none
416,young_professionals,Growth,control,12.0,14,1546.03,0,none
417,young_professionals,Casual,control,7.5,13,921.72,0,none
418,young_professionals,Growth,control,14.4,11,1839.59,1,status
419,young_professionals,Growth,control,8.8,14,2087.75,0,none
420,young_professionals,Dormant,control,7.1,14,856.29,0,none
421,young_professionals,Casual,control,11.1,9,1781.88,0,none
422,young_professionals,Casual,control,5.9,14,374.37,0,none
423,young_professionals,Growth,control,7.5,15,878.85,1,cashback
424,young_professionals,Growth,control,12.0,11,1605.59,1,premium_features
425,young_professionals,Power,control,15.6,16,2696.36,1,support
426,young_professionals,Growth,control,5.4,14,1532.6,1,support
427,young_professionals,Growth,control,8.4,26,1639.09,0,none
428,young_professionals,Casual,control,7.0,15,1785.59,1,premium_features
429,young_professionals,Dormant,control,9.9,17,318.82,0,none
430,young_professionals,Casual,control,20.0,17,1506.08,0,none
431,young_professionals,Dormant,control,11.1,15,555.83,0,none
432,young_professionals,Power,control,0.9,11,1383.35,0,none
433,young_professionals,Casual,control,13.1,20,1506.91,1,support
434,young_professionals,Casual,control,6.1,10,802.1,0,none
435,young_professionals,Power,control,12.5,12,1685.13,1,cashback
436,young_professionals,Growth,control,7.1,17,1885.55,0,none
437,young_professionals,Dormant,control,11.0,17,1199.33,0,none
438,young_professionals,Growth,control,16.0,16,588.14,1,cashback
439,young_professionals,Growth,control,4.4,13,1366.09,0,none
440,young_professionals,Casual,control,6.3,19,0.0,0,none
441,young_professionals,Power,control,7.6,16,1959.1,0,none
442,young_professionals,Growth,control,8.5,18,1453.48,0,none
443,young_professionals,Dormant,control,4.8,13,1003.13,0,none
444,young_professionals,Casual,control,5.3,13,1310.62,0,none
445,young_professionals,Casual,control,8.9,19,1217.0,0,none
446,young_professionals,Dormant,control,6.5,16,1816.83,0,none
447,young_professionals,Growth,control,6.9,18,729.44,0,none
448,young_professionals,Dormant,control,17.3,20,1082.63,0,none
449,young_professionals,Casual,control,7.4,10,1333.19,0,none
450,young_professionals,Growth,control,14.9,20,908.76,0,none
451,young_professionals,Growth,control,17.4,14,1949.41,0,none
452,young_professionals,Casual,control,3.4,21,15.79,0,none
453,young_professionals,Growth,control,11.7,9,947.31,0,none
454,young_professionals,Growth,control,7.0,14,1427.18,0,none
455,young_professionals,Dormant,control,1.6,25,1441.16,0,none
456,young_professionals,Growth,control,9.0,24,695.43,0,none
457,young_professionals,Casual,control,11.1,13,1854.95,0,none
458,young_professionals,Growth,control,8.7,17,1955.82,0,none
459,young_professionals,Growth,control,7.2,12,1491.18,0,none
460,young_professionals,Growth,control,14.1,11,657.88,1,cashback
461,young_professionals,Dormant,control,7.4,21,1010.53,0,none
462,young_professionals,Casual,control,17.9,13,1461.15,0,none
463,young_professionals,Power,control,12.1,17,1662.42,0,none
464,young_professionals,Growth,control,9.0,16,1828.82,1,premium_features
465,young_professionals,Power,control,7.1,21,502.96,0,none
466,young_professionals,Power,control,12.5,16,1762.43,1,premium_features
467,young_professionals,Casual,control,13.8,17,1554.79,0,none
468,young_professionals,Power,control,11.8,13,1226.79,0,none
469,young_professionals,Growth,control,4.3,11,1929.29,0,none
470,young_professionals,Dormant,control,10.0,12,1108.06,0,none
471,young_professionals,Casual,control,10.2,14,1527.67,1,support
472,young_professionals,Casual,control,10.5,21,1601.05,0,none
473,young_professionals,Power,control,6.8,9,1959.46,0,none
474,young_professionals,Casual,control,16.1,10,724.59,1,premium_features
475,young_professionals,Growth,control,10.3,17,1362.29,0,none
476,young_professionals,Growth,control,8.5,15,2803.06,0,none
477,young_professionals,Power,control,6.5,12,813.08,0,none
478,young_professionals,Casual,control,6.8,13,1838.53,0,none
