customer_id,usage_frequency,avg_transaction_value,days_since_last_activity,support_tickets,device_error_rate,age,is_premium,customer_tenure_months,channel,churned
87,0.6046,7.96,0,0,0.1042,60,0,24,website,0
88,0.2281,22.35,36,0,0.5988,65,0,13,app_store,1
89,0.3119,25.59,7,0,0.1189,63,0,13,referral,0
90,0.2735,41.33,24,0,0.0259,43,1,3,website,0
91,0.2111,10.77,47,1,0.2813,28,1,6,app_store,1
92,0.0688,31.12,8,1,0.1746,58,0,17,google_play,1
93,0.1078,36.55,47,1,0.5046,23,0,33,google_play,1
94,0.375,24.16,27,0,0.2053,24,0,9,google_play,0
95,0.8163,33.56,22,1,0.2292,65,0,35,app_store,0
96,0.1236,29.63,30,1,0.12,19,0,22,referral,0
97,0.1408,3.97,83,2,0.0295,37,0,9,google_play,0
98,0.3376,12.87,60,0,0.2664,48,1,22,app_store,0
99,0.3194,109.94,39,1,0.476,37,0,4,app_store,1
100,0.3748,38.83,18,0,0.1148,19,0,47,app_store,0
101,0.3334,16.1,72,0,0.0602,25,0,5,app_store,1
102,0.1674,31.71,49,0,0.1792,33,1,30,google_play,0
103,0.2864,40.35,45,1,0.0927,39,0,23,app_store,0
104,0.3568,72.15,78,1,0.0399,58,0,3,app_store,0
105,0.5582,18.68,21,1,0.0737,54,0,45,website,0
106,0.2407,16.16,85,1,0.1245,23,0,44,website,0
107,0.2521,17.32,14,2,0.5347,61,0,46,website,1
108,0.5636,16.45,62,0,0.0394,41,1,26,website,0
109,0.1293,16.06,15,0,0.1136,43,0,27,website,0
110,0.4683,27.97,5,0,0.3656,34,0,2,app_store,0
111,0.183,18.27,60,2,0.1364,18,0,33,app_store,1
112,0.3547,23.49,58,1,0.3648,44,0,26,google_play,1
113,0.3153,90.98,67,0,0.6254,52,1,30,website,0
114,0.1276,12.55,0,0,0.0559,45,0,29,google_play,0
115,0.192,31.06,15,0,0.5419,33,0,42,google_play,0
116,0.2841,11.08,34,1,0.2768,43,0,31,app_store,1
117,0.1144,46.94,88,1,0.1243,31,0,1,app_store,1
118,0.1495,53.69,84,1,0.0318,41,0,14,app_store,0
119,0.3459,13.36,82,0,0.338,27,1,29,website,1
120,0.261,15.07,64,2,0.0382,61,1,42,website,1
121,0.2449,39.12,21,1,0.2388,25,0,1,app_store,1
122,0.2823,20.24,68,1,0.3012,40,1,23,google_play,1
123,0.2173,66.16,28,1,0.5682,53,0,24,website,0
124,0.2585,10.58,32,0,0.2224,49,0,11,google_play,0
125,0.2472,52.14,87,0,0.3901,62,0,17,app_store,1
126,0.1359,117.48,24,0,0.361,43,0,46,app_store,1
127,0.5569,32.28,89,0,0.1709,53,0,4,app_store,0
128,0.6677,15.71,73,1,0.0728,69,0,25,website,1
129,0.0677,14.24,36,0,0.0571,66,1,6,google_play,0
130,0.3172,21.9,26,0,0.0779,30,0,38,app_store,0
131,0.5206,39.38,75,0,0.2372,65,0,21,website,1
132,0.3254,8.62,82,0,0.3636,57,0,46,app_store,1
133,0.4527,19.75,82,0,0.0614,19,0,20,app_store,0
134,0.2481,26.9,26,0,0.1353,20,0,41,app_store,1
135,0.0892,72.81,79,1,0.0187,32,0,43,app_store,0
136,0.0468,90.3,33,0,0.1485,40,0,5,google_play,1
137,0.3265,22.37,60,0,0.3652,39,0,27,referral,1
138,0.2339,11.29,54,0,0.4205,32,0,21,app_store,1
139,0.2933,27.06,37,0,0.2318,47,0,2,google_play,0
140,0.3258,27.75,31,0,0.1901,63,0,32,app_store,0
141,0.1251,56.28,45,1,0.485,58,0,17,google_play,1
142,0.2482,17.98,5,0,0.0676,49,1,37,google_play,0
143,0.4188,12.28,64,1,0.2089,28,0,32,website,0
144,0.5316,24.33,3,0,0.0634,39,0,34,app_store,0
145,0.285,19.34,23,1,0.3651,35,0,14,google_play,0
146,0.4947,18.98,55,0,0.0474,29,0,7,google_play,0
147,0.1708,13.36,63,0,0.4926,64,0,7,google_play,1
148,0.0977,10.19,69,1,0.1084,47,0,45,google_play,1
149,0.0516,37.61,47,1,0.1183,63,1,22,website,1
150,0.3281,29.51,50,3,0.5224,39,0,8,google_play,1
151,0.1719,13.98,52,0,0.1271,67,0,10,app_store,0
152,0.2327,43.55,78,0,0.2659,34,1,5,website,0
153,0.1299,6.75,75,0,0.0315,55,0,38,app_store,0
154,0.0978,18.44,40,2,0.0949,29,0,8,app_store,1
155,0.1186,28.52,84,2,0.1496,66,1,2,google_play,0
156,0.4443,53.28,23,1,0.3388,40,0,44,referral,0
157,0.1804,16.63,27,0,0.0598,19,0,46,app_store,0
158,0.3803,53.88,10,1,0.7073,34,0,33,website,1
159,0.067,15.55,68,0,0.4843,21,0,36,app_store,1
160,0.229,43.6,52,1,0.1486,61,0,46,google_play,0
161,0.1919,79.64,53,0,0.2856,48,0,16,google_play,0
162,0.035,12.18,70,0,0.0406,35,1,20,referral,0
163,0.1715,27.28,26,1,0.2398,18,0,39,app_store,0
164,0.0913,35.82,21,3,0.3374,36,0,24,referral,1
165,0.3667,10.27,58,0,0.229,19,0,37,google_play,1
166,0.4566,33.21,0,2,0.0623,18,0,39,app_store,0
167,0.6671,16.5,58,1,0.1585,40,0,41,app_store,0
168,0.1434,13.6,19,1,0.4055,65,0,18,google_play,0
169,0.0834,18.24,73,3,0.1553,30,0,3,website,1
170,0.4686,17.34,21,0,0.1234,42,1,18,website,0
171,0.2006,42.97,36,0,0.4387,60,0,9,referral,1
172,0.2498,24.52,60,1,0.1165,62,0,6,app_store,1
173,0.5048,123.66,73,0,0.0702,63,0,11,app_store,0
174,0.4374,16.86,76,0,0.222,56,0,10,google_play,0
175,0.2303,34.18,21,3,0.0959,68,0,10,referral,1
176,0.3965,22.08,77,3,0.3497,58,0,10,google_play,1
177,0.09,10.04,41,0,0.2162,66,1,46,google_play,1
178,0.0826,74.69,39,1,0.0795,53,0,18,website,0
179,0.1507,26.67,55,0,0.1768,39,1,20,app_store,0
180,0.3733,14.2,88,0,0.1927,55,0,26,google_play,0
181,0.4087,32.46,53,1,0.7468,22,0,34,app_store,1
182,0.2193,50.57,30,0,0.3922,45,0,31,google_play,0
183,0.0379,13.54,4,1,0.2569,36,0,33,app_store,1
184,0.4408,25.41,78,0,0.5601,38,0,25,website,0
185,0.2798,50.82,31,0,0.3469,39,0,7,website,1
186,0.2384,27.54,73,1,0.2967,59,0,19,app_store,1
187,0.0437,36.16,28,1,0.1273,35,0,41,website,0
188,0.12,20.39,9,0,0.2334,55,0,8,app_store,1
189,0.5723,8.16,87,0,0.1988,67,0,18,google_play,0
190,0.3753,20.57,7,0,0.1535,67,1,9,google_play,0
191,0.6382,16.57,87,0,0.1809,33,0,3,referral,0
192,0.2497,22.73,18,0,0.053,54,0,27,google_play,0
193,0.341,16.7,32,0,0.2215,60,0,23,referral,0
194,0.4242,27.64,14,1,0.0404,19,0,12,app_store,0
195,0.4904,19.25,70,0,0.1692,69,0,20,website,1
196,0.3856,43.22,5,2,0.2449,42,0,23,website,1
197,0.277,37.75,49,0,0.1548,68,0,27,google_play,0
198,0.5272,12.84,87,2,0.103,24,0,19,referral,0
199,0.39,59.12,35,2,0.0906,29,0,4,referral,1
200,0.1302,14.79,17,1,0.2559,22,1,44,website,0
201,0.0351,11.17,70,1,0.2099,60,0,46,google_play,1
202,0.5236,51.35,55,0,0.1569,54,1,12,google_play,0
203,0.2112,16.21,85,1,0.0879,62,0,10,app_store,0
204,0.2724,26.27,39,1,0.0601,21,0,20,app_store,0
205,0.2133,9.96,32,0,0.1508,23,0,43,google_play,0
206,0.2029,18.99,29,1,0.0387,68,1,24,website,0
207,0.3558,22.63,15,0,0.0753,47,0,4,app_store,0
208,0.2528,18.64,49,1,0.1224,50,0,23,referral,1
209,0.1793,17.12,85,0,0.038,49,0,30,google_play,0
210,0.4591,25.25,59,0,0.2513,20,1,33,app_store,0
211,0.179,49.06,63,2,0.0735,64,0,20,referral,1
212,0.3457,12.69,65,4,0.3877,36,0,11,google_play,1
213,0.5077,4.18,19,1,0.0487,28,1,9,website,0
214,0.753,58.42,70,2,0.1019,29,0,17,website,0
215,0.1522,15.47,0,0,0.1087,54,0,7,google_play,0
216,0.2743,16.43,40,0,0.0388,37,0,31,app_store,1
217,0.1324,16.75,59,0,0.2048,21,0,24,google_play,1
218,0.2839,9.68,14,0,0.137,69,1,36,website,0
219,0.1615,18.61,56,1,0.063,48,0,43,app_store,1
220,0.6272,20.17,6,0,0.4569,28,1,17,referral,0
221,0.2707,33.27,20,0,0.0996,37,0,32,referral,0
222,0.4266,16.72,68,0,0.4741,25,0,2,referral,1
223,0.0723,4.44,57,0,0.109,55,0,16,website,1
224,0.1735,9.62,85,3,0.2597,29,0,35,google_play,1
225,0.2787,53.56,13,1,0.3317,56,1,23,website,1
226,0.2984,13.62,75,0,0.2806,48,0,33,app_store,1
227,0.3009,35.95,36,0,0.4033,60,0,32,app_store,0
228,0.2241,14.89,70,0,0.4699,43,0,33,website,1
229,0.1274,43.34,28,0,0.8277,29,0,20,website,1
230,0.2791,26.29,69,1,0.1246,38,0,7,app_store,1
231,0.5065,8.88,77,0,0.5704,46,1,47,app_store,0
232,0.2972,10.81,65,0,0.1381,27,0,46,app_store,1
233,0.2584,8.65,26,1,0.1768,31,0,46,google_play,0
234,0.1793,46.47,76,0,0.1413,56,0,43,referral,0
235,0.4471,10.16,25,2,0.2906,19,0,47,app_store,1
236,0.3837,18.94,10,0,0.3736,26,0,46,app_store,0
237,0.3094,23.19,67,0,0.3342,38,0,33,app_store,1
238,0.2784,28.66,19,1,0.3381,69,0,43,app_store,0
239,0.047,17.77,1,1,0.5309,63,0,45,app_store,0
240,0.1968,8.14,7,0,0.2228,51,0,44,google_play,1
241,0.1546,10.54,64,0,0.2417,56,1,45,google_play,1
242,0.1288,11.75,3,0,0.007,51,0,16,referral,0
243,0.1632,3.84,4,0,0.0589,43,0,3,referral,1
244,0.2045,33.19,89,2,0.5275,54,0,44,referral,1
245,0.0834,34.95,5,0,0.2049,67,1,41,google_play,1
246,0.0689,11.59,62,2,0.1239,49,0,17,google_play,1
247,0.264,61.14,44,0,0.1474,69,0,37,website,0
248,0.0965,22.77,30,1,0.409,34,0,34,app_store,0
249,0.2397,44.4,86,1,0.1366,23,0,7,website,0
250,0.1898,42.23,30,1,0.0992,49,0,22,app_store,1
251,0.2886,22.33,14,1,0.2198,61,0,36,website,0
252,0.2025,5.93,35,1,0.2151,41,0,16,app_store,0
253,0.2928,28.2,27,1,0.6059,41,0,40,app_store,0
254,0.1256,35.46,69,0,0.0223,40,0,13,app_store,0
255,0.1195,15.54,61,0,0.09,67,0,2,google_play,1
256,0.1891,27.46,8,2,0.3265,53,1,16,google_play,0
257,0.623,24.05,80,2,0.0353,51,1,29,referral,0
258,0.1768,12.59,78,1,0.0599,24,0,30,google_play,0
259,0.2333,22.88,44,0,0.0192,23,0,20,website,0
260,0.3317,17.18,35,0,0.1946,23,0,21,google_play,0
261,0.101,31.9,44,1,0.0432,46,0,27,app_store,1
262,0.1935,16.23,46,1,0.3535,55,0,39,website,1
263,0.2242,14.91,28,1,0.2249,48,1,29,google_play,0
264,0.443,7.8,39,0,0.1652,59,1,4,website,0
265,0.2749,114.95,33,0,0.4707,57,1,30,website,1
266,0.2825,17.87,88,0,0.0704,34,0,12,app_store,1
267,0.2625,11.12,12,0,0.3583,61,0,14,google_play,0
268,0.5036,37.43,5,0,0.1489,36,1,39,website,0
269,0.3192,27.96,10,0,0.0963,59,1,7,website,0
270,0.5335,36.01,13,0,0.0468,18,0,42,google_play,0
271,0.2611,38.78,66,0,0.2161,21,0,14,website,1
272,0.4461,52.88,31,0,0.3566,68,0,29,google_play,1
273,0.4323,11.64,43,1,0.2934,59,0,23,google_play,0
274,0.4627,27.18,74,0,0.5125,19,0,22,app_store,0
275,0.2137,8.12,69,0,0.1743,45,0,14,google_play,0
276,0.3854,19.79,82,0,0.1532,32,0,12,google_play,0
277,0.2769,39.23,58,0,0.1387,34,0,28,google_play,0
278,0.1106,13.11,69,0,0.1163,42,0,46,app_store,0
279,0.2434,116.93,0,0,0.2436,46,0,17,website,0
280,0.3107,24.84,28,0,0.3428,56,0,32,app_store,0
281,0.1284,6.91,45,1,0.3109,33,0,29,website,1
282,0.2516,40.19,82,0,0.1527,67,0,5,app_store,0
283,0.5166,116.06,49,0,0.305,67,0,8,referral,1
284,0.1394,5.13,64,2,0.0809,48,0,33,google_play,0
285,0.4538,40.45,12,0,0.5925,54,0,20,google_play,1
286,0.575,12.27,69,1,0.3706,56,0,13,google_play,1
287,0.1435,23.62,86,1,0.2004,39,0,32,google_play,1
288,0.1436,9.81,31,2,0.1502,60,0,4,website,1
289,0.4771,44.59,71,0,0.1993,31,0,22,app_store,0
290,0.1737,19.63,18,0,0.0997,64,0,13,website,0
291,0.0976,55.27,80,0,0.0955,47,0,16,app_store,0
292,0.111,11.93,62,0,0.0973,24,0,14,website,0
293,0.5719,21.23,53,0,0.0363,35,0,26,app_store,0
294,0.0715,4.86,53,1,0.0136,61,1,42,google_play,0
295,0.0632,151.17,74,1,0.0527,29,0,1,app_store,0
296,0.2508,94.04,23,1,0.749,19,0,29,website,1
297,0.5351,112.79,16,1,0.064,26,0,5,app_store,0
298,0.3333,71.75,54,0,0.2456,35,0,19,google_play,0
299,0.3397,16.22,76,0,0.3212,21,0,33,referral,1
300,0.6597,23.79,82,0,0.0248,50,1,30,google_play,0
301,0.1476,30.08,82,2,0.0313,50,1,12,google_play,1
302,0.3142,31.88,14,2,0.077,27,1,39,website,0
303,0.126,11.39,1,0,0.2161,19,0,21,website,0
304,0.2526,11.0,18,0,0.3309,19,0,23,app_store,0
305,0.2555,9.62,57,0,0.194,61,0,20,app_store,0
306,0.3337,18.2,36,0,0.3636,39,0,18,app_store,0
307,0.3294,19.61,8,0,0.2758,21,1,41,google_play,0
308,0.1462,17.87,35,2,0.0475,39,0,39,app_store,1
309,0.1094,29.25,58,2,0.0073,57,0,3,app_store,1
310,0.1224,9.32,4,0,0.095,47,0,38,google_play,0
311,0.6189,13.49,80,0,0.3161,53,0,21,app_store,1
312,0.1819,14.41,36,0,0.1707,28,0,31,website,1
313,0.1101,43.52,16,0,0.1839,49,0,8,website,1
314,0.4564,28.17,35,0,0.0165,46,0,20,google_play,1
315,0.1761,31.09,44,3,0.5326,28,0,42,google_play,1
316,0.1864,12.76,70,3,0.4951,68,0,28,app_store,1
317,0.2069,25.24,8,0,0.4156,23,0,47,app_store,0
318,0.306,14.27,42,0,0.3063,27,1,9,google_play,1
319,0.4393,14.61,58,0,0.0599,18,0,33,app_store,0
320,0.157,31.78,72,0,0.0726,36,0,30,google_play,1
321,0.505,15.6,10,0,0.1959,69,0,31,referral,0
322,0.3583,22.79,10,1,0.0207,54,0,3,website,0
323,0.1967,20.31,87,0,0.0632,68,0,36,referral,0
324,0.4512,10.78,83,0,0.1709,47,0,41,app_store,0
325,0.4715,16.37,28,0,0.3424,36,0,21,google_play,0
326,0.3262,16.56,43,0,0.1156,30,0,28,website,0
327,0.7214,18.78,16,0,0.4367,28,0,38,google_play,0
328,0.4912,6.94,71,0,0.4796,53,0,21,app_store,1
329,0.3442,14.72,85,1,0.0058,35,0,31,google_play,0
330,0.4913,46.45,46,0,0.5003,25,0,45,referral,0
331,0.5115,33.32,57,0,0.1521,65,0,47,website,0
332,0.0476,18.55,60,2,0.0642,32,0,45,app_store,1
333,0.0503,10.74,43,1,0.1746,55,0,8,app_store,1
334,0.1065,26.32,38,1,0.248,49,0,11,app_store,0
335,0.4642,48.3,67,1,0.2577,61,0,10,website,0
336,0.1991,70.95,28,0,0.7535,46,0,43,app_store,0
337,0.0845,17.0,77,1,0.1472,24,0,14,google_play,1
338,0.1669,11.68,36,1,0.2268,23,0,17,referral,1
339,0.3139,34.37,72,0,0.0986,46,0,42,website,0
340,0.3907,31.54,41,0,0.1381,34,0,15,google_play,1
341,0.1639,24.71,32,1,0.2991,26,1,16,app_store,0
342,0.3552,15.73,10,1,0.0491,23,0,11,app_store,0
343,0.3638,9.81,35,0,0.0848,63,0,4,google_play,0
344,0.6002,39.34,62,1,0.5138,40,0,4,referral,1
345,0.3014,45.95,47,2,0.1761,42,0,26,google_play,1
346,0.8442,19.07,54,0,0.0922,18,0,43,google_play,0
347,0.2309,81.24,52,2,0.0476,20,0,26,google_play,0
348,0.1736,28.94,40,0,0.213,57,1,25,app_store,0
349,0.4337,21.7,27,0,0.2061,25,1,30,app_store,1
350,0.5582,10.72,15,0,0.2086,66,1,45,google_play,0
351,0.0968,7.46,12,0,0.1095,42,1,4,app_store,0
352,0.149,17.14,65,0,0.056,39,1,5,google_play,0
353,0.3118,31.76,39,2,0.1929,34,0,17,google_play,0
354,0.4505,125.65,6,0,0.1735,62,0,24,app_store,0
355,0.0994,25.72,73,2,0.1082,54,0,5,google_play,1
356,0.2871,37.14,33,0,0.3335,37,0,19,google_play,0
357,0.587,13.75,24,4,0.1651,68,0,36,app_store,1
358,0.3282,28.39,42,1,0.2316,61,0,10,google_play,1
359,0.2729,25.91,33,1,0.4979,57,0,11,app_store,0
360,0.6752,12.66,36,0,0.0624,53,1,17,google_play,0
361,0.3942,62.6,24,0,0.421,49,1,29,website,0
362,0.4469,22.34,3,1,0.0422,43,0,23,app_store,0
363,0.5621,53.18,54,1,0.0863,48,0,11,google_play,1
364,0.3847,24.7,66,0,0.1159,28,0,44,app_store,0
365,0.2385,19.45,85,1,0.2706,51,0,4,google_play,1
366,0.3991,14.2,13,1,0.1376,23,0,23,app_store,0
367,0.3292,19.2,16,0,0.1891,20,0,13,website,1
368,0.2023,68.39,38,0,0.3054,28,0,16,app_store,0
369,0.7354,13.08,70,1,0.1783,23,0,1,app_store,0
370,0.4027,39.11,56,2,0.0289,25,0,36,website,0
371,0.4539,19.73,59,0,0.1607,53,0,27,website,0
372,0.4051,37.06,48,0,0.0341,43,1,3,website,0
373,0.0813,28.36,88,1,0.4701,40,1,45,referral,1
374,0.3764,9.65,35,0,0.1622,64,1,14,app_store,0
375,0.19,27.55,8,0,0.1128,56,0,19,referral,0
376,0.1398,111.72,42,0,0.0509,29,0,20,website,0
377,0.2677,30.42,81,1,0.0306,40,0,26,website,1
378,0.2453,46.94,49,0,0.0981,22,0,29,app_store,0
379,0.6161,30.21,72,1,0.1914,56,1,6,website,1
380,0.194,42.6,62,0,0.041,20,0,14,website,0
381,0.1623,14.84,81,0,0.2453,54,0,17,website,1
382,0.1919,22.53,54,2,0.1611,37,0,46,app_store,1
383,0.449,45.42,67,1,0.2196,35,0,24,google_play,0
384,0.0749,19.2,55,1,0.1068,63,1,5,website,1
385,0.4033,51.96,25,0,0.0473,57,0,34,app_store,0
386,0.3054,12.15,3,1,0.7854,20,0,36,website,1
387,0.4056,25.56,37,0,0.0561,59,0,36,app_store,0
388,0.2648,20.47,84,0,0.0674,39,0,35,google_play,0
389,0.3974,155.52,9,0,0.1124,66,0,14,google_play,0
390,0.4161,18.67,21,0,0.0798,64,0,39,website,0
391,0.1624,32.92,0,1,0.0479,22,0,3,referral,0
392,0.0753,6.09,37,0,0.0134,39,0,37,google_play,0
393,0.4038,10.83,85,1,0.3113,26,0,47,google_play,1
394,0.3825,30.39,38,1,0.0532,23,0,10,google_play,1
395,0.3087,20.39,74,0,0.2045,64,0,11,website,1
396,0.0446,20.67,53,1,0.1511,22,0,45,website,0
397,0.3387,19.54,7,0,0.0779,55,1,45,website,0
398,0.1349,21.55,26,0,0.2453,26,1,43,app_store,0
399,0.4231,7.4,40,1,0.1143,68,0,30,app_store,1
400,0.6185,23.09,28,0,0.0968,58,0,17,website,0
401,0.446,21.04,25,0,0.3573,18,0,45,google_play,0
402,0.2273,51.76,54,0,0.1756,23,0,44,website,0
403,0.2304,44.02,26,0,0.2714,33,0,34,website,0
404,0.076,3.39,77,0,0.1041,58,0,12,website,1
405,0.1833,14.67,80,0,0.3952,22,0,33,app_store,0
406,0.2852,86.61,1,0,0.4693,27,0,27,google_play,0
407,0.5296,46.25,89,0,0.0443,69,0,23,website,0
408,0.1814,34.59,50,3,0.027,23,0,19,app_store,1
409,0.4351,17.25,37,0,0.5444,64,0,20,google_play,0
410,0.3913,41.18,49,1,0.1935,41,0,38,referral,0
411,0.0806,8.49,73,0,0.0473,21,0,6,app_store,1
412,0.2835,16.51,11,0,0.3089,60,0,27,website,0
413,0.3707,31.23,14,0,0.0372,46,0,7,app_store,0
414,0.255,37.54,3,0,0.1173,32,0,7,referral,0
415,0.6127,28.54,69,1,0.0484,21,0,46,referral,0
416,0.419,32.31,71,0,0.1293,27,0,20,google_play,0
417,0.3149,27.52,4,0,0.0786,52,0,14,app_store,0
418,0.3059,19.67,74,0,0.882,49,0,47,google_play,1
419,0.5022,62.71,30,1,0.1849,28,0,20,website,0
420,0.0962,89.65,3,0,0.0892,66,1,14,google_play,1
421,0.2123,23.68,51,1,0.3986,27,1,29,app_store,1
422,0.2926,10.78,60,0,0.0745,58,1,32,website,0
423,0.29,20.81,5,1,0.1782,50,0,11,app_store,0
424,0.1592,26.07,22,3,0.2123,67,0,27,app_store,0
425,0.3456,5.22,10,1,0.4509,46,0,29,app_store,0
426,0.0104,62.61,21,0,0.1117,54,0,1,website,1
427,0.3191,15.69,28,0,0.1011,29,0,21,google_play,1
428,0.0257,13.75,82,0,0.1434,33,1,6,website,0
429,0.3367,19.34,42,1,0.202,34,0,29,google_play,0
430,0.1718,17.62,55,0,0.2995,41,0,10,app_store,1
431,0.5337,25.53,19,1,0.1767,38,0,8,website,0
432,0.1843,42.64,54,0,0.0887,30,0,26,website,0
433,0.4259,59.91,28,1,0.0703,29,1,37,referral,0
434,0.4244,42.66,39,0,0.0194,22,0,22,google_play,0
435,0.1736,12.68,15,0,0.2314,22,0,33,referral,0
436,0.1314,22.73,57,0,0.0571,29,0,43,app_store,0
437,0.2345,26.4,9,0,0.4518,20,0,21,google_play,1
438,0.2179,30.42,37,1,0.288,55,0,4,website,0
439,0.1857,34.55,37,0,0.3899,65,0,8,app_store,1
440,0.3562,25.91,33,1,0.3739,39,0,15,app_store,0
441,0.128,23.09,19,0,0.0466,64,1,43,google_play,0
442,0.1795,46.41,10,1,0.2735,63,1,36,referral,0
443,0.2118,22.35,58,0,0.1543,46,0,37,referral,0
