campaign_id,channel,start_date,end_date,spend_eur,impressions,clicks,installs,kyc_completions,first_tx_count
180,organic_search,2024-08-30 16:14:43.616812168,2024-09-08 16:14:43.616812168,0.0,47362,3101,542,248,182
133,email,2024-08-31 06:58:58.227278399,2024-09-29 06:58:58.227278399,1078.64,88605,8453,871,304,168
111,paid_social,2024-09-05 02:51:32.393013704,2024-09-29 02:51:32.393013704,13706.6,27827,716,69,13,4
46,email,2024-09-05 19:30:50.088468242,2024-09-23 19:30:50.088468242,1665.4,63877,6212,742,227,110
149,email,2024-09-05 20:08:08.942225853,2024-09-16 20:08:08.942225853,3397.8,58298,6948,705,320,116
114,organic_search,2024-09-07 20:43:51.574537145,2024-09-18 20:43:51.574537145,0.0,120473,12258,1956,908,449
123,app_store,2024-09-07 22:36:50.057435430,2024-10-01 22:36:50.057435430,9166.22,89504,4892,805,229,112
141,paid_social,2024-09-14 04:36:08.864863683,2024-09-23 04:36:08.864863683,11982.62,91006,2554,250,80,39
40,paid_social,2024-09-14 07:11:20.745085827,2024-10-14 07:11:20.745085827,12191.49,148262,5202,489,154,52
18,paid_social,2024-09-15 20:33:21.666635023,2024-09-29 20:33:21.666635023,7676.6,44721,1165,102,28,13
44,organic_search,2024-09-19 23:38:48.896429654,2024-09-28 23:38:48.896429654,0.0,31725,2360,537,249,188
23,paid_social,2024-09-22 23:59:43.196083241,2024-10-07 23:59:43.196083241,12868.41,143898,5287,345,76,35
212,organic_search,2024-09-23 03:14:48.830729452,2024-10-18 03:14:48.830729452,0.0,81141,5829,1295,707,316
171,referral,2024-09-23 04:10:16.685531762,2024-10-04 04:10:16.685531762,1232.2,42260,5279,1975,1110,835
219,email,2024-09-23 13:07:53.995576926,2024-10-05 13:07:53.995576926,1596.41,45898,4938,442,167,79
170,referral,2024-09-25 07:44:49.146026959,2024-10-22 07:44:49.146026959,3159.43,85956,10412,3941,2788,1642
138,paid_social,2024-10-01 01:32:49.777786181,2024-10-08 01:32:49.777786181,6482.26,35013,1074,102,19,7
96,email,2024-10-03 18:33:31.147510360,2024-10-29 18:33:31.147510360,1187.78,58062,4122,534,196,76
147,app_store,2024-10-05 12:34:15.278607649,2024-10-17 12:34:15.278607649,7678.95,40524,1807,248,72,36
231,app_store,2024-10-05 19:31:26.898293389,2024-10-14 19:31:26.898293389,5202.54,42927,1761,332,94,64
101,paid_social,2024-10-06 18:51:57.785330589,2024-10-25 18:51:57.785330589,26659.91,29814,878,80,24,8
218,app_store,2024-10-08 02:59:31.299346075,2024-10-25 02:59:31.299346075,4121.05,59590,2857,497,226,89
65,organic_search,2024-10-08 03:32:50.388505356,2024-10-18 03:32:50.388505356,0.0,45746,2659,446,175,104
247,paid_social,2024-10-11 04:37:41.853464837,2024-11-07 04:37:41.853464837,19527.89,47185,1323,86,23,7
91,referral,2024-10-12 04:48:38.205788037,2024-10-20 04:48:38.205788037,2071.49,22653,2914,738,422,311
4,app_store,2024-10-12 19:55:38.332835495,2024-10-30 19:55:38.332835495,5716.63,36508,2011,290,139,85
13,app_store,2024-10-19 21:28:58.705632727,2024-11-13 21:28:58.705632727,9518.25,69053,2783,506,233,145
39,email,2024-10-19 22:01:30.751642007,2024-11-07 22:01:30.751642007,2734.88,53402,5706,431,171,64
103,referral,2024-10-21 00:14:03.018677844,2024-11-14 00:14:03.018677844,3128.08,48944,7562,2101,1307,1127
63,referral,2024-10-23 13:31:34.773372045,2024-11-22 13:31:34.773372045,1721.72,89410,8578,3092,2199,1590
198,paid_social,2024-10-24 14:12:32.678652790,2024-11-09 14:12:32.678652790,23591.14,14667,368,21,6,2
145,referral,2024-10-25 07:52:08.148120421,2024-11-10 07:52:08.148120421,1321.79,74549,7185,2660,1436,990
130,app_store,2024-10-28 22:24:07.627921205,2024-11-19 22:24:07.627921205,12582.86,40675,1432,193,90,59
142,organic_search,2024-10-29 23:56:03.335063645,2024-11-16 23:56:03.335063645,0.0,51391,4690,975,452,324
176,email,2024-11-02 22:13:55.705005465,2024-11-26 22:13:55.705005465,2246.03,241703,23720,2936,1012,372
220,paid_social,2024-11-04 09:53:30.682723151,2024-11-16 09:53:30.682723151,14996.62,61317,2225,231,48,16
76,referral,2024-11-06 12:36:22.674974250,2024-11-15 12:36:22.674974250,1257.6,61038,7388,2452,967,636
112,app_store,2024-11-12 09:38:45.647524512,2024-12-10 09:38:45.647524512,12710.71,141744,7218,919,311,136
30,app_store,2024-11-13 19:35:09.354970538,2024-11-26 19:35:09.354970538,5158.92,180258,6878,763,322,139
126,email,2024-11-17 19:09:58.884739597,2024-12-01 19:09:58.884739597,3038.49,122098,11474,1275,318,149
139,email,2024-11-19 02:00:29.408503556,2024-11-29 02:00:29.408503556,2030.01,56767,6529,639,205,85
221,organic_search,2024-11-22 01:17:01.538035661,2024-12-20 01:17:01.538035661,0.0,45375,4704,1217,556,361
248,email,2024-11-22 09:13:43.793565263,2024-12-11 09:13:43.793565263,2604.3,189068,18526,1698,720,375
52,organic_search,2024-11-26 09:01:08.750394148,2024-12-05 09:01:08.750394148,0.0,168124,14350,2102,1011,440
78,app_store,2024-11-28 14:29:56.643110306,2024-12-18 14:29:56.643110306,5124.77,84773,3836,650,307,219
239,referral,2024-12-05 01:16:52.306127302,2024-12-27 01:16:52.306127302,1447.76,46245,5264,1599,763,384
196,app_store,2024-12-06 14:34:46.247325853,2024-12-17 14:34:46.247325853,7332.88,47558,2044,265,90,38
47,app_store,2024-12-13 10:56:56.588105938,2025-01-03 10:56:56.588105938,9866.22,70669,2707,527,258,123
213,paid_social,2024-12-16 14:24:58.369741214,2024-12-28 14:24:58.369741214,21438.59,37620,1406,98,25,8
31,paid_social,2024-12-18 01:31:17.873217937,2024-12-30 01:31:17.873217937,13598.22,95454,2288,159,31,9
184,paid_social,2024-12-19 23:42:45.888524550,2024-12-30 23:42:45.888524550,15413.06,83189,2200,162,34,15
58,email,2024-12-21 06:50:54.689243331,2025-01-02 06:50:54.689243331,3060.84,30177,3245,297,104,59
20,paid_social,2024-12-21 19:00:38.586255667,2025-01-01 19:00:38.586255667,17497.02,54503,1395,140,27,7
104,app_store,2024-12-22 21:13:49.764226108,2025-01-06 21:13:49.764226108,11245.36,39169,2078,393,154,69
83,organic_search,2024-12-24 17:25:09.659864231,2025-01-21 17:25:09.659864231,0.0,73836,7233,1258,586,413
150,app_store,2024-12-25 12:24:54.251524045,2025-01-12 12:24:54.251524045,10006.73,84095,3373,651,260,142
82,organic_search,2024-12-26 06:54:27.330319209,2025-01-23 06:54:27.330319209,0.0,43755,4009,845,415,219
38,app_store,2024-12-27 22:36:23.645598004,2025-01-14 22:36:23.645598004,16070.98,77916,4607,704,304,145
128,email,2024-12-31 02:13:52.978949595,2025-01-26 02:13:52.978949595,1612.98,82913,9999,1286,516,298
81,email,2025-01-05 02:58:56.874746625,2025-01-23 02:58:56.874746625,1757.04,21694,2497,255,77,47
229,referral,2025-01-10 00:17:55.375326643,2025-01-31 00:17:55.375326643,1249.5,63631,7357,2397,1405,1146
37,app_store,2025-01-17 18:47:36.600413303,2025-02-02 18:47:36.600413303,7014.86,57711,3207,422,214,147
67,referral,2025-01-17 21:38:00.523081386,2025-01-26 21:38:00.523081386,1990.14,89107,12902,3830,2446,2073
160,app_store,2025-01-19 18:02:03.861334844,2025-01-29 18:02:03.861334844,4990.03,97026,5834,761,268,180
1,app_store,2025-01-20 04:44:08.212944868,2025-02-16 04:44:08.212944868,10919.59,62293,3717,538,179,101
240,email,2025-01-21 19:08:21.026071262,2025-02-04 19:08:21.026071262,937.89,68211,5790,563,184,109
192,paid_social,2025-01-24 07:38:18.683056420,2025-02-17 07:38:18.683056420,9052.98,60940,1906,197,35,11
151,paid_social,2025-01-25 15:23:31.253020411,2025-02-23 15:23:31.253020411,17096.16,37215,867,61,12,3
87,organic_search,2025-01-27 17:00:05.685564723,2025-02-08 17:00:05.685564723,0.0,112364,10058,1657,657,369
169,app_store,2025-01-31 13:05:52.734601109,2025-02-20 13:05:52.734601109,13183.22,31196,1821,264,132,77
105,app_store,2025-02-01 23:17:42.126232905,2025-02-22 23:17:42.126232905,8044.88,73273,4069,551,280,130
166,email,2025-02-03 16:24:44.571494096,2025-03-01 16:24:44.571494096,2885.42,21164,1875,152,46,29
26,paid_social,2025-02-03 20:56:54.258668232,2025-03-05 20:56:54.258668232,22402.07,82691,3158,220,69,19
188,app_store,2025-02-06 02:39:13.717768749,2025-03-02 02:39:13.717768749,13804.32,51948,2355,365,128,56
197,paid_social,2025-02-06 07:43:57.508902393,2025-03-04 07:43:57.508902393,48122.41,20615,581,33,6,2
79,organic_search,2025-02-09 13:15:09.148603040,2025-03-09 13:15:09.148603040,0.0,54984,4596,1193,601,381
215,app_store,2025-02-10 03:37:48.203995575,2025-03-03 03:37:48.203995575,4917.27,99237,4786,822,276,181
203,referral,2025-02-11 23:33:17.542213554,2025-03-07 23:33:17.542213554,1501.2,70910,9978,2782,1970,1696
94,organic_search,2025-02-12 21:16:16.267857729,2025-03-06 21:16:16.267857729,0.0,87740,5039,914,292,140
57,referral,2025-02-15 06:47:50.570703700,2025-03-08 06:47:50.570703700,3255.54,116261,14557,4539,2799,2133
56,app_store,2025-02-20 11:46:59.038813614,2025-03-17 11:46:59.038813614,7917.67,72283,3416,425,179,87
174,email,2025-02-24 05:57:36.684117270,2025-03-22 05:57:36.684117270,2598.7,93648,11818,960,256,127
8,referral,2025-02-25 07:42:25.571462509,2025-03-27 07:42:25.571462509,1389.5,27849,2808,619,295,180
118,paid_social,2025-02-26 00:26:21.327391466,2025-03-11 00:26:21.327391466,14787.85,26400,687,40,9,2
84,paid_social,2025-02-26 05:39:21.862437497,2025-03-25 05:39:21.862437497,24747.89,43791,1561,155,45,14
0,paid_social,2025-02-26 12:07:45.262628374,2025-03-15 12:07:45.262628374,21851.64,18571,716,66,19,5
208,app_store,2025-03-04 08:14:52.926923564,2025-03-12 08:14:52.926923564,12054.16,54264,3220,439,183,78
153,app_store,2025-03-05 04:09:48.853571310,2025-03-20 04:09:48.853571310,14675.19,37117,2032,314,112,55
186,paid_social,2025-03-10 14:10:10.759416764,2025-04-04 14:10:10.759416764,14011.73,16633,497,37,9,3
162,referral,2025-03-11 00:38:09.950534399,2025-04-10 00:38:09.950534399,794.46,55587,5423,1474,614,545
36,paid_social,2025-03-11 14:44:14.122629314,2025-04-05 14:44:14.122629314,16097.36,71510,1681,132,31,10
28,paid_social,2025-03-14 03:00:10.165158702,2025-04-05 03:00:10.165158702,17018.35,123440,4435,417,87,35
7,email,2025-03-16 03:51:26.291500122,2025-04-07 03:51:26.291500122,1020.2,48975,5293,546,197,86
234,paid_social,2025-03-16 21:54:28.970381332,2025-04-09 21:54:28.970381332,9310.03,42198,1443,106,21,6
17,email,2025-03-17 11:19:57.369723804,2025-04-16 11:19:57.369723804,2226.06,36762,3721,358,89,53
237,referral,2025-03-18 11:13:10.151058584,2025-03-31 11:13:10.151058584,1534.23,69370,7500,2716,1511,1275
45,paid_social,2025-03-20 16:40:06.626517435,2025-04-18 16:40:06.626517435,15068.71,132903,4508,458,88,42
194,app_store,2025-03-20 17:17:36.124249485,2025-04-13 17:17:36.124249485,7462.62,38648,2492,354,133,91
129,paid_social,2025-03-21 08:57:05.623751577,2025-04-02 08:57:05.623751577,8646.23,144814,4721,329,70,29
107,referral,2025-03-21 20:34:26.788696475,2025-04-18 20:34:26.788696475,2004.07,62180,7441,1710,800,491
42,paid_social,2025-03-27 16:47:56.728492961,2025-04-08 16:47:56.728492961,11841.48,85352,1972,118,32,12
66,email,2025-03-28 07:44:59.144596681,2025-04-04 07:44:59.144596681,1018.73,36470,3948,430,165,95
205,email,2025-03-29 14:11:52.758605160,2025-04-13 14:11:52.758605160,1548.59,87915,10717,770,252,159
185,paid_social,2025-03-30 20:47:59.020366018,2025-04-12 20:47:59.020366018,13223.3,18756,731,62,19,9
24,paid_social,2025-04-01 09:44:53.091359543,2025-04-18 09:44:53.091359543,17168.56,139314,3256,288,55,22
245,organic_search,2025-04-03 05:26:54.596893104,2025-04-17 05:26:54.596893104,0.0,40288,3075,773,348,267
246,organic_search,2025-04-03 11:46:44.373310256,2025-04-27 11:46:44.373310256,0.0,24758,1718,416,174,106
175,app_store,2025-04-05 11:45:11.574588507,2025-04-17 11:45:11.574588507,6708.98,10164,504,74,28,11
55,organic_search,2025-04-05 13:51:18.777795050,2025-04-15 13:51:18.777795050,0.0,73811,5813,896,314,163
161,referral,2025-04-12 05:03:22.681535685,2025-04-29 05:03:22.681535685,828.15,122301,11712,3868,1970,1477
211,email,2025-04-13 02:59:21.198704066,2025-04-21 02:59:21.198704066,1123.4,43918,3986,390,109,64
34,app_store,2025-04-14 00:23:55.613523713,2025-05-12 00:23:55.613523713,12882.87,70097,4398,501,241,164
241,app_store,2025-04-17 16:21:44.618902894,2025-05-09 16:21:44.618902894,5841.87,50315,2538,345,131,54
116,app_store,2025-04-18 11:21:57.144180553,2025-05-10 11:21:57.144180553,2477.39,75337,4312,634,200,137
168,paid_social,2025-04-26 00:43:36.222794186,2025-05-12 00:43:36.222794186,16853.24,144953,4883,386,93,34
182,organic_search,2025-04-28 12:45:08.740718657,2025-05-24 12:45:08.740718657,0.0,48427,3830,895,462,329
72,app_store,2025-04-30 02:25:16.353527128,2025-05-30 02:25:16.353527128,15239.46,28755,1255,214,98,48
225,paid_social,2025-04-30 13:57:35.160276009,2025-05-15 13:57:35.160276009,12861.39,89038,2153,188,40,11
9,email,2025-05-02 06:05:12.723332971,2025-05-14 06:05:12.723332971,2130.94,87147,8225,977,273,97
144,paid_social,2025-05-04 13:12:20.840003498,2025-05-14 13:12:20.840003498,17366.34,76917,2051,170,47,13
122,app_store,2025-05-04 21:02:33.245478839,2025-05-14 21:02:33.245478839,8397.32,64760,3081,502,181,94
54,email,2025-05-10 16:22:39.893721597,2025-05-27 16:22:39.893721597,3391.97,48743,5102,571,217,137
25,email,2025-05-15 10:50:44.320103908,2025-05-25 10:50:44.320103908,1407.6,48997,5532,632,172,66
226,referral,2025-05-15 18:52:38.721910869,2025-06-10 18:52:38.721910869,2277.24,75813,9679,2807,1490,775
110,paid_social,2025-05-17 03:45:53.335890512,2025-06-05 03:45:53.335890512,18166.88,23827,674,62,18,5
152,paid_social,2025-05-19 22:53:00.588870836,2025-06-08 22:53:00.588870836,12129.73,112075,3630,364,114,42
70,app_store,2025-05-24 23:10:19.284122470,2025-06-13 23:10:19.284122470,8884.04,34897,1884,364,156,84
120,email,2025-05-25 15:11:35.993503337,2025-06-02 15:11:35.993503337,2407.27,23898,1926,213,90,32
93,app_store,2025-05-27 16:14:18.324210641,2025-06-23 16:14:18.324210641,16338.25,118376,7030,939,443,258
50,referral,2025-05-29 01:07:40.571122494,2025-06-28 01:07:40.571122494,829.1,14762,1300,460,317,258
127,paid_social,2025-05-31 09:42:40.857069775,2025-06-22 09:42:40.857069775,12000.42,97091,3531,252,64,25
148,organic_search,2025-05-31 13:05:58.580445128,2025-06-17 13:05:58.580445128,0.0,53552,5388,818,281,129
233,email,2025-06-02 21:01:03.574431759,2025-06-27 21:01:03.574431759,1563.19,110769,8774,1003,261,148
132,app_store,2025-06-05 13:52:49.632800226,2025-07-03 13:52:49.632800226,14204.54,69303,2712,477,164,111
214,email,2025-06-06 18:43:45.937797191,2025-06-23 18:43:45.937797191,1324.27,62458,6971,770,299,111
14,app_store,2025-06-09 18:21:57.142506720,2025-06-19 18:21:57.142506720,7269.59,32399,1538,167,66,32
11,app_store,2025-06-11 09:28:35.992918637,2025-06-29 09:28:35.992918637,4073.52,25127,968,185,92,56
69,paid_social,2025-06-11 16:42:20.250997528,2025-07-02 16:42:20.250997528,11043.43,102755,2512,143,44,17
119,organic_search,2025-06-12 11:47:00.805103969,2025-07-04 11:47:00.805103969,0.0,68450,6862,1223,625,366
27,email,2025-06-13 10:02:26.407786669,2025-06-27 10:02:26.407786669,1296.14,63214,6014,769,284,178
177,paid_social,2025-06-21 04:54:44.685295741,2025-07-13 04:54:44.685295741,12806.5,144395,4690,455,122,44
22,paid_social,2025-06-28 14:10:08.159456619,2025-07-14 14:10:08.159456619,17806.31,150460,3870,390,82,25
43,paid_social,2025-07-03 20:02:07.972204600,2025-07-24 20:02:07.972204600,22998.73,68852,2390,164,37,13
77,paid_social,2025-07-04 01:03:05.983460115,2025-07-25 01:03:05.983460115,9892.88,14077,383,37,8,3
178,email,2025-07-04 04:13:34.639147968,2025-08-02 04:13:34.639147968,1421.4,78891,9366,939,375,182
125,organic_search,2025-07-05 18:08:06.254655731,2025-08-01 18:08:06.254655731,0.0,72375,4756,975,491,374
99,app_store,2025-07-07 08:04:05.818312165,2025-07-14 08:04:05.818312165,13388.2,115842,6690,1294,492,272
95,email,2025-07-24 00:48:57.354157967,2025-08-07 00:48:57.354157967,3993.81,135338,16700,1764,478,187
181,paid_social,2025-07-24 01:41:17.333298009,2025-08-22 01:41:17.333298009,10850.98,101400,3002,189,40,14
53,paid_social,2025-07-24 20:22:24.980316104,2025-08-17 20:22:24.980316104,21744.68,41647,1012,104,25,11
230,paid_social,2025-07-26 00:21:17.844234436,2025-08-03 00:21:17.844234436,10965.77,30268,769,44,9,3
10,referral,2025-07-31 20:28:12.644560254,2025-08-23 20:28:12.644560254,1243.22,60324,5728,1920,1021,663
228,email,2025-08-02 04:47:27.046287144,2025-08-13 04:47:27.046287144,1306.51,19989,1759,173,55,22
195,organic_search,2025-08-04 22:31:48.429751085,2025-08-31 22:31:48.429751085,0.0,57932,3516,689,254,123
102,app_store,2025-08-11 11:03:15.232159990,2025-09-02 11:03:15.232159990,9372.83,152796,5827,1085,529,342
200,app_store,2025-08-13 03:13:38.073525424,2025-08-21 03:13:38.073525424,3045.91,88347,3723,559,224,129
179,organic_search,2025-08-13 08:55:15.384921072,2025-09-12 08:55:15.384921072,0.0,63939,4190,901,465,345
136,app_store,2025-08-15 08:29:27.219051983,2025-09-08 08:29:27.219051983,5045.73,51830,2037,375,113,49
224,app_store,2025-08-15 13:08:18.661250005,2025-09-10 13:08:18.661250005,6325.02,60270,2450,444,171,78
206,referral,2025-08-15 20:07:48.135860630,2025-09-03 20:07:48.135860630,863.02,43515,4331,1323,849,503
140,organic_search,2025-08-16 19:36:25.706286000,2025-09-15 19:36:25.706286000,0.0,79527,5126,825,443,249
106,referral,2025-08-17 22:05:31.245285808,2025-09-07 22:05:31.245285808,1136.62,98579,9599,2917,1573,942
199,email,2025-08-21 11:05:04.035955208,2025-09-19 11:05:04.035955208,1986.42,70957,8962,1019,344,210
216,app_store,2025-08-21 17:03:57.612773122,2025-09-20 17:03:57.612773122,15829.55,117207,7365,1099,447,260
204,app_store,2025-08-27 01:34:47.385299533,2025-09-07 01:34:47.385299533,11879.98,74511,4462,478,159,98
131,organic_search,2025-08-29 08:03:56.780494156,2025-09-24 08:03:56.780494156,0.0,30675,2292,595,218,103
158,organic_search,2025-08-29 15:35:19.482976409,2025-09-08 15:35:19.482976409,0.0,69883,7151,1828,998,486
49,organic_search,2025-08-30 16:03:07.041542604,2025-09-29 16:03:07.041542604,0.0,97960,9767,2136,693,292
124,organic_search,2025-08-31 10:14:51.033475864,2025-09-29 10:14:51.033475864,0.0,31983,2816,437,170,79
201,app_store,2025-09-05 05:11:43.615790753,2025-10-01 05:11:43.615790753,6532.57,128505,7337,1218,493,220
6,referral,2025-09-05 05:37:45.886469243,2025-09-30 05:37:45.886469243,837.45,49424,5784,1806,778,418
74,app_store,2025-09-08 22:30:27.518993136,2025-09-30 22:30:27.518993136,6223.96,40865,2563,458,132,67
100,referral,2025-09-10 05:22:03.261338751,2025-09-25 05:22:03.261338751,1226.15,41075,6081,1709,1042,575
223,paid_social,2025-09-11 13:11:33.472243011,2025-09-22 13:11:33.472243011,15348.45,30625,944,78,19,8
172,organic_search,2025-09-12 17:16:32.804768919,2025-10-09 17:16:32.804768919,0.0,23370,2373,431,146,73
35,paid_social,2025-09-13 12:14:39.758489891,2025-09-22 12:14:39.758489891,16668.77,61788,2163,135,34,13
163,app_store,2025-09-17 07:34:05.563807550,2025-10-06 07:34:05.563807550,16831.29,79310,4326,793,342,180
193,app_store,2025-09-17 20:20:26.036602578,2025-10-14 20:20:26.036602578,6038.85,55735,3199,442,143,64
190,organic_search,2025-09-18 23:16:07.774560071,2025-10-18 23:16:07.774560071,0.0,47324,2968,656,350,176
183,app_store,2025-09-23 15:58:00.303166015,2025-10-16 15:58:00.303166015,6231.39,132599,5342,785,293,136
2,referral,2025-09-27 13:00:18.626567183,2025-10-10 13:00:18.626567183,1393.08,39792,6123,2270,1457,833
5,app_store,2025-09-30 01:52:51.268618865,2025-10-10 01:52:51.268618865,8778.5,64216,2803,466,146,65
98,email,2025-10-02 06:17:47.637002011,2025-10-13 06:17:47.637002011,2978.52,113044,13840,1179,440,227
51,email,2025-10-03 05:06:57.008720151,2025-10-29 05:06:57.008720151,1945.45,134881,14540,1760,488,278
89,paid_social,2025-10-04 23:30:40.118900783,2025-10-13 23:30:40.118900783,14433.89,117807,2988,236,65,21
244,app_store,2025-10-05 18:35:36.905415777,2025-10-24 18:35:36.905415777,4824.1,173912,8564,1000,292,203
33,paid_social,2025-10-10 10:04:59.361476352,2025-10-21 10:04:59.361476352,17024.41,56479,1439,120,28,8
167,referral,2025-10-19 06:46:10.519217535,2025-11-05 06:46:10.519217535,2201.86,24128,3722,1345,936,508
29,email,2025-10-19 12:30:09.792223554,2025-11-13 12:30:09.792223554,4843.14,43579,4028,384,146,89
108,paid_social,2025-10-24 10:30:01.460247384,2025-11-18 10:30:01.460247384,21913.66,30740,1172,69,13,4
159,email,2025-10-25 05:23:41.744650660,2025-11-12 05:23:41.744650660,868.82,86557,8560,889,401,213
97,paid_social,2025-10-26 10:45:42.146205865,2025-11-14 10:45:42.146205865,13830.61,31274,810,47,12,4
113,paid_social,2025-10-30 14:49:44.665754113,2025-11-23 14:49:44.665754113,11934.94,54192,1616,131,33,12
121,app_store,2025-11-02 01:59:53.141163774,2025-11-20 01:59:53.141163774,7087.93,44816,1975,375,137,86
227,paid_social,2025-11-02 09:25:34.606109199,2025-11-09 09:25:34.606109199,15973.7,52816,1968,162,31,10
249,organic_search,2025-11-06 06:00:01.764524571,2025-11-21 06:00:01.764524571,0.0,30522,1766,352,122,61
209,paid_social,2025-11-07 18:50:40.659768562,2025-11-29 18:50:40.659768562,11876.69,43605,1048,69,13,4
71,paid_social,2025-11-08 00:34:05.419456415,2025-11-15 00:34:05.419456415,5720.64,29917,1049,102,19,8
68,app_store,2025-11-11 10:25:52.001025582,2025-11-25 10:25:52.001025582,5293.8,28376,1417,216,65,33
80,app_store,2025-11-14 14:00:33.462992217,2025-11-26 14:00:33.462992217,7461.62,162874,6028,742,210,112
19,organic_search,2025-11-14 23:23:16.034099354,2025-12-04 23:23:16.034099354,0.0,29408,1699,350,145,104
59,paid_social,2025-11-17 17:44:39.331774896,2025-12-12 17:44:39.331774896,14663.14,54054,1913,136,40,15
236,email,2025-11-20 19:34:12.933282072,2025-11-29 19:34:12.933282072,1223.82,16184,1279,96,37,16
155,paid_social,2025-11-21 06:32:38.089639141,2025-12-01 06:32:38.089639141,19455.89,85488,1876,190,44,22
90,app_store,2025-11-22 20:25:06.565917028,2025-12-10 20:25:06.565917028,5112.19,78330,3095,338,105,72
222,paid_social,2025-11-24 05:56:27.044089797,2025-12-08 05:56:27.044089797,19411.65,35320,934,72,23,11
165,referral,2025-11-25 20:36:58.282739029,2025-12-14 20:36:58.282739029,894.68,73981,10660,2537,1424,1245
242,paid_social,2025-11-29 10:30:02.543881282,2025-12-13 10:30:02.543881282,22067.77,63115,1648,154,41,20
235,app_store,2025-11-29 12:39:34.563363022,2025-12-18 12:39:34.563363022,13421.33,26633,1618,224,108,50
173,app_store,2025-12-01 05:45:46.471663704,2025-12-22 05:45:46.471663704,8090.18,52557,2691,326,116,69
238,app_store,2025-12-05 05:31:45.569418530,2025-12-18 05:31:45.569418530,6328.23,66078,3282,386,122,74
62,app_store,2025-12-08 05:15:38.113954522,2025-12-16 05:15:38.113954522,9520.0,42798,2380,400,149,88
