user_id,jtbd_segment,cohort,months_since_signup,logins_per_week,tx_per_month,balance_eur,offer_channel,converted,upgrade_reason
73,young_professionals,Casual,13,3.8,16,1048.49,none,0,none
74,young_professionals,Dormant,16,7.9,20,2398.38,email,0,none
75,young_professionals,Growth,11,4.6,12,208.94,in_app,0,none
76,young_professionals,Growth,24,11.9,14,1964.67,email,0,none
77,young_professionals,Casual,11,10.6,13,579.42,push,0,none
78,young_professionals,Casual,20,6.1,6,2070.71,none,1,cashback
79,young_professionals,Growth,13,7.1,21,575.65,none,0,none
80,young_professionals,Casual,1,7.5,16,1028.27,none,0,none
81,young_professionals,Power,17,3.6,12,1114.8,email,0,none
82,young_professionals,Casual,9,2.8,14,2308.7,in_app,0,none
83,young_professionals,Power,9,10.1,14,1927.51,email,0,none
84,young_professionals,Casual,5,5.8,12,1489.24,email,0,none
85,young_professionals,Growth,15,6.4,12,1409.61,none,0,none
86,young_professionals,Growth,16,10.4,19,1575.05,none,0,none
87,young_professionals,Casual,17,7.4,11,2099.02,push,0,none
88,young_professionals,Growth,22,8.1,9,0.0,in_app,0,none
89,young_professionals,Growth,19,8.1,9,1829.5,push,0,none
90,young_professionals,Growth,8,8.2,14,1621.0,none,1,cashback
91,young_professionals,Growth,1,11.5,12,0.0,email,0,none
92,young_professionals,Power,8,10.0,22,528.28,push,1,premium_features
93,young_professionals,Power,1,9.6,11,228.08,push,0,none
94,young_professionals,Growth,23,5.3,20,1758.5,push,1,status
95,young_professionals,Casual,7,7.9,14,2271.1,email,0,none
96,young_professionals,Growth,7,11.3,16,1581.22,email,1,premium_features
97,young_professionals,Growth,10,7.0,18,2237.4,email,0,none
98,young_professionals,Growth,1,9.0,10,1438.19,email,0,none
99,young_professionals,Power,23,15.5,16,1349.27,none,0,none
100,young_professionals,Growth,1,8.5,12,127.98,in_app,0,none
101,young_professionals,Power,21,9.1,16,1406.76,push,0,none
102,young_professionals,Growth,21,8.5,15,853.26,email,0,none
103,young_professionals,Power,19,7.6,17,516.34,in_app,1,status
104,young_professionals,Casual,22,4.8,15,1217.47,email,0,none
105,young_professionals,Casual,16,10.4,16,972.12,none,0,none
106,young_professionals,Power,18,14.1,18,2343.04,email,0,none
107,young_professionals,Casual,16,10.3,16,775.64,push,0,none
108,young_professionals,Growth,10,12.3,13,1208.39,in_app,0,none
109,young_professionals,Growth,1,5.5,9,1250.39,in_app,1,premium_features
110,young_professionals,Growth,23,6.9,12,595.26,none,0,none
111,young_professionals,Growth,22,9.0,12,1183.21,none,0,none
112,young_professionals,Dormant,3,4.8,8,1946.97,email,0,none
113,young_professionals,Casual,18,7.0,10,1012.95,none,0,none
114,young_professionals,Casual,15,10.7,13,1261.53,push,0,none
115,young_professionals,Casual,10,8.2,9,554.25,in_app,0,none
116,young_professionals,Growth,3,6.8,17,2061.78,email,0,none
117,young_professionals,Power,8,5.9,15,1098.17,email,0,none
118,young_professionals,Power,4,9.0,24,2188.44,in_app,0,none
119,young_professionals,Power,4,12.4,10,1731.84,push,0,none
120,young_professionals,Growth,7,7.7,19,165.92,in_app,0,none
121,young_professionals,Growth,14,13.9,19,1198.85,push,0,none
122,young_professionals,Casual,2,5.4,17,381.16,in_app,1,premium_features
123,young_professionals,Power,11,8.6,14,600.17,push,0,none
124,young_professionals,Growth,4,3.9,13,1641.35,none,1,premium_features
125,young_professionals,Casual,18,11.2,15,1722.33,none,0,none
126,young_professionals,Casual,18,8.6,16,1272.71,none,0,none
127,young_professionals,Growth,10,7.5,14,1404.13,push,0,none
128,young_professionals,Growth,9,10.4,13,899.55,none,0,none
129,young_professionals,Growth,5,8.0,10,1403.93,none,0,none
130,young_professionals,Growth,4,1.4,24,1221.64,push,0,none
131,young_professionals,Dormant,13,7.2,20,865.34,none,0,none
132,young_professionals,Growth,10,12.5,15,742.61,in_app,0,none
133,young_professionals,Casual,8,10.6,18,1265.79,email,0,none
134,young_professionals,Power,21,9.5,12,1466.84,email,1,status
135,young_professionals,Casual,14,8.8,13,2067.08,in_app,0,none
136,young_professionals,Power,5,8.2,10,2885.53,none,0,none
137,young_professionals,Power,23,10.6,17,273.82,in_app,0,none
138,young_professionals,Growth,4,9.0,17,806.37,none,0,none
139,young_professionals,Power,17,12.5,13,1568.46,in_app,0,none
140,young_professionals,Growth,18,11.5,14,2092.44,none,0,none
141,young_professionals,Casual,7,9.3,9,1411.22,in_app,1,premium_features
142,young_professionals,Growth,4,8.2,19,1053.66,none,0,none
143,young_professionals,Growth,11,14.0,14,1237.02,push,0,none
144,young_professionals,Casual,20,15.2,13,874.1,push,0,none
145,young_professionals,Power,9,12.7,19,1777.59,in_app,0,none
146,young_professionals,Growth,5,9.4,20,487.76,push,0,none
147,young_professionals,Casual,1,5.9,19,952.95,in_app,0,none
148,young_professionals,Growth,14,8.6,14,239.88,email,0,none
149,young_professionals,Power,4,4.2,16,1579.71,in_app,1,status
150,young_professionals,Growth,13,11.2,21,1804.51,none,1,premium_features
151,young_professionals,Growth,12,5.7,11,406.48,email,0,none
152,young_professionals,Power,5,6.7,13,672.29,email,0,none
153,young_professionals,Growth,11,8.3,22,373.19,in_app,0,none
154,young_professionals,Power,5,13.8,6,1637.23,none,0,none
155,young_professionals,Casual,23,5.0,15,0.0,email,0,none
156,young_professionals,Growth,5,9.1,13,2131.13,none,0,none
157,young_professionals,Growth,17,12.8,22,264.37,email,0,none
158,young_professionals,Growth,10,10.1,16,1664.7,email,1,premium_features
159,young_professionals,Casual,24,11.9,16,1130.7,none,0,none
160,young_professionals,Growth,10,11.1,14,825.84,in_app,1,cashback
161,young_professionals,Growth,2,13.3,20,1677.5,in_app,0,none
162,young_professionals,Growth,1,8.9,13,1301.82,in_app,0,none
163,young_professionals,Growth,6,12.0,11,1232.09,email,1,status
164,young_professionals,Growth,13,8.1,14,991.49,in_app,0,none
165,young_professionals,Casual,2,11.0,20,1425.63,email,0,none
166,young_professionals,Power,7,7.0,13,1337.26,email,0,none
167,young_professionals,Power,11,11.7,13,1725.93,email,0,none
168,young_professionals,Dormant,4,10.7,17,1456.68,in_app,0,none
169,young_professionals,Dormant,12,10.2,17,1134.51,in_app,0,none
170,young_professionals,Casual,24,10.3,19,974.27,none,0,none
171,young_professionals,Growth,20,12.3,26,972.19,in_app,0,none
172,young_professionals,Power,11,13.5,17,1697.47,none,0,none
173,young_professionals,Power,23,11.0,15,2084.17,push,0,none
174,young_professionals,Growth,20,8.4,13,1949.25,in_app,0,none
175,young_professionals,Growth,5,14.3,11,1545.33,none,0,none
176,young_professionals,Power,23,8.3,7,1616.8,none,0,none
177,young_professionals,Growth,20,7.5,16,1956.56,email,1,premium_features
178,young_professionals,Growth,5,12.5,13,1074.35,in_app,0,none
179,young_professionals,Growth,5,12.0,12,1647.3,none,0,none
180,young_professionals,Power,17,3.1,15,936.01,none,0,none
181,young_professionals,Growth,23,10.3,16,1113.58,in_app,0,none
182,young_professionals,Growth,11,7.9,15,1505.94,push,0,none
183,young_professionals,Growth,11,17.3,16,1414.39,push,0,none
184,young_professionals,Growth,16,10.7,19,428.16,email,0,none
185,young_professionals,Casual,9,13.1,16,1085.54,in_app,1,support
186,young_professionals,Power,4,15.1,12,1268.75,push,0,none
187,young_professionals,Power,19,4.1,10,830.22,in_app,0,none
188,young_professionals,Casual,9,7.7,15,509.95,none,0,none
189,young_professionals,Casual,7,13.8,11,1499.23,in_app,0,none
190,young_professionals,Growth,6,9.5,10,1737.36,email,0,none
191,young_professionals,Casual,2,13.7,19,1919.11,in_app,0,none
192,young_professionals,Growth,23,11.0,16,501.1,in_app,1,status
193,young_professionals,Casual,19,14.5,21,1342.17,in_app,0,none
194,young_professionals,Casual,24,2.6,16,1437.31,in_app,1,support
195,young_professionals,Growth,2,6.7,11,1685.47,in_app,0,none
196,young_professionals,Power,21,6.1,19,819.11,none,0,none
197,young_professionals,Growth,24,9.1,18,1192.24,none,0,none
198,young_professionals,Power,11,12.7,11,1530.12,in_app,0,none
199,young_professionals,Casual,4,12.4,11,368.13,none,0,none
200,young_professionals,Growth,9,10.4,14,1343.16,in_app,0,none
201,young_professionals,Casual,24,13.6,11,2014.87,in_app,0,none
202,young_professionals,Casual,3,7.6,12,1174.45,in_app,0,none
203,young_professionals,Growth,23,2.6,14,1546.44,push,0,none
204,young_professionals,Power,6,9.7,12,1846.71,email,0,none
205,young_professionals,Casual,15,10.0,14,1077.73,push,0,none
206,young_professionals,Casual,4,7.3,9,1232.07,email,0,none
207,young_professionals,Growth,20,7.2,12,968.62,email,0,none
208,young_professionals,Casual,19,2.7,17,1914.83,in_app,0,none
209,young_professionals,Casual,3,6.5,20,1063.55,email,0,none
210,young_professionals,Growth,7,6.4,18,1937.05,in_app,0,none
211,young_professionals,Casual,19,8.5,23,256.48,none,0,none
212,young_professionals,Casual,1,4.5,15,2624.76,in_app,1,support
213,young_professionals,Casual,3,0.6,15,927.94,push,0,none
214,young_professionals,Casual,16,6.9,13,1132.1,none,0,none
215,young_professionals,Casual,20,11.2,11,361.39,in_app,0,none
216,young_professionals,Power,8,9.4,19,1243.97,push,0,none
217,young_professionals,Growth,11,3.8,14,379.0,in_app,0,none
218,young_professionals,Power,13,7.6,12,412.92,push,0,none
219,young_professionals,Power,22,7.2,11,828.63,in_app,0,none
220,young_professionals,Power,19,11.3,16,581.57,in_app,0,none
221,young_professionals,Growth,14,5.2,14,469.97,in_app,0,none
222,young_professionals,Casual,17,7.4,18,2223.66,push,0,none
223,young_professionals,Growth,24,5.0,18,1257.26,email,0,none
224,young_professionals,Growth,13,13.4,25,1380.93,in_app,1,premium_features
225,young_professionals,Growth,9,2.3,11,1465.47,push,0,none
226,young_professionals,Casual,19,2.1,21,1223.82,none,0,none
227,young_professionals,Power,18,9.0,12,1598.61,none,0,none
228,young_professionals,Growth,7,1.4,22,1586.74,none,0,none
229,young_professionals,Growth,6,5.8,21,1234.45,email,0,none
230,young_professionals,Growth,24,9.3,17,2086.97,email,0,none
231,young_professionals,Power,11,3.6,14,1219.62,email,1,premium_features
232,young_professionals,Power,5,9.8,12,1485.08,email,1,status
233,young_professionals,Power,13,11.4,14,1814.46,none,1,premium_features
234,young_professionals,Casual,15,7.7,10,862.92,push,0,none
235,young_professionals,Dormant,21,11.6,15,224.35,in_app,0,none
236,young_professionals,Casual,12,9.4,14,561.86,push,0,none
237,young_professionals,Casual,2,6.2,16,1040.15,in_app,0,none
238,young_professionals,Growth,3,7.4,24,1288.39,none,0,none
239,young_professionals,Dormant,5,11.0,20,0.0,email,0,none
240,young_professionals,Power,14,3.7,20,1166.94,email,0,none
241,young_professionals,Casual,1,11.6,11,682.09,push,0,none
242,young_professionals,Casual,9,8.9,20,719.03,none,0,none
243,young_professionals,Growth,16,7.6,9,654.54,in_app,0,none
244,young_professionals,Casual,24,9.9,13,1329.18,none,0,none
245,young_professionals,Dormant,7,6.9,20,1037.46,in_app,0,none
246,young_professionals,Power,16,9.9,10,1677.93,email,0,none
247,young_professionals,Power,17,4.2,17,1330.36,in_app,0,none
248,young_professionals,Growth,15,7.0,13,728.41,in_app,0,none
249,young_professionals,Growth,21,4.1,18,1382.3,push,0,none
250,young_professionals,Dormant,11,7.4,14,1351.11,email,0,none
251,young_professionals,Power,2,13.3,13,2266.31,email,1,premium_features
252,young_professionals,Casual,11,9.6,15,1549.11,none,0,none
253,young_professionals,Dormant,24,8.7,20,1539.09,none,0,none
254,young_professionals,Growth,7,13.7,11,961.85,email,0,none
255,young_professionals,Growth,12,5.4,12,1596.02,push,0,none
256,young_professionals,Growth,5,5.4,16,1261.35,email,1,premium_features
257,young_professionals,Power,23,10.3,16,544.26,none,0,none
258,young_professionals,Power,6,10.4,15,1778.73,in_app,0,none
259,young_professionals,Power,7,3.9,12,1233.9,in_app,0,none
260,young_professionals,Growth,1,1.2,13,1432.24,in_app,0,none
261,young_professionals,Dormant,9,8.7,15,1480.69,push,0,none
262,young_professionals,Casual,23,11.9,13,115.11,none,0,none
263,young_professionals,Power,7,11.8,18,2040.53,none,1,premium_features
264,young_professionals,Growth,16,10.8,14,1493.63,email,0,none
265,young_professionals,Power,21,11.8,13,714.52,in_app,0,none
266,young_professionals,Power,22,16.9,16,1841.08,in_app,0,none
267,young_professionals,Casual,12,6.1,10,1707.78,none,0,none
268,young_professionals,Power,24,7.8,9,768.31,in_app,0,none
269,young_professionals,Casual,1,9.5,12,691.95,none,0,none
270,young_professionals,Power,2,10.2,16,753.68,in_app,1,support
271,young_professionals,Growth,8,11.3,22,2887.59,none,0,none
272,young_professionals,Growth,21,5.9,14,470.04,none,0,none
273,young_professionals,Casual,15,11.2,17,1340.66,in_app,0,none
274,young_professionals,Casual,2,9.1,10,2406.56,email,0,none
275,young_professionals,Power,12,9.1,14,1091.82,push,0,none
276,young_professionals,Growth,9,7.1,18,1562.87,none,0,none
277,young_professionals,Casual,22,11.2,14,1787.75,email,1,cashback
278,young_professionals,Power,20,9.0,15,308.66,push,0,none
279,young_professionals,Casual,15,5.0,17,553.46,email,0,none
280,young_professionals,Power,21,5.2,11,1937.63,push,0,none
281,young_professionals,Growth,15,6.8,18,1167.18,push,0,none
282,young_professionals,Casual,8,11.4,15,490.53,email,0,none
283,young_professionals,Growth,16,0.4,8,1083.01,email,0,none
284,young_professionals,Power,22,8.2,15,1449.82,in_app,0,none
285,young_professionals,Power,8,0.0,11,872.08,email,0,none
286,young_professionals,Growth,7,13.0,10,1417.81,none,0,none
287,young_professionals,Growth,16,10.6,8,944.04,push,1,status
288,young_professionals,Casual,2,7.2,20,939.18,email,0,none
289,young_professionals,Growth,1,13.6,7,1233.56,push,0,none
290,young_professionals,Power,13,10.5,13,1451.68,email,0,none
291,young_professionals,Power,21,10.9,20,1301.68,push,0,none
292,young_professionals,Power,9,9.9,8,1085.96,email,1,cashback
293,young_professionals,Dormant,24,6.5,10,1590.92,push,0,none
294,young_professionals,Casual,7,4.7,12,1394.39,email,0,none
295,young_professionals,Growth,22,7.7,15,2088.06,in_app,0,none
296,young_professionals,Power,24,11.8,10,1131.13,in_app,0,none
297,young_professionals,Casual,3,6.5,16,1035.78,push,0,none
298,young_professionals,Growth,2,11.5,24,1601.13,email,0,none
299,young_professionals,Dormant,12,3.0,15,504.1,in_app,0,none
300,young_professionals,Growth,4,11.1,17,1368.7,push,0,none
301,young_professionals,Growth,1,3.1,12,0.0,push,1,cashback
302,young_professionals,Power,15,3.8,19,753.01,email,0,none
303,young_professionals,Casual,1,8.0,13,1260.56,in_app,0,none
304,young_professionals,Casual,18,8.9,12,1816.55,none,0,none
305,young_professionals,Casual,20,5.5,14,1122.16,none,0,none
306,young_professionals,Growth,20,11.7,19,974.34,push,0,none
307,young_professionals,Casual,18,7.5,15,1797.56,email,1,premium_features
308,young_professionals,Power,7,4.3,10,778.35,in_app,1,cashback
309,young_professionals,Growth,19,7.3,16,1327.03,push,1,support
310,young_professionals,Growth,16,9.8,13,1131.41,email,0,none
311,young_professionals,Growth,20,9.8,11,742.81,email,0,none
312,young_professionals,Growth,6,1.1,12,1531.85,in_app,0,none
313,young_professionals,Power,20,12.3,18,1743.16,email,1,premium_features
314,young_professionals,Growth,15,11.9,15,1070.85,none,0,none
315,young_professionals,Casual,10,2.5,8,1157.99,email,0,none
316,young_professionals,Power,1,13.1,14,1287.31,push,1,premium_features
317,young_professionals,Casual,12,11.2,14,1672.49,push,1,premium_features
318,young_professionals,Growth,3,2.8,17,1135.06,none,0,none
319,young_professionals,Casual,3,1.4,12,635.08,email,0,none
320,young_professionals,Growth,7,10.7,12,2084.05,none,0,none
321,young_professionals,Growth,5,5.5,11,1147.82,email,0,none
322,young_professionals,Power,11,9.3,14,1372.13,email,1,premium_features
323,young_professionals,Casual,17,9.7,12,604.29,none,0,none
324,young_professionals,Growth,10,3.0,16,964.66,email,0,none
325,young_professionals,Growth,3,6.2,18,790.14,none,0,none
326,young_professionals,Growth,12,8.4,18,709.92,in_app,0,none
327,young_professionals,Casual,10,9.0,11,1002.47,email,0,none
328,young_professionals,Growth,10,11.1,14,625.9,email,0,none
329,young_professionals,Power,9,10.0,27,61.31,none,0,none
330,young_professionals,Growth,5,6.9,15,595.01,email,1,cashback
331,young_professionals,Casual,8,7.6,21,806.55,email,0,none
332,young_professionals,Power,4,10.7,11,2139.47,email,1,status
333,young_professionals,Power,6,12.6,19,1284.7,email,1,premium_features
334,young_professionals,Casual,19,4.4,17,1287.38,push,0,none
335,young_professionals,Power,15,12.0,23,1094.27,none,0,none
336,young_professionals,Power,8,8.6,21,1155.14,email,0,none
337,young_professionals,Growth,3,9.6,9,1305.42,email,0,none
338,young_professionals,Growth,7,6.9,15,1098.27,none,1,cashback
339,young_professionals,Dormant,20,7.3,16,633.35,push,0,none
340,young_professionals,Growth,21,5.9,16,134.18,email,0,none
341,young_professionals,Power,22,8.4,20,1434.9,in_app,0,none
342,young_professionals,Power,4,12.9,14,1398.93,push,1,support
343,young_professionals,Dormant,23,12.2,18,1695.43,email,0,none
344,young_professionals,Growth,18,8.1,17,2780.84,in_app,0,none
345,young_professionals,Growth,14,14.4,11,1839.59,in_app,0,none
346,young_professionals,Growth,11,8.8,14,2087.75,push,0,none
347,young_professionals,Growth,23,11.4,14,1544.02,in_app,0,none
348,young_professionals,Power,11,12.1,14,374.37,in_app,1,premium_features
349,young_professionals,Growth,13,7.1,9,1651.72,email,0,none
350,young_professionals,Power,1,11.4,9,1130.24,none,0,none
351,young_professionals,Growth,14,5.7,28,602.59,email,0,none
352,young_professionals,Casual,24,9.8,16,859.37,email,0,none
353,young_professionals,Growth,8,14.2,20,706.86,none,1,premium_features
354,young_professionals,Growth,4,5.8,16,729.96,email,0,none
355,young_professionals,Growth,14,14.5,20,93.87,email,1,premium_features
356,young_professionals,Power,5,0.9,11,1383.35,email,0,none
357,young_professionals,Dormant,16,10.1,18,961.68,email,0,none
358,young_professionals,Power,22,8.7,12,802.1,none,1,cashback
359,young_professionals,Power,23,11.9,12,1812.73,email,0,none
360,young_professionals,Power,14,13.1,15,1526.33,push,0,none
361,young_professionals,Casual,5,10.3,9,2298.57,in_app,1,cashback
362,young_professionals,Power,15,4.4,13,1366.09,email,0,none
363,young_professionals,Power,21,13.2,19,0.0,push,1,status
364,young_professionals,Growth,24,14.9,18,1453.48,push,0,none
365,young_professionals,Power,14,7.9,18,589.13,email,1,premium_features
366,young_professionals,Casual,8,4.4,13,758.24,in_app,0,none
367,young_professionals,Dormant,4,16.3,17,849.58,push,0,none
368,young_professionals,Casual,17,4.2,14,833.94,in_app,0,none
369,young_professionals,Power,20,9.9,16,2053.38,in_app,1,premium_features
370,young_professionals,Growth,16,11.3,12,2634.13,email,0,none
371,young_professionals,Power,4,12.0,19,271.3,none,0,none
372,young_professionals,Growth,18,12.8,12,2615.86,push,0,none
373,young_professionals,Casual,13,7.0,14,1427.18,none,0,none
374,young_professionals,Casual,8,4.6,15,742.68,email,0,none
375,young_professionals,Power,23,4.1,17,462.3,push,0,none
376,young_professionals,Casual,23,9.5,12,1156.8,email,0,none
377,young_professionals,Power,19,9.7,12,1513.71,email,0,none
378,young_professionals,Power,17,5.6,15,929.29,none,0,none
379,young_professionals,Casual,13,7.9,20,1025.96,email,0,none
380,young_professionals,Power,3,16.5,17,1662.42,none,0,none
381,young_professionals,Power,4,4.5,10,534.72,in_app,1,support
382,young_professionals,Growth,15,4.8,25,1781.65,push,0,none
383,young_professionals,Power,2,15.6,17,1554.79,push,1,status
384,young_professionals,Growth,5,8.7,12,712.22,in_app,1,cashback
385,young_professionals,Casual,4,11.7,11,705.52,push,0,none
386,young_professionals,Growth,4,11.5,9,1533.97,push,0,none
387,young_professionals,Casual,18,11.4,14,825.84,in_app,1,premium_features
388,young_professionals,Casual,16,10.9,16,3019.06,in_app,0,none
389,young_professionals,Growth,21,12.0,18,1343.49,none,0,none
390,young_professionals,Power,7,8.5,15,2803.06,email,1,premium_features
391,young_professionals,Power,11,11.0,13,1404.26,email,0,none
392,young_professionals,Power,23,4.7,16,1786.0,none,0,none
393,young_professionals,Dormant,13,9.6,15,607.77,in_app,0,none
394,young_professionals,Growth,14,11.5,8,382.77,in_app,1,status
395,young_professionals,Dormant,8,12.8,16,1814.85,push,0,none
396,young_professionals,Growth,4,7.9,13,994.29,in_app,0,none
397,young_professionals,Power,4,9.1,16,584.89,email,0,none
398,young_professionals,Casual,5,13.3,15,2056.19,push,0,none
399,young_professionals,Growth,4,6.9,13,1569.35,in_app,1,cashback
400,young_professionals,Power,1,12.1,22,1858.4,in_app,1,cashback
401,young_professionals,Power,3,9.9,17,390.08,none,0,none
402,young_professionals,Casual,3,8.8,12,811.52,email,0,none
403,young_professionals,Growth,14,5.1,15,905.72,in_app,1,cashback
404,young_professionals,Growth,22,6.1,16,1093.51,in_app,1,premium_features
405,young_professionals,Growth,5,6.2,16,1661.16,push,0,none
406,young_professionals,Growth,12,12.6,16,956.32,push,0,none
407,young_professionals,Power,9,11.0,10,935.17,in_app,0,none
408,young_professionals,Growth,11,12.4,22,1622.41,push,0,none
409,young_professionals,Casual,13,8.4,10,1717.89,in_app,0,none
410,young_professionals,Casual,11,11.8,9,1299.31,in_app,0,none
411,young_professionals,Growth,12,9.2,19,1211.39,email,1,cashback
412,young_professionals,Power,22,8.0,7,552.63,push,0,none
413,young_professionals,Power,2,11.8,13,1353.98,in_app,0,none
414,young_professionals,Power,21,9.2,16,0.0,in_app,1,cashback
415,young_professionals,Growth,11,8.8,16,643.01,in_app,0,none
416,young_professionals,Casual,8,8.0,17,1046.9,none,0,none
417,young_professionals,Growth,16,6.8,14,1155.91,in_app,0,none
418,young_professionals,Casual,1,3.4,13,164.04,email,0,none
419,young_professionals,Growth,12,5.7,14,903.4,none,0,none
420,young_professionals,Growth,10,12.8,19,1625.8,push,0,none
421,young_professionals,Casual,19,8.9,20,1277.65,none,0,none
422,young_professionals,Casual,6,9.4,20,1937.04,in_app,0,none
423,young_professionals,Casual,1,19.1,19,1515.06,none,0,none
424,young_professionals,Dormant,14,14.1,16,809.18,push,0,none
425,young_professionals,Casual,21,9.2,15,1863.6,in_app,0,none
426,young_professionals,Growth,3,7.1,19,692.34,in_app,0,none
427,young_professionals,Casual,18,9.4,11,371.3,email,0,none
428,young_professionals,Power,14,2.2,20,272.82,email,0,none
429,young_professionals,Casual,23,11.2,16,1882.77,email,0,none
430,young_professionals,Power,12,12.5,15,1359.32,push,1,premium_features
431,young_professionals,Growth,7,9.9,19,1802.09,in_app,0,none
432,young_professionals,Casual,8,8.1,19,2188.87,push,0,none
433,young_professionals,Casual,2,10.8,9,1845.43,none,0,none
434,young_professionals,Dormant,8,7.9,12,1207.55,in_app,0,none
435,young_professionals,Power,13,3.3,11,1430.83,email,0,none
436,young_professionals,Casual,4,14.6,17,1411.16,email,0,none
437,young_professionals,Growth,6,12.1,19,1411.2,none,0,none
438,young_professionals,Growth,7,6.7,16,754.39,in_app,0,none
439,young_professionals,Power,7,8.1,12,1548.72,in_app,1,status
440,young_professionals,Growth,20,8.4,12,1630.41,in_app,0,none
441,young_professionals,Power,19,11.8,10,1172.99,in_app,1,support
442,young_professionals,Casual,8,11.0,12,2432.73,in_app,0,none
