user_id,segment,channel,cac_eur,monthly_arpu_eur,contribution_margin,monthly_churn_rate,months_retained,ltv_eur
33,young_professionals,referral,24.18,2.87,0.7,0.0298,54,108.51
34,young_professionals,referral,28.82,2.92,0.7,0.0298,16,32.73
35,young_professionals,referral,24.83,5.87,0.7,0.0298,2,8.22
36,young_professionals,referral,25.88,4.64,0.7,0.0298,40,129.81
37,young_professionals,referral,24.9,4.7,0.7,0.0298,33,108.53
38,young_professionals,referral,24.21,5.97,0.7,0.0298,1,4.18
39,young_professionals,referral,22.2,3.86,0.7,0.0298,60,162.33
40,young_professionals,in_app,34.42,3.66,0.7,0.035,19,48.62
41,young_professionals,referral,26.14,5.29,0.7,0.0298,4,14.82
42,young_professionals,in_app,35.51,4.32,0.7,0.035,60,181.38
43,young_professionals,in_app,37.58,3.94,0.7,0.035,18,49.67
44,young_professionals,referral,23.07,4.77,0.7,0.0298,23,76.85
45,young_professionals,in_app,39.52,2.85,0.7,0.035,1,1.99
46,young_professionals,in_app,35.63,4.73,0.7,0.035,41,135.71
47,young_professionals,referral,26.21,4.44,0.7,0.0298,33,102.56
48,young_professionals,referral,22.99,1.14,0.7,0.0298,60,47.92
49,young_professionals,in_app,36.15,2.9,0.7,0.035,5,10.15
50,young_professionals,referral,26.53,2.65,0.7,0.0298,5,9.29
51,young_professionals,referral,23.04,4.55,0.7,0.0298,60,191.22
52,young_professionals,assisted,130.22,5.65,0.7,0.0263,33,130.61
53,young_professionals,in_app,30.22,4.31,0.7,0.035,11,33.22
54,young_professionals,in_app,31.26,4.33,0.7,0.035,35,106.21
55,young_professionals,in_app,33.2,5.06,0.7,0.035,31,109.82
56,young_professionals,in_app,35.97,5.46,0.7,0.035,60,229.38
57,young_professionals,referral,25.78,6.32,0.7,0.0298,14,61.95
58,young_professionals,in_app,34.15,4.16,0.7,0.035,40,116.5
59,young_professionals,referral,26.51,5.11,0.7,0.0298,16,57.25
60,young_professionals,referral,22.31,6.9,0.7,0.0298,6,28.98
61,young_professionals,in_app,34.83,2.99,0.7,0.035,6,12.55
62,young_professionals,referral,26.66,5.49,0.7,0.0298,10,38.41
63,young_professionals,in_app,33.88,4.32,0.7,0.035,58,175.47
64,young_professionals,in_app,36.74,3.15,0.7,0.035,9,19.87
65,young_professionals,in_app,32.05,5.23,0.7,0.035,7,25.6
66,young_professionals,in_app,33.54,4.24,0.7,0.035,5,14.83
67,young_professionals,in_app,35.25,3.52,0.7,0.035,1,2.46
68,young_professionals,referral,25.71,5.06,0.7,0.0298,26,92.12
69,young_professionals,partner,49.93,5.22,0.7,0.0315,60,219.43
70,young_professionals,referral,22.34,3.42,0.7,0.0298,23,55.0
71,young_professionals,referral,25.16,5.39,0.7,0.0298,3,11.33
72,young_professionals,referral,23.21,1.58,0.7,0.0298,20,22.16
73,young_professionals,paid_social,65.45,6.81,0.7,0.0368,20,95.32
74,young_professionals,referral,22.8,2.02,0.7,0.0298,27,38.21
75,young_professionals,partner,58.42,3.29,0.7,0.0315,7,16.14
76,young_professionals,referral,23.63,5.3,0.7,0.0298,16,59.36
77,young_professionals,referral,24.33,4.75,0.7,0.0298,6,19.93
78,young_professionals,in_app,37.85,3.92,0.7,0.035,9,24.67
79,young_professionals,in_app,37.8,5.61,0.7,0.035,60,235.83
80,young_professionals,in_app,33.02,4.45,0.7,0.035,60,186.92
81,young_professionals,in_app,35.86,3.87,0.7,0.035,34,92.11
82,young_professionals,referral,29.89,4.7,0.7,0.0298,60,197.25
83,young_professionals,in_app,34.23,5.97,0.7,0.035,5,20.89
84,young_professionals,referral,23.6,4.26,0.7,0.0298,2,5.96
85,young_professionals,assisted,107.39,4.99,0.7,0.0263,60,209.73
86,young_professionals,partner,53.08,3.23,0.7,0.0315,1,2.26
87,young_professionals,in_app,37.64,6.75,0.7,0.035,12,56.69
88,young_professionals,referral,22.1,4.2,0.7,0.0298,5,14.71
89,young_professionals,referral,27.57,5.38,0.7,0.0298,60,225.94
90,young_professionals,in_app,35.48,4.26,0.7,0.035,29,86.54
91,young_professionals,referral,26.47,5.5,0.7,0.0298,24,92.46
92,young_professionals,in_app,29.16,4.48,0.7,0.035,40,125.35
93,young_professionals,referral,28.35,4.35,0.7,0.0298,29,88.23
94,young_professionals,referral,26.91,4.9,0.7,0.0298,17,58.31
95,young_professionals,referral,23.64,3.99,0.7,0.0298,60,167.68
96,young_professionals,in_app,33.2,2.18,0.7,0.035,12,18.33
97,young_professionals,referral,24.59,3.6,0.7,0.0298,14,35.26
98,young_professionals,partner,47.69,6.48,0.7,0.0315,14,63.54
99,young_professionals,referral,26.98,4.1,0.7,0.0298,60,172.25
100,young_professionals,paid_social,70.41,4.82,0.7,0.0368,60,202.54
101,young_professionals,paid_social,73.06,3.96,0.7,0.0368,24,66.58
102,young_professionals,in_app,34.81,5.25,0.7,0.035,7,25.74
103,young_professionals,referral,21.31,6.84,0.7,0.0298,12,57.49
104,young_professionals,paid_social,79.58,4.15,0.7,0.0368,54,156.77
105,young_professionals,in_app,35.95,4.77,0.7,0.035,7,23.4
106,young_professionals,in_app,27.7,3.64,0.7,0.035,39,99.27
107,young_professionals,referral,26.69,3.28,0.7,0.0298,37,84.94
108,young_professionals,referral,27.02,2.32,0.7,0.0298,8,12.97
109,young_professionals,partner,55.29,2.87,0.7,0.0315,50,100.35
110,young_professionals,paid_social,69.04,6.43,0.7,0.0368,29,130.5
111,young_professionals,referral,24.56,5.46,0.7,0.0298,60,229.4
112,young_professionals,referral,26.7,3.99,0.7,0.0298,58,161.88
113,young_professionals,referral,23.03,5.12,0.7,0.0298,49,175.73
114,young_professionals,in_app,39.17,3.66,0.7,0.035,18,46.09
115,young_professionals,referral,24.61,3.56,0.7,0.0298,7,17.47
116,young_professionals,paid_social,77.9,4.43,0.7,0.0368,57,176.72
117,young_professionals,in_app,33.26,3.63,0.7,0.035,11,27.94
118,young_professionals,in_app,37.78,3.8,0.7,0.035,52,138.19
119,young_professionals,referral,24.42,4.73,0.7,0.0298,13,43.09
120,young_professionals,in_app,37.53,4.49,0.7,0.035,7,22.0
121,young_professionals,in_app,34.12,3.72,0.7,0.035,60,156.24
122,young_professionals,in_app,35.07,4.52,0.7,0.035,3,9.5
123,young_professionals,partner,58.93,4.16,0.7,0.0315,16,46.65
124,young_professionals,referral,25.02,3.75,0.7,0.0298,20,52.56
125,young_professionals,partner,62.96,5.47,0.7,0.0315,7,26.82
126,young_professionals,referral,24.66,4.32,0.7,0.0298,35,105.94
127,young_professionals,referral,23.94,3.02,0.7,0.0298,60,126.79
128,young_professionals,referral,24.03,5.78,0.7,0.0298,1,4.04
129,young_professionals,referral,27.51,5.88,0.7,0.0298,60,246.95
130,young_professionals,in_app,40.08,3.54,0.7,0.035,60,148.69
131,young_professionals,referral,26.44,4.77,0.7,0.0298,60,200.39
132,young_professionals,paid_social,71.23,5.63,0.7,0.0368,13,51.26
133,young_professionals,in_app,35.03,5.54,0.7,0.035,5,19.4
134,young_professionals,referral,23.87,3.25,0.7,0.0298,9,20.45
135,young_professionals,in_app,33.18,5.04,0.7,0.035,60,211.54
136,young_professionals,assisted,124.12,4.56,0.7,0.0263,18,57.43
137,young_professionals,paid_social,68.87,5.77,0.7,0.0368,3,12.12
138,young_professionals,referral,26.07,4.92,0.7,0.0298,22,75.77
139,young_professionals,in_app,34.67,7.99,0.7,0.035,16,89.48
140,young_professionals,partner,59.29,5.34,0.7,0.0315,53,197.99
141,young_professionals,referral,30.14,2.07,0.7,0.0298,37,53.74
142,young_professionals,referral,25.56,5.2,0.7,0.0298,18,65.52
143,young_professionals,paid_social,64.65,3.06,0.7,0.0368,40,85.66
144,young_professionals,in_app,33.47,4.58,0.7,0.035,49,157.21
145,young_professionals,referral,23.88,6.17,0.7,0.0298,9,38.88
146,young_professionals,referral,22.5,3.21,0.7,0.0298,15,33.72
147,young_professionals,referral,23.88,4.63,0.7,0.0298,26,84.19
148,young_professionals,in_app,34.33,6.27,0.7,0.035,45,197.41
149,young_professionals,referral,29.2,3.29,0.7,0.0298,60,137.99
150,young_professionals,assisted,132.14,2.52,0.7,0.0263,23,40.54
151,young_professionals,in_app,38.42,2.87,0.7,0.035,46,92.48
152,young_professionals,paid_social,79.86,4.59,0.7,0.0368,4,12.85
153,young_professionals,referral,23.94,6.69,0.7,0.0298,60,281.06
154,young_professionals,in_app,31.16,3.47,0.7,0.035,22,53.36
155,young_professionals,referral,23.99,4.22,0.7,0.0298,30,88.53
156,young_professionals,in_app,34.66,4.81,0.7,0.035,58,195.48
157,young_professionals,referral,25.48,4.01,0.7,0.0298,31,87.02
158,young_professionals,in_app,34.3,6.12,0.7,0.035,1,4.28
159,young_professionals,in_app,29.86,2.49,0.7,0.035,9,15.71
160,young_professionals,in_app,38.52,4.93,0.7,0.035,24,82.77
161,young_professionals,referral,23.31,4.53,0.7,0.0298,60,190.43
162,young_professionals,paid_social,64.48,5.2,0.7,0.0368,2,7.28
163,young_professionals,referral,24.53,5.84,0.7,0.0298,8,32.69
164,young_professionals,partner,56.69,5.22,0.7,0.0315,40,146.21
165,young_professionals,in_app,33.38,3.58,0.7,0.035,12,30.08
166,young_professionals,referral,26.61,6.25,0.7,0.0298,22,96.26
167,young_professionals,in_app,32.65,5.33,0.7,0.035,1,3.73
168,young_professionals,in_app,35.1,5.71,0.7,0.035,1,4.0
169,young_professionals,referral,28.42,3.91,0.7,0.0298,44,120.46
170,young_professionals,paid_social,79.02,3.37,0.7,0.0368,2,4.72
171,young_professionals,referral,24.1,5.2,0.7,0.0298,3,10.93
172,young_professionals,in_app,35.4,4.64,0.7,0.035,13,42.24
173,young_professionals,referral,25.65,2.5,0.7,0.0298,36,63.1
174,young_professionals,paid_social,64.99,4.44,0.7,0.0368,30,93.14
175,young_professionals,referral,26.02,5.32,0.7,0.0298,60,223.38
176,young_professionals,partner,48.38,6.83,0.7,0.0315,9,43.05
177,young_professionals,referral,24.86,3.9,0.7,0.0298,17,46.36
178,young_professionals,paid_social,69.94,2.93,0.7,0.0368,8,16.38
179,young_professionals,paid_social,76.54,6.65,0.7,0.0368,44,204.93
180,young_professionals,in_app,37.02,3.07,0.7,0.035,23,49.5
181,young_professionals,paid_social,70.13,5.72,0.7,0.0368,23,92.08
182,young_professionals,paid_social,74.69,2.95,0.7,0.0368,16,32.99
183,young_professionals,in_app,31.84,4.01,0.7,0.035,15,42.11
184,young_professionals,referral,26.81,3.77,0.7,0.0298,60,158.37
185,young_professionals,in_app,34.12,4.58,0.7,0.035,60,192.45
186,young_professionals,in_app,38.81,2.7,0.7,0.035,13,24.6
187,young_professionals,referral,24.81,4.34,0.7,0.0298,54,164.04
188,young_professionals,partner,43.24,4.46,0.7,0.0315,60,187.3
189,young_professionals,in_app,39.16,4.73,0.7,0.035,11,36.43
190,young_professionals,referral,27.48,5.59,0.7,0.0298,44,172.03
191,young_professionals,paid_social,71.1,4.2,0.7,0.0368,4,11.77
192,young_professionals,referral,25.68,4.27,0.7,0.0298,5,14.95
193,young_professionals,referral,27.19,4.73,0.7,0.0298,43,142.41
194,young_professionals,in_app,36.7,5.38,0.7,0.035,8,30.14
195,young_professionals,referral,24.82,4.69,0.7,0.0298,46,150.97
196,young_professionals,referral,28.24,4.54,0.7,0.0298,5,15.88
197,young_professionals,in_app,39.1,4.49,0.7,0.035,28,88.02
198,young_professionals,paid_social,68.2,5.4,0.7,0.0368,4,15.12
199,young_professionals,referral,23.67,4.87,0.7,0.0298,1,3.41
200,young_professionals,referral,26.81,4.65,0.7,0.0298,6,19.51
201,young_professionals,in_app,34.23,5.95,0.7,0.035,38,158.27
202,young_professionals,paid_social,63.08,5.35,0.7,0.0368,60,224.71
203,young_professionals,in_app,42.26,5.26,0.7,0.035,14,51.52
204,young_professionals,referral,25.5,6.14,0.7,0.0298,60,257.86
205,young_professionals,assisted,103.31,4.68,0.7,0.0263,26,85.25
206,young_professionals,referral,20.79,3.52,0.7,0.0298,18,44.33
207,young_professionals,referral,24.57,3.89,0.7,0.0298,1,2.72
208,young_professionals,in_app,39.83,3.76,0.7,0.035,60,157.73
209,young_professionals,referral,24.86,5.24,0.7,0.0298,29,106.47
210,young_professionals,in_app,32.85,4.47,0.7,0.035,23,71.94
211,young_professionals,in_app,31.93,5.64,0.7,0.035,9,35.51
212,young_professionals,in_app,29.48,4.45,0.7,0.035,7,21.81
213,young_professionals,referral,25.9,4.45,0.7,0.0298,7,21.83
214,young_professionals,in_app,39.06,7.01,0.7,0.035,19,93.21
215,young_professionals,in_app,35.46,7.65,0.7,0.035,17,91.04
216,young_professionals,in_app,35.3,5.6,0.7,0.035,44,172.34
217,young_professionals,referral,23.7,3.77,0.7,0.0298,60,158.39
218,young_professionals,referral,24.72,3.73,0.7,0.0298,25,65.23
219,young_professionals,paid_social,63.58,2.33,0.7,0.0368,58,94.66
220,young_professionals,referral,25.44,3.51,0.7,0.0298,60,147.28
221,young_professionals,referral,27.14,5.7,0.7,0.0298,3,11.97
222,young_professionals,referral,27.2,5.18,0.7,0.0298,56,203.23
223,young_professionals,in_app,38.56,5.53,0.7,0.035,9,34.87
224,young_professionals,paid_social,68.29,1.86,0.7,0.0368,12,15.63
225,young_professionals,referral,22.1,5.8,0.7,0.0298,60,243.46
226,young_professionals,paid_social,63.61,6.09,0.7,0.0368,58,247.16
227,young_professionals,assisted,105.04,4.24,0.7,0.0263,60,177.93
228,young_professionals,in_app,37.95,5.23,0.7,0.035,16,58.59
229,young_professionals,in_app,34.91,4.01,0.7,0.035,24,67.41
230,young_professionals,referral,23.09,6.4,0.7,0.0298,60,268.76
231,young_professionals,referral,24.48,4.51,0.7,0.0298,23,72.55
232,young_professionals,referral,25.13,4.36,0.7,0.0298,22,67.12
233,young_professionals,paid_social,67.46,5.21,0.7,0.0368,27,98.41
234,young_professionals,in_app,30.13,4.31,0.7,0.035,60,181.17
235,young_professionals,paid_social,77.06,5.02,0.7,0.0368,21,73.78
236,young_professionals,in_app,32.17,5.16,0.7,0.035,2,7.23
237,young_professionals,referral,23.59,4.08,0.7,0.0298,16,45.72
238,young_professionals,in_app,31.79,5.91,0.7,0.035,33,136.49
239,young_professionals,assisted,125.62,3.98,0.7,0.0263,1,2.79
240,young_professionals,referral,25.98,2.52,0.7,0.0298,17,29.99
241,young_professionals,in_app,35.45,2.31,0.7,0.035,43,69.45
242,young_professionals,in_app,33.98,4.97,0.7,0.035,60,208.64
243,young_professionals,referral,23.71,5.45,0.7,0.0298,3,11.45
244,young_professionals,in_app,39.81,4.54,0.7,0.035,21,66.77
245,young_professionals,in_app,33.29,5.38,0.7,0.035,19,71.62
246,young_professionals,paid_social,69.2,3.91,0.7,0.0368,6,16.42
247,young_professionals,in_app,37.47,3.37,0.7,0.035,6,14.14
248,young_professionals,referral,25.45,4.16,0.7,0.0298,12,34.91
249,young_professionals,referral,24.71,5.31,0.7,0.0298,26,96.64
250,young_professionals,referral,23.74,4.43,0.7,0.0298,22,68.29
251,young_professionals,in_app,34.83,1.69,0.7,0.035,30,35.44
252,young_professionals,paid_social,73.26,4.57,0.7,0.0368,53,169.62
253,young_professionals,referral,27.21,4.59,0.7,0.0298,23,73.93
254,young_professionals,referral,22.82,3.84,0.7,0.0298,60,161.12
255,young_professionals,referral,23.58,6.1,0.7,0.0298,40,170.7
256,young_professionals,in_app,34.3,4.37,0.7,0.035,28,85.68
257,young_professionals,in_app,35.95,3.9,0.7,0.035,12,32.75
258,young_professionals,referral,22.33,4.1,0.7,0.0298,60,172.08
259,young_professionals,partner,53.58,4.59,0.7,0.0315,60,192.67
260,young_professionals,in_app,36.55,4.72,0.7,0.035,8,26.45
261,young_professionals,referral,22.91,4.23,0.7,0.0298,9,26.64
262,young_professionals,in_app,32.8,3.83,0.7,0.035,16,42.93
263,young_professionals,referral,21.68,4.61,0.7,0.0298,16,51.61
264,young_professionals,referral,23.33,5.42,0.7,0.0298,54,204.95
265,young_professionals,paid_social,77.7,3.27,0.7,0.0368,2,4.58
266,young_professionals,referral,27.14,4.05,0.7,0.0298,2,5.67
267,young_professionals,referral,29.89,2.46,0.7,0.0298,30,51.73
268,young_professionals,referral,23.56,1.46,0.7,0.0298,39,39.73
269,young_professionals,referral,26.62,4.2,0.7,0.0298,23,67.65
270,young_professionals,assisted,118.35,4.37,0.7,0.0263,51,156.13
271,young_professionals,partner,52.17,5.08,0.7,0.0315,14,49.78
272,young_professionals,referral,26.1,4.35,0.7,0.0298,32,97.34
273,young_professionals,partner,48.91,6.49,0.7,0.0315,30,136.38
274,young_professionals,in_app,30.18,4.05,0.7,0.035,7,19.85
275,young_professionals,in_app,39.18,5.42,0.7,0.035,44,166.99
276,young_professionals,referral,25.88,6.55,0.7,0.0298,5,22.92
277,young_professionals,referral,24.0,3.11,0.7,0.0298,3,6.54
278,young_professionals,in_app,33.7,3.28,0.7,0.035,23,52.76
279,young_professionals,paid_social,65.6,4.13,0.7,0.0368,7,20.26
280,young_professionals,paid_social,79.05,6.45,0.7,0.0368,11,49.68
281,young_professionals,partner,52.84,3.36,0.7,0.0315,39,91.63
282,young_professionals,referral,28.0,4.11,0.7,0.0298,45,129.57
283,young_professionals,referral,25.37,5.84,0.7,0.0298,34,138.98
284,young_professionals,referral,22.71,3.62,0.7,0.0298,60,152.05
285,young_professionals,in_app,29.65,4.01,0.7,0.035,10,28.05
286,young_professionals,referral,27.24,4.45,0.7,0.0298,24,74.72
287,young_professionals,partner,57.02,3.84,0.7,0.0315,35,94.12
288,young_professionals,referral,24.57,1.89,0.7,0.0298,40,53.0
289,young_professionals,in_app,37.57,6.56,0.7,0.035,25,114.8
290,young_professionals,referral,22.26,4.39,0.7,0.0298,50,153.54
291,young_professionals,in_app,40.0,5.17,0.7,0.035,7,25.33
292,young_professionals,partner,48.98,5.63,0.7,0.0315,20,78.88
293,young_professionals,paid_social,78.29,6.16,0.7,0.0368,60,258.61
294,young_professionals,partner,53.65,5.09,0.7,0.0315,23,81.96
295,young_professionals,in_app,33.97,5.24,0.7,0.035,32,117.45
296,young_professionals,paid_social,65.53,5.28,0.7,0.0368,22,81.36
297,young_professionals,paid_social,72.74,5.17,0.7,0.0368,5,18.11
298,young_professionals,in_app,39.86,3.99,0.7,0.035,60,167.56
299,young_professionals,in_app,33.91,6.24,0.7,0.035,31,135.41
300,young_professionals,in_app,34.01,4.16,0.7,0.035,60,174.81
301,young_professionals,in_app,34.87,3.79,0.7,0.035,3,7.96
302,young_professionals,referral,26.04,6.49,0.7,0.0298,24,109.02
303,young_professionals,in_app,34.26,6.83,0.7,0.035,30,143.43
304,young_professionals,in_app,32.84,3.19,0.7,0.035,38,84.76
305,young_professionals,paid_social,78.72,4.39,0.7,0.0368,60,184.52
306,young_professionals,referral,22.69,5.8,0.7,0.0298,60,243.57
307,young_professionals,referral,22.79,6.23,0.7,0.0298,7,30.52
308,young_professionals,in_app,30.93,2.52,0.7,0.035,60,105.74
309,young_professionals,referral,24.25,3.8,0.7,0.0298,56,148.93
310,young_professionals,referral,25.13,4.9,0.7,0.0298,60,205.81
311,young_professionals,referral,25.77,6.66,0.7,0.0298,60,279.76
312,young_professionals,referral,24.05,2.74,0.7,0.0298,4,7.67
313,young_professionals,referral,26.22,5.68,0.7,0.0298,2,7.95
314,young_professionals,referral,27.18,5.25,0.7,0.0298,39,143.46
315,young_professionals,referral,25.7,3.65,0.7,0.0298,8,20.42
316,young_professionals,referral,22.85,3.98,0.7,0.0298,60,167.17
317,young_professionals,referral,23.92,4.78,0.7,0.0298,1,3.34
318,young_professionals,in_app,33.27,4.44,0.7,0.035,25,77.67
319,young_professionals,referral,29.69,4.36,0.7,0.0298,60,182.92
320,young_professionals,paid_social,76.56,5.69,0.7,0.0368,35,139.44
321,young_professionals,paid_social,67.76,2.27,0.7,0.0368,53,84.34
322,young_professionals,referral,25.41,2.95,0.7,0.0298,25,51.61
323,young_professionals,referral,25.8,5.54,0.7,0.0298,44,170.49
324,young_professionals,in_app,33.54,4.52,0.7,0.035,28,88.52
325,young_professionals,in_app,39.97,6.06,0.7,0.035,1,4.24
326,young_professionals,in_app,34.83,3.61,0.7,0.035,48,121.32
327,young_professionals,in_app,34.16,4.13,0.7,0.035,1,2.89
328,young_professionals,in_app,38.56,1.51,0.7,0.035,46,48.47
329,young_professionals,in_app,34.15,5.88,0.7,0.035,5,20.59
330,young_professionals,referral,22.41,6.62,0.7,0.0298,21,97.36
331,young_professionals,in_app,32.18,4.03,0.7,0.035,1,2.82
332,young_professionals,referral,25.96,6.35,0.7,0.0298,14,62.28
333,young_professionals,in_app,39.33,4.49,0.7,0.035,7,21.99
334,young_professionals,paid_social,72.69,4.59,0.7,0.0368,16,51.36
335,young_professionals,referral,26.3,3.84,0.7,0.0298,25,67.22
336,young_professionals,in_app,38.24,2.88,0.7,0.035,11,22.15
337,young_professionals,partner,49.67,4.27,0.7,0.0315,20,59.83
338,young_professionals,in_app,33.64,5.35,0.7,0.035,7,26.24
339,young_professionals,partner,47.49,4.5,0.7,0.0315,24,75.62
340,young_professionals,paid_social,67.88,4.24,0.7,0.0368,5,14.84
341,young_professionals,referral,24.75,4.25,0.7,0.0298,2,5.95
342,young_professionals,paid_social,75.57,3.34,0.7,0.0368,27,63.14
343,young_professionals,in_app,31.13,3.32,0.7,0.035,17,39.48
344,young_professionals,in_app,32.62,5.56,0.7,0.035,60,233.48
345,young_professionals,in_app,32.11,4.6,0.7,0.035,60,193.36
346,young_professionals,in_app,32.95,2.86,0.7,0.035,60,120.01
347,young_professionals,paid_social,74.25,5.02,0.7,0.0368,60,211.03
348,young_professionals,referral,25.11,3.35,0.7,0.0298,21,49.18
349,young_professionals,in_app,33.34,7.12,0.7,0.035,16,79.73
350,young_professionals,partner,47.83,5.27,0.7,0.0315,9,33.21
351,young_professionals,in_app,33.83,3.55,0.7,0.035,32,79.57
352,young_professionals,referral,27.81,4.13,0.7,0.0298,60,173.28
353,young_professionals,in_app,37.93,2.9,0.7,0.035,1,2.03
354,young_professionals,in_app,31.22,4.47,0.7,0.035,40,125.05
355,young_professionals,referral,25.41,4.24,0.7,0.0298,3,8.91
356,young_professionals,in_app,35.32,2.92,0.7,0.035,10,20.46
357,young_professionals,in_app,33.77,4.71,0.7,0.035,20,65.99
358,young_professionals,in_app,34.46,3.68,0.7,0.035,60,154.71
359,young_professionals,referral,20.95,4.4,0.7,0.0298,19,58.49
360,young_professionals,in_app,35.38,3.87,0.7,0.035,22,59.58
361,young_professionals,paid_social,74.25,5.85,0.7,0.0368,47,192.45
362,young_professionals,referral,28.42,6.06,0.7,0.0298,32,135.64
363,young_professionals,referral,26.41,6.58,0.7,0.0298,13,59.9
364,young_professionals,partner,53.51,4.27,0.7,0.0315,16,47.81
365,young_professionals,in_app,34.46,5.2,0.7,0.035,60,218.35
366,young_professionals,referral,24.56,1.85,0.7,0.0298,30,38.86
367,young_professionals,in_app,35.84,5.01,0.7,0.035,40,140.35
368,young_professionals,in_app,41.71,6.12,0.7,0.035,60,257.25
369,young_professionals,referral,27.85,5.72,0.7,0.0298,50,200.3
370,young_professionals,paid_social,78.09,3.19,0.7,0.0368,20,44.59
371,young_professionals,in_app,36.49,2.4,0.7,0.035,46,77.27
372,young_professionals,referral,28.22,6.72,0.7,0.0298,60,282.05
373,young_professionals,referral,22.56,3.87,0.7,0.0298,13,35.22
374,young_professionals,referral,22.78,3.28,0.7,0.0298,19,43.57
375,young_professionals,referral,22.57,5.33,0.7,0.0298,22,82.13
376,young_professionals,referral,24.45,3.91,0.7,0.0298,19,51.95
377,young_professionals,paid_social,76.06,4.54,0.7,0.0368,7,22.24
378,young_professionals,referral,25.15,4.15,0.7,0.0298,48,139.48
379,young_professionals,referral,23.22,5.03,0.7,0.0298,60,211.24
380,young_professionals,in_app,32.87,3.69,0.7,0.035,51,131.77
381,young_professionals,in_app,30.58,5.3,0.7,0.035,50,185.34
382,young_professionals,paid_social,61.85,4.12,0.7,0.0368,11,31.76
383,young_professionals,in_app,33.9,3.82,0.7,0.035,60,160.33
384,young_professionals,referral,27.96,4.67,0.7,0.0298,60,196.18
385,young_professionals,referral,25.19,5.05,0.7,0.0298,23,81.29
386,young_professionals,paid_social,66.64,4.64,0.7,0.0368,23,74.7
387,young_professionals,in_app,39.18,5.36,0.7,0.035,1,3.75
388,young_professionals,paid_social,68.53,5.95,0.7,0.0368,11,45.83
389,young_professionals,referral,28.36,5.07,0.7,0.0298,21,74.53
390,young_professionals,paid_social,67.43,4.59,0.7,0.0368,31,99.57
391,young_professionals,in_app,32.7,3.14,0.7,0.035,6,13.17
392,young_professionals,referral,25.25,5.74,0.7,0.0298,60,240.89
393,young_professionals,in_app,40.65,5.79,0.7,0.035,6,24.33
394,young_professionals,in_app,36.6,4.02,0.7,0.035,2,5.63
395,young_professionals,assisted,129.57,5.32,0.7,0.0263,1,3.72
396,young_professionals,referral,26.04,5.08,0.7,0.0298,39,138.79
397,young_professionals,in_app,29.94,6.71,0.7,0.035,11,51.67
398,young_professionals,referral,27.99,7.44,0.7,0.0298,23,119.74
399,young_professionals,referral,23.62,4.53,0.7,0.0298,5,15.86
400,young_professionals,referral,28.16,5.2,0.7,0.0298,36,131.14
401,young_professionals,referral,20.67,4.99,0.7,0.0298,46,160.79
402,young_professionals,paid_social,71.25,4.4,0.7,0.0368,15,46.24
403,young_professionals,in_app,35.14,5.58,0.7,0.035,11,42.98
404,young_professionals,referral,26.18,5.83,0.7,0.0298,60,244.81
