bucket_id,channel,users,marginal_cac_eur,arpu_eur,monthly_churn_rate,ltv_eur
311,paid_social,1000,117.01,4.2,0.04,73.5
312,paid_social,1000,115.54,4.2,0.04,73.5
313,paid_social,1000,121.1,4.2,0.04,73.5
314,paid_social,1000,117.65,4.2,0.04,73.5
315,paid_social,1000,120.09,4.2,0.04,73.5
316,paid_social,1000,117.19,4.2,0.04,73.5
317,paid_social,1000,119.55,4.2,0.04,73.5
318,paid_social,1000,117.88,4.2,0.04,73.5
319,paid_social,1000,125.1,4.2,0.04,73.5
320,paid_social,1000,118.27,4.2,0.04,73.5
321,paid_social,1000,126.62,4.2,0.04,73.5
322,paid_social,1000,124.12,4.2,0.04,73.5
323,paid_social,1000,130.4,4.2,0.04,73.5
324,paid_social,1000,129.98,4.2,0.04,73.5
325,paid_social,1000,135.28,4.2,0.04,73.5
326,paid_social,1000,132.27,4.2,0.04,73.5
327,paid_social,1000,124.45,4.2,0.04,73.5
328,paid_social,1000,131.53,4.2,0.04,73.5
329,paid_social,1000,128.32,4.2,0.04,73.5
330,paid_social,1000,132.12,4.2,0.04,73.5
331,paid_social,1000,141.56,4.2,0.04,73.5
332,paid_social,1000,139.27,4.2,0.04,73.5
333,paid_social,1000,135.01,4.2,0.04,73.5
334,paid_social,1000,134.92,4.2,0.04,73.5
335,paid_social,1000,140.55,4.2,0.04,73.5
336,paid_social,1000,136.52,4.2,0.04,73.5
337,paid_social,1000,140.1,4.2,0.04,73.5
338,paid_social,1000,145.63,4.2,0.04,73.5
339,paid_social,1000,150.63,4.2,0.04,73.5
340,paid_social,1000,149.59,4.2,0.04,73.5
341,paid_social,1000,138.05,4.2,0.04,73.5
342,paid_social,1000,150.96,4.2,0.04,73.5
343,paid_social,1000,151.28,4.2,0.04,73.5
344,paid_social,1000,154.21,4.2,0.04,73.5
345,paid_social,1000,161.16,4.2,0.04,73.5
346,paid_social,1000,145.5,4.2,0.04,73.5
347,paid_social,1000,153.74,4.2,0.04,73.5
348,paid_social,1000,160.73,4.2,0.04,73.5
349,paid_social,1000,151.81,4.2,0.04,73.5
350,paid_social,1000,167.94,4.2,0.04,73.5
351,paid_social,1000,164.07,4.2,0.04,73.5
352,paid_social,1000,167.91,4.2,0.04,73.5
353,paid_social,1000,162.41,4.2,0.04,73.5
354,paid_social,1000,170.81,4.2,0.04,73.5
355,paid_social,1000,173.65,4.2,0.04,73.5
356,paid_social,1000,170.97,4.2,0.04,73.5
357,paid_social,1000,172.53,4.2,0.04,73.5
358,paid_social,1000,174.29,4.2,0.04,73.5
359,paid_social,1000,169.94,4.2,0.04,73.5
360,paid_social,1000,175.26,4.2,0.04,73.5
361,paid_social,1000,176.83,4.2,0.04,73.5
362,paid_social,1000,181.32,4.2,0.04,73.5
363,paid_social,1000,186.31,4.2,0.04,73.5
364,paid_social,1000,176.73,4.2,0.04,73.5
365,paid_social,1000,183.5,4.2,0.04,73.5
366,paid_social,1000,194.12,4.2,0.04,73.5
367,paid_social,1000,183.37,4.2,0.04,73.5
368,paid_social,1000,184.59,4.2,0.04,73.5
369,paid_social,1000,192.13,4.2,0.04,73.5
370,paid_social,1000,197.59,4.2,0.04,73.5
371,paid_social,1000,194.53,4.2,0.04,73.5
372,paid_social,1000,204.05,4.2,0.04,73.5
373,paid_social,1000,203.1,4.2,0.04,73.5
374,paid_social,1000,204.85,4.2,0.04,73.5
375,paid_social,1000,204.98,4.2,0.04,73.5
376,paid_social,1000,217.66,4.2,0.04,73.5
377,paid_social,1000,204.04,4.2,0.04,73.5
378,paid_social,1000,194.72,4.2,0.04,73.5
379,paid_social,1000,219.11,4.2,0.04,73.5
380,paid_social,1000,208.06,4.2,0.04,73.5
381,paid_social,1000,213.56,4.2,0.04,73.5
382,paid_social,1000,223.24,4.2,0.04,73.5
383,paid_social,1000,206.34,4.2,0.04,73.5
384,paid_social,1000,210.51,4.2,0.04,73.5
385,paid_social,1000,210.11,4.2,0.04,73.5
386,paid_social,1000,217.41,4.2,0.04,73.5
387,paid_social,1000,227.7,4.2,0.04,73.5
388,paid_social,1000,230.35,4.2,0.04,73.5
389,paid_social,1000,230.74,4.2,0.04,73.5
390,paid_social,1000,221.14,4.2,0.04,73.5
391,paid_social,1000,216.87,4.2,0.04,73.5
392,paid_social,1000,235.52,4.2,0.04,73.5
393,paid_social,1000,233.92,4.2,0.04,73.5
394,paid_social,1000,242.73,4.2,0.04,73.5
395,paid_social,1000,246.69,4.2,0.04,73.5
396,paid_social,1000,244.81,4.2,0.04,73.5
397,paid_social,1000,251.63,4.2,0.04,73.5
398,paid_social,1000,249.96,4.2,0.04,73.5
399,paid_social,1000,254.49,4.2,0.04,73.5
400,paid_social,1000,247.44,4.2,0.04,73.5
401,paid_social,1000,253.71,4.2,0.04,73.5
402,paid_social,1000,258.92,4.2,0.04,73.5
403,paid_social,1000,266.13,4.2,0.04,73.5
404,paid_social,1000,259.0,4.2,0.04,73.5
405,paid_social,1000,268.61,4.2,0.04,73.5
406,paid_social,1000,264.75,4.2,0.04,73.5
407,paid_social,1000,268.36,4.2,0.04,73.5
408,paid_social,1000,278.52,4.2,0.04,73.5
409,paid_social,1000,257.83,4.2,0.04,73.5
410,paid_social,1000,265.95,4.2,0.04,73.5
411,paid_social,1000,266.81,4.2,0.04,73.5
412,paid_social,1000,262.04,4.2,0.04,73.5
413,paid_social,1000,278.54,4.2,0.04,73.5
414,paid_social,1000,293.36,4.2,0.04,73.5
415,paid_social,1000,287.04,4.2,0.04,73.5
416,paid_social,1000,293.88,4.2,0.04,73.5
417,paid_social,1000,304.44,4.2,0.04,73.5
418,paid_social,1000,309.33,4.2,0.04,73.5
419,paid_social,1000,299.56,4.2,0.04,73.5
420,paid_social,1000,315.21,4.2,0.04,73.5
421,paid_social,1000,306.51,4.2,0.04,73.5
422,paid_social,1000,300.69,4.2,0.04,73.5
423,paid_social,1000,305.69,4.2,0.04,73.5
424,paid_social,1000,300.12,4.2,0.04,73.5
425,paid_social,1000,308.48,4.2,0.04,73.5
426,paid_social,1000,316.37,4.2,0.04,73.5
427,paid_social,1000,330.49,4.2,0.04,73.5
428,paid_social,1000,342.45,4.2,0.04,73.5
429,paid_social,1000,314.98,4.2,0.04,73.5
430,paid_social,1000,335.5,4.2,0.04,73.5
431,paid_social,1000,324.16,4.2,0.04,73.5
432,paid_social,1000,342.45,4.2,0.04,73.5
433,paid_social,1000,339.37,4.2,0.04,73.5
434,paid_social,1000,324.92,4.2,0.04,73.5
435,paid_social,1000,356.59,4.2,0.04,73.5
436,paid_social,1000,343.73,4.2,0.04,73.5
437,paid_social,1000,347.6,4.2,0.04,73.5
438,paid_social,1000,345.03,4.2,0.04,73.5
439,paid_social,1000,352.65,4.2,0.04,73.5
440,paid_social,1000,367.64,4.2,0.04,73.5
441,assisted,1000,119.32,4.6,0.028,115.0
442,assisted,1000,126.39,4.6,0.028,115.0
443,assisted,1000,131.96,4.6,0.028,115.0
444,assisted,1000,141.55,4.6,0.028,115.0
445,assisted,1000,140.55,4.6,0.028,115.0
446,assisted,1000,141.56,4.6,0.028,115.0
447,assisted,1000,159.44,4.6,0.028,115.0
448,assisted,1000,159.53,4.6,0.028,115.0
449,assisted,1000,173.68,4.6,0.028,115.0
450,assisted,1000,177.31,4.6,0.028,115.0
451,assisted,1000,182.11,4.6,0.028,115.0
452,assisted,1000,192.69,4.6,0.028,115.0
453,assisted,1000,210.53,4.6,0.028,115.0
454,assisted,1000,220.37,4.6,0.028,115.0
455,assisted,1000,216.82,4.6,0.028,115.0
456,assisted,1000,226.75,4.6,0.028,115.0
457,assisted,1000,242.97,4.6,0.028,115.0
458,assisted,1000,239.27,4.6,0.028,115.0
459,assisted,1000,258.61,4.6,0.028,115.0
460,assisted,1000,266.86,4.6,0.028,115.0
